Strategy report
Symbol: JPM
Work Time: 1/16/20, 9:35 AM - 10/1/20, 9:55 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$137.73;1/16/20, 9:35 AM;;($0.27);1.0;
2;MacdPerfect;Sell to Close;-1.0;$136.97;1/16/20, 9:55 AM;($0.76);($0.76);0.0;
3;MacdPerfect;Buy to Open;1.0;$137.41;1/17/20, 9:35 AM;;($0.57);1.0;
4;MacdPerfect;Sell to Close;-1.0;$137.90;1/17/20, 10:10 AM;$0.49;($0.27);0.0;
5;MacdPerfect;Buy to Open;1.0;$132.92;1/28/20, 9:35 AM;;($0.36);1.0;
6;MacdPerfect;Sell to Close;-1.0;$134.37;1/28/20, 10:40 AM;$1.45;$1.18;0.0;
7;MacdPerfect;Buy to Open;1.0;$134.95;1/29/20, 9:35 AM;;$1.26;1.0;
8;MacdPerfect;Sell to Close;-1.0;$134.61;1/29/20, 10:05 AM;($0.34);$0.84;0.0;
9;MacdPerfect;Buy to Open;1.0;$133.30;2/3/20, 9:35 AM;;$1.10;1.0;
10;MacdPerfect;Sell to Close;-1.0;$133.82;2/3/20, 10:05 AM;$0.52;$1.36;0.0;
11;MacdPerfect;Buy to Open;1.0;$135.70;2/4/20, 9:35 AM;;$1.26;1.0;
12;MacdPerfect;Sell to Close;-1.0;$135.61;2/4/20, 10:05 AM;($0.09);$1.27;0.0;
13;MacdPerfect;Buy to Open;1.0;$136.75;2/5/20, 9:35 AM;;$1.37;1.0;
14;MacdPerfect;Sell to Close;-1.0;$136.96;2/5/20, 10:10 AM;$0.21;$1.48;0.0;
15;MacdPerfect;Buy to Open;1.0;$137.93;2/6/20, 9:35 AM;;$1.07;1.0;
16;MacdPerfect;Sell to Close;-1.0;$137.83;2/6/20, 10:50 AM;($0.10);$1.38;0.0;
17;MacdPerfect;Buy to Open;1.0;$138.16;2/11/20, 9:35 AM;;$1.62;1.0;
18;MacdPerfect;Sell to Close;-1.0;$138.64;2/11/20, 10:05 AM;$0.48;$1.86;0.0;
19;MacdPerfect;Buy to Open;1.0;$138.85;2/12/20, 9:35 AM;;$2.02;1.0;
20;MacdPerfect;Sell to Close;-1.0;$138.93;2/12/20, 10:05 AM;$0.08;$1.94;0.0;
21;MacdPerfect;Sell to Close;-1.0;$137.49;2/18/20, 9:35 AM;$0.00;$2.45;-1.0;
22;MacdPerfect;Buy to Open;1.0;$137.49;2/18/20, 9:35 AM;;$1.94;0.0;
23;MacdPerfect;Buy to Open;1.0;$136.51;2/19/20, 9:35 AM;;$2.16;1.0;
24;MacdPerfect;Sell to Close;-1.0;$136.91;2/19/20, 10:05 AM;$0.40;$2.34;0.0;
25;MacdPerfect;Buy to Open;1.0;$137.51;2/20/20, 9:35 AM;;$2.29;1.0;
26;MacdPerfect;Sell to Close;-1.0;$137.50;2/20/20, 9:45 AM;($0.01);$2.33;0.0;
27;MacdPerfect;Buy to Open;1.0;$115.72;3/2/20, 9:35 AM;;$1.60;1.0;
28;MacdPerfect;Sell to Close;-1.0;$115.44;3/2/20, 9:55 AM;($0.28);$2.05;0.0;
29;MacdPerfect;Buy to Open;1.0;$119.38;3/3/20, 9:35 AM;;$1.60;1.0;
30;MacdPerfect;Sell to Close;-1.0;$118.60;3/3/20, 10:25 AM;($0.78);$1.26;0.0;
31;MacdPerfect;Buy to Open;1.0;$97.90;3/10/20, 9:35 AM;;$0.03;1.0;
32;MacdPerfect;Sell to Close;-1.0;$98.13;3/10/20, 10:10 AM;$0.23;$1.49;0.0;
33;MacdPerfect;Buy to Open;1.0;$94.96;3/13/20, 9:35 AM;;$1.02;1.0;
34;MacdPerfect;Sell to Close;-1.0;$95.34;3/13/20, 10:05 AM;$0.38;$1.87;0.0;
35;MacdPerfect;Buy to Open;1.0;$89.74;3/17/20, 9:35 AM;;$0.53;1.0;
36;MacdPerfect;Sell to Close;-1.0;$88.61;3/17/20, 9:50 AM;($1.13);$0.75;0.0;
37;MacdPerfect;Buy to Open;1.0;$84.41;3/24/20, 9:35 AM;;$0.36;1.0;
38;MacdPerfect;Sell to Close;-1.0;$84.42;3/24/20, 10:05 AM;$0.02;$0.76;0.0;
39;MacdPerfect;Buy to Open;1.0;$89.12;3/25/20, 9:35 AM;;$1.98;1.0;
40;MacdPerfect;Sell to Close;-1.0;$89.11;3/25/20, 9:45 AM;($0.01);$0.75;0.0;
41;MacdPerfect;Buy to Open;1.0;$94.51;3/26/20, 9:35 AM;;$1.20;1.0;
42;MacdPerfect;Sell to Close;-1.0;$96.84;3/26/20, 10:25 AM;$2.33;$3.08;0.0;
43;MacdPerfect;Buy to Open;1.0;$89.02;4/6/20, 9:35 AM;;$3.17;1.0;
44;MacdPerfect;Sell to Close;-1.0;$90.67;4/6/20, 10:05 AM;$1.65;$4.73;0.0;
45;MacdPerfect;Buy to Open;1.0;$93.37;4/7/20, 9:35 AM;;$4.45;1.0;
46;MacdPerfect;Sell to Close;-1.0;$93.30;4/7/20, 10:05 AM;($0.07);$4.66;0.0;
47;MacdPerfect;Buy to Open;1.0;$97.39;4/9/20, 9:35 AM;;$5.75;1.0;
48;MacdPerfect;Sell to Close;-1.0;$101.08;4/9/20, 10:10 AM;$3.69;$8.35;0.0;
49;MacdPerfect;Buy to Open;1.0;$102.10;4/13/20, 9:35 AM;;$6.93;1.0;
50;MacdPerfect;Sell to Close;-1.0;$99.17;4/13/20, 10:50 AM;($2.93);$5.42;0.0;
51;MacdPerfect;Buy to Open;1.0;$100.85;4/14/20, 9:35 AM;;$5.88;1.0;
52;MacdPerfect;Sell to Close;-1.0;$99.72;4/14/20, 9:50 AM;($1.13);$4.29;0.0;
53;MacdPerfect;Buy to Open;1.0;$91.52;4/17/20, 9:35 AM;;$5.42;1.0;
54;MacdPerfect;Sell to Close;-1.0;$92.75;4/17/20, 10:05 AM;$1.23;$5.52;0.0;
55;MacdPerfect;Buy to Open;1.0;$90.57;4/22/20, 9:35 AM;;$5.45;1.0;
56;MacdPerfect;Sell to Close;-1.0;$90.70;4/22/20, 10:05 AM;$0.13;$5.65;0.0;
57;MacdPerfect;Buy to Open;1.0;$90.59;4/23/20, 9:40 AM;;$5.57;1.0;
58;MacdPerfect;Sell to Close;-1.0;$90.02;4/23/20, 9:55 AM;($0.57);$5.08;0.0;
59;MacdPerfect;Buy to Open;1.0;$90.91;4/24/20, 9:35 AM;;$4.64;1.0;
60;MacdPerfect;Sell to Close;-1.0;$89.78;4/24/20, 9:55 AM;($1.13);$3.96;0.0;
61;MacdPerfect;Buy to Open;1.0;$92.16;4/27/20, 9:35 AM;;$4.43;1.0;
62;MacdPerfect;Sell to Close;-1.0;$93.42;4/27/20, 10:10 AM;$1.26;$5.21;0.0;
63;MacdPerfect;Buy to Open;1.0;$96.98;4/28/20, 9:35 AM;;$4.82;1.0;
64;MacdPerfect;Sell to Close;-1.0;$97.48;4/28/20, 10:05 AM;$0.50;$5.71;0.0;
65;MacdPerfect;Buy to Open;1.0;$98.81;4/29/20, 9:35 AM;;$5.86;1.0;
66;MacdPerfect;Sell to Close;-1.0;$98.47;4/29/20, 10:05 AM;($0.34);$5.37;0.0;
67;MacdPerfect;Buy to Open;1.0;$93.59;5/5/20, 9:35 AM;;$5.05;1.0;
