Strategy report
Symbol: AMC
Work Time: 2/10/21, 9:45 AM - 6/18/21, 10:15 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;Bashir(Buy);Buy to Open;100.0;$5.58;2/10/21, 9:45 AM;;($0.88);100.0;
2;Bashir(CloseBuy);Sell to Close;-100.0;$6.92;2/23/21, 10:00 AM;$134.12;$134.12;0.0;
3;Bashir(Buy);Buy to Open;100.0;$6.87;2/23/21, 10:15 AM;;$150.12;100.0;
4;Bashir(CloseBuy);Sell to Close;-100.0;$8.19;2/24/21, 10:30 AM;$132.20;$266.32;0.0;
5;Bashir(Buy);Buy to Open;100.0;$8.07;2/24/21, 10:45 AM;;$285.32;100.0;
6;Bashir(CloseBuy);Sell to Close;-100.0;$9.79;2/25/21, 9:45 AM;$171.50;$437.82;0.0;
7;Bashir(Buy);Buy to Open;100.0;$9.92;2/25/21, 10:00 AM;;$441.62;100.0;
8;Bashir(CloseBuy);Sell to Close;-100.0;$9.33;2/25/21, 2:15 PM;($59.01);$378.81;0.0;
9;Bashir(Buy);Buy to Open;100.0;$8.50;2/26/21, 3:00 PM;;$344.82;100.0;
10;Bashir(CloseBuy);Sell to Close;-100.0;$7.89;3/4/21, 10:00 AM;($61.00);$317.81;0.0;
11;Bashir(Buy);Buy to Open;100.0;$8.11;3/4/21, 3:45 PM;;$309.32;100.0;
12;Bashir(CloseBuy);Sell to Close;-100.0;$9.54;3/9/21, 9:45 AM;$143.38;$461.19;0.0;
13;Bashir(Buy);Buy to Open;100.0;$9.76;3/9/21, 10:00 AM;;$449.19;100.0;
14;Bashir(CloseBuy);Sell to Close;-100.0;$11.80;3/10/21, 9:45 AM;$203.50;$664.69;0.0;
15;Bashir(Buy);Buy to Open;100.0;$11.85;3/10/21, 10:00 AM;;$668.26;100.0;
16;Bashir(CloseBuy);Sell to Close;-100.0;$10.21;3/10/21, 12:30 PM;($164.13);$500.56;0.0;
17;Bashir(Buy);Buy to Open;100.0;$10.28;3/11/21, 2:45 PM;;$494.06;100.0;
18;Bashir(CloseBuy);Sell to Close;-100.0;$12.68;3/15/21, 9:45 AM;$240.60;$741.16;0.0;
19;Bashir(Buy);Buy to Open;100.0;$13.19;3/15/21, 10:00 AM;;$728.16;100.0;
20;Bashir(CloseBuy);Sell to Close;-100.0;$12.43;3/16/21, 10:30 AM;($76.01);$665.15;0.0;
21;Bashir(Buy);Buy to Open;100.0;$13.34;3/17/21, 9:45 AM;;$669.15;100.0;
22;Bashir(CloseBuy);Sell to Close;-100.0;$12.75;3/22/21, 9:45 AM;($59.09);$606.06;0.0;
23;Bashir(Buy);Buy to Open;100.0;$10.30;3/25/21, 10:45 AM;;$593.06;100.0;
24;Bashir(CloseBuy);Sell to Close;-100.0;$9.69;4/1/21, 9:45 AM;($60.99);$545.07;0.0;
25;Bashir(Buy);Buy to Open;100.0;$9.94;4/5/21, 9:45 AM;;$554.29;100.0;
26;Bashir(CloseBuy);Sell to Close;-100.0;$9.37;4/9/21, 1:00 PM;($56.90);$488.17;0.0;
27;Bashir(Buy);Buy to Open;100.0;$9.04;4/13/21, 10:45 AM;;$489.05;100.0;
28;Bashir(CloseBuy);Sell to Close;-100.0;$10.38;4/22/21, 10:00 AM;$134.00;$622.17;0.0;
29;Bashir(Buy);Buy to Open;100.0;$10.32;4/22/21, 10:15 AM;;$620.97;100.0;
30;Bashir(CloseBuy);Sell to Close;-100.0;$11.65;4/26/21, 2:45 PM;$132.81;$754.98;0.0;
31;Bashir(Buy);Buy to Open;100.0;$11.74;4/26/21, 3:00 PM;;$757.48;100.0;
32;Bashir(CloseBuy);Sell to Close;-100.0;$11.17;4/28/21, 9:45 AM;($57.00);$697.98;0.0;
33;Bashir(Buy);Buy to Open;100.0;$9.32;5/4/21, 3:30 PM;;$701.58;100.0;
34;Bashir(CloseBuy);Sell to Close;-100.0;$11.36;5/13/21, 9:45 AM;$203.51;$901.49;0.0;
35;Bashir(Buy);Buy to Open;100.0;$11.62;5/13/21, 10:00 AM;;$913.47;100.0;
36;Bashir(CloseBuy);Sell to Close;-100.0;$12.96;5/13/21, 1:45 PM;$133.88;$1,035.37;0.0;
37;Bashir(Buy);Buy to Open;100.0;$13.45;5/13/21, 2:00 PM;;$1,046.25;100.0;
38;Bashir(CloseBuy);Sell to Close;-100.0;$13.31;5/14/21, 9:30 AM;($14.12);$1,021.25;0.0;
39;Bashir(Buy);Buy to Open;100.0;$14.00;5/14/21, 11:00 AM;;$1,025.36;100.0;
40;Bashir(CloseBuy);Sell to Close;-100.0;$13.39;5/14/21, 12:15 PM;($61.50);$959.75;0.0;
41;Bashir(Buy);Buy to Open;100.0;$14.00;5/17/21, 10:00 AM;;$977.75;100.0;
42;Bashir(CloseBuy);Sell to Close;-100.0;$13.27;5/19/21, 9:45 AM;($72.51);$887.24;0.0;
43;Bashir(Buy);Buy to Open;100.0;$12.71;5/20/21, 10:45 AM;;$897.61;100.0;
44;Bashir(CloseBuy);Sell to Close;-100.0;$12.19;5/21/21, 1:00 PM;($51.61);$835.63;0.0;
45;Bashir(Buy);Buy to Open;100.0;$12.53;5/24/21, 9:45 AM;;$881.60;100.0;
46;Bashir(CloseBuy);Sell to Close;-100.0;$13.81;5/24/21, 2:30 PM;$128.11;$963.74;0.0;
47;Bashir(Buy);Buy to Open;100.0;$14.38;5/25/21, 9:45 AM;;$938.24;100.0;
48;Bashir(CloseBuy);Sell to Close;-100.0;$15.67;5/25/21, 2:45 PM;$129.88;$1,093.62;0.0;
49;Bashir(Buy);Buy to Open;100.0;$15.29;5/25/21, 3:00 PM;;$1,122.62;100.0;
50;Bashir(CloseBuy);Sell to Close;-100.0;$17.97;5/26/21, 9:45 AM;$268.00;$1,361.62;0.0;
51;Bashir(Buy);Buy to Open;100.0;$18.60;5/26/21, 10:00 AM;;$1,351.72;100.0;
52;Bashir(CloseBuy);Sell to Close;-100.0;$20.56;5/27/21, 10:00 AM;$196.10;$1,557.72;0.0;
53;Bashir(Buy);Buy to Open;100.0;$21.62;5/27/21, 10:15 AM;;$1,693.22;100.0;
54;Bashir(CloseBuy);Sell to Close;-100.0;$22.99;5/27/21, 10:30 AM;$137.50;$1,695.22;0.0;
55;Bashir(Buy);Buy to Open;100.0;$22.40;5/27/21, 10:45 AM;;$1,721.63;100.0;
56;Bashir(CloseBuy);Sell to Close;-100.0;$24.17;5/27/21, 1:15 PM;$176.67;$1,871.89;0.0;
