Strategy report
Symbol: MCD
Work Time: 10/22/20, 1:05 PM - 7/6/21, 2:50 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$228.12;10/22/20, 1:05 PM;;$0.13;1.0;
2;MacdPerfect;Sell to Close;-1.0;$228.36;10/22/20, 1:25 PM;$0.24;$0.24;0.0;
3;MacdPerfect;Buy to Open;1.0;$229.40;10/23/20, 9:35 AM;;($0.40);1.0;
4;MacdPerfect;Sell to Close;-1.0;$228.71;10/23/20, 9:40 AM;($0.69);($0.45);0.0;
5;MacdPerfect;Buy to Open;1.0;$229.49;10/23/20, 10:00 AM;;($0.97);1.0;
6;MacdPerfect;Sell to Close;-1.0;$228.92;10/23/20, 10:05 AM;($0.57);($1.02);0.0;
7;MacdPerfect;Buy to Open;1.0;$229.80;10/23/20, 10:30 AM;;($1.12);1.0;
8;MacdPerfect;Sell to Close;-1.0;$229.37;10/23/20, 10:45 AM;($0.43);($1.45);0.0;
9;MacdPerfect;Buy to Open;1.0;$229.34;10/23/20, 11:15 AM;;($1.59);1.0;
10;MacdPerfect;Sell to Close;-1.0;$228.56;10/23/20, 11:25 AM;($0.78);($2.23);0.0;
11;MacdPerfect;Buy to Open;1.0;$228.67;10/23/20, 2:00 PM;;($2.20);1.0;
12;MacdPerfect;Sell to Close;-1.0;$229.00;10/23/20, 2:40 PM;$0.33;($1.90);0.0;
13;MacdPerfect;Buy to Open;1.0;$222.67;10/26/20, 2:55 PM;;($1.65);1.0;
14;MacdPerfect;Sell to Close;-1.0;$222.66;10/26/20, 3:10 PM;($0.01);($1.91);0.0;
15;MacdPerfect;Buy to Open;1.0;$222.56;10/26/20, 3:15 PM;;($1.79);1.0;
16;MacdPerfect;Sell to Close;-1.0;$223.23;10/26/20, 3:50 PM;$0.67;($1.24);0.0;
17;MacdPerfect;Buy to Open;1.0;$223.45;10/26/20, 3:55 PM;;($0.44);1.0;
18;MacdPerfect;Sell to Close;-1.0;$224.47;10/27/20, 9:30 AM;$1.02;($0.22);0.0;
19;MacdPerfect;Buy to Open;1.0;$223.97;10/27/20, 9:35 AM;;($0.05);1.0;
20;MacdPerfect;Sell to Close;-1.0;$224.56;10/27/20, 10:00 AM;$0.59;$0.37;0.0;
