Strategy report
Symbol: MSFT
Work Time: 10/23/20, 2:20 PM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$215.44;10/23/20, 2:20 PM;;($0.04);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$215.48;10/23/20, 3:00 PM;$0.03;$0.03;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$215.71;10/23/20, 3:10 PM;;$0.18;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$215.77;10/23/20, 3:35 PM;$0.07;$0.10;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$216.00;10/23/20, 3:40 PM;;$0.24;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$216.07;10/23/20, 3:50 PM;$0.07;$0.17;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$216.21;10/23/20, 3:55 PM;;$0.23;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$214.08;10/26/20, 9:30 AM;($2.12);($1.95);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$216.11;10/26/20, 10:05 AM;;($2.04);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$215.27;10/26/20, 10:25 AM;($0.85);($2.80);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$214.29;10/27/20, 3:35 PM;;($2.64);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$213.44;10/27/20, 3:55 PM;($0.85);($3.65);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$204.41;11/2/20, 9:35 AM;;($3.20);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$204.03;11/2/20, 10:10 AM;($0.38);($4.02);0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$204.51;11/2/20, 10:15 AM;;($3.86);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$203.91;11/2/20, 10:30 AM;($0.60);($4.62);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$202.31;11/2/20, 11:45 AM;;($4.69);1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$201.65;11/2/20, 12:00 PM;($0.66);($5.29);0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$201.75;11/2/20, 12:10 PM;;($5.38);1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$201.15;11/2/20, 12:40 PM;($0.60);($5.89);0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$201.20;11/2/20, 12:55 PM;;($5.83);1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$200.48;11/2/20, 1:50 PM;($0.72);($6.61);0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$203.67;11/3/20, 9:35 AM;;($6.31);1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$207.06;11/3/20, 10:35 AM;$3.39;($3.22);0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$206.82;11/3/20, 10:40 AM;;($3.27);1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$207.49;11/3/20, 10:55 AM;$0.67;($2.55);0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$207.15;11/3/20, 1:05 PM;;($2.70);1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$206.56;11/3/20, 1:15 PM;($0.59);($3.14);0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$206.18;11/3/20, 1:45 PM;;($3.53);1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$205.67;11/3/20, 1:50 PM;($0.50);($3.65);0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$205.86;11/3/20, 2:15 PM;;($3.61);1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$207.00;11/3/20, 3:55 PM;$1.14;($2.51);0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$214.51;11/4/20, 9:30 AM;;($2.02);1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$213.08;11/4/20, 9:50 AM;($1.43);($3.93);0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$213.44;11/4/20, 9:55 AM;;($3.62);1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$215.71;11/4/20, 10:30 AM;$2.27;($1.66);0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$215.58;11/4/20, 10:35 AM;;($1.90);1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$215.41;11/4/20, 10:45 AM;($0.16);($1.83);0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$217.68;11/4/20, 12:25 PM;;($1.89);1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$217.10;11/4/20, 1:20 PM;($0.58);($2.41);0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$217.85;11/4/20, 1:35 PM;;($2.35);1.0;
42;MacdPerfect(SELL);Sell to Close;-1.0;$216.81;11/4/20, 1:45 PM;($1.04);($3.45);0.0;
43;MacdPerfect(BUY);Buy to Open;1.0;$217.34;11/4/20, 2:10 PM;;($3.45);1.0;
44;MacdPerfect(SELL);Sell to Close;-1.0;$216.80;11/4/20, 2:35 PM;($0.54);($4.00);0.0;
45;MacdPerfect(BUY);Buy to Open;1.0;$217.00;11/4/20, 2:50 PM;;($3.83);1.0;
46;MacdPerfect(SELL);Sell to Close;-1.0;$216.87;11/4/20, 3:55 PM;($0.13);($4.13);0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$222.50;11/5/20, 9:35 AM;;($3.49);1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$223.61;11/5/20, 10:15 AM;$1.11;($3.02);0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$223.33;11/5/20, 10:20 AM;;($3.56);1.0;
50;MacdPerfect(SELL);Sell to Close;-1.0;$222.61;11/5/20, 10:25 AM;($0.72);($3.74);0.0;
51;MacdPerfect(BUY);Buy to Open;1.0;$222.39;11/5/20, 10:30 AM;;($3.73);1.0;
52;MacdPerfect(SELL);Sell to Close;-1.0;$222.32;11/5/20, 10:35 AM;($0.07);($3.81);0.0;
