Strategy report
Symbol: MSFT
Work Time: 10/27/20, 9:40 AM - 7/7/21, 9:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$211.09;10/27/20, 9:40 AM;;$0.79;1.0;
2;AAA;Sell to Close;-1.0;$211.88;10/27/20, 9:45 AM;$0.79;$0.79;0.0;
3;AAA;Buy to Open;1.0;$204.56;10/29/20, 9:35 AM;;$0.27;1.0;
4;AAA;Sell to Close;-1.0;$203.67;10/29/20, 9:50 AM;($0.89);($0.10);0.0;
5;AAA;Buy to Open;1.0;$203.96;11/2/20, 9:35 AM;;$0.79;1.0;
6;AAA;Sell to Close;-1.0;$204.72;11/2/20, 9:45 AM;$0.76;$0.66;0.0;
7;AAA;Buy to Open;1.0;$203.37;11/3/20, 9:35 AM;;$1.26;1.0;
8;AAA;Sell to Close;-1.0;$203.81;11/3/20, 9:45 AM;$0.44;$1.10;0.0;
9;AAA;Buy to Open;1.0;$215.00;11/4/20, 9:35 AM;;($0.80);1.0;
10;AAA;Sell to Close;-1.0;$213.67;11/4/20, 9:45 AM;($1.33);($0.23);0.0;
11;AAA;Buy to Open;1.0;$223.12;11/5/20, 9:40 AM;;($1.25);1.0;
12;AAA;Sell to Close;-1.0;$223.03;11/5/20, 9:50 AM;($0.09);($0.32);0.0;
13;AAA;Buy to Open;1.0;$223.91;11/9/20, 9:35 AM;;$0.06;1.0;
14;AAA;Sell to Close;-1.0;$224.74;11/9/20, 9:55 AM;$0.83;$0.51;0.0;
15;AAA;Buy to Open;1.0;$218.55;11/12/20, 9:40 AM;;$0.29;1.0;
16;AAA;Sell to Close;-1.0;$217.83;11/12/20, 9:50 AM;($0.72);($0.21);0.0;
17;AAA;Buy to Open;1.0;$216.52;11/13/20, 9:40 AM;;($0.49);1.0;
18;AAA;Sell to Close;-1.0;$216.26;11/13/20, 9:45 AM;($0.25);($0.47);0.0;
19;AAA;Buy to Open;1.0;$217.51;11/17/20, 9:35 AM;;($1.00);1.0;
20;AAA;Sell to Close;-1.0;$216.99;11/17/20, 9:40 AM;($0.52);($0.99);0.0;
21;AAA;Buy to Open;1.0;$211.62;11/23/20, 9:35 AM;;($0.95);1.0;
22;AAA;Sell to Close;-1.0;$212.03;11/23/20, 9:50 AM;$0.41;($0.58);0.0;
23;AAA;Buy to Open;1.0;$214.33;11/25/20, 9:35 AM;;($0.46);1.0;
24;AAA;Sell to Close;-1.0;$214.47;11/25/20, 9:40 AM;$0.14;($0.44);0.0;
25;AAA;Buy to Open;1.0;$214.57;11/27/20, 9:35 AM;;($0.30);1.0;
26;AAA;Sell to Close;-1.0;$214.56;11/27/20, 9:50 AM;($0.01);($0.45);0.0;
27;AAA;Sell to Close;-1.0;$214.19;12/1/20, 9:35 AM;$0.00;$0.15;-1.0;
28;AAA;Buy to Open;1.0;$214.19;12/1/20, 9:35 AM;;($0.45);0.0;
29;AAA;Buy to Open;1.0;$213.60;12/1/20, 9:40 AM;;($0.01);1.0;
30;AAA;Sell to Close;-1.0;$214.05;12/1/20, 10:10 AM;$0.46;$0.01;0.0;
31;AAA;Buy to Open;1.0;$214.85;12/7/20, 9:35 AM;;$0.48;1.0;
32;AAA;Sell to Close;-1.0;$215.01;12/7/20, 9:45 AM;$0.16;$0.17;0.0;
33;AAA;Buy to Open;1.0;$214.05;12/8/20, 9:35 AM;;($0.24);1.0;
34;AAA;Sell to Close;-1.0;$213.65;12/8/20, 9:40 AM;($0.40);($0.23);0.0;
35;AAA;Buy to Open;1.0;$212.24;12/10/20, 9:40 AM;;($0.06);1.0;
36;AAA;Sell to Close;-1.0;$212.57;12/10/20, 9:55 AM;$0.33;$0.10;0.0;
37;AAA;Buy to Open;1.0;$213.48;12/14/20, 9:35 AM;;$0.64;1.0;
38;AAA;Sell to Close;-1.0;$214.61;12/14/20, 9:55 AM;$1.13;$1.23;0.0;
39;AAA;Sell to Close;-1.0;$214.53;12/15/20, 9:35 AM;$0.00;$1.80;-1.0;
40;AAA;Buy to Open;1.0;$214.53;12/15/20, 9:35 AM;;$1.23;0.0;
41;AAA;Buy to Open;1.0;$215.16;12/16/20, 9:35 AM;;$1.04;1.0;
42;AAA;Sell to Close;-1.0;$216.31;12/16/20, 9:55 AM;$1.15;$2.38;0.0;
43;AAA;Buy to Open;1.0;$220.66;12/17/20, 9:35 AM;;$2.25;1.0;
44;AAA;Sell to Close;-1.0;$220.16;12/17/20, 9:45 AM;($0.50);$1.88;0.0;
45;AAA;Buy to Open;1.0;$218.83;12/18/20, 9:35 AM;;$1.74;1.0;
46;AAA;Sell to Close;-1.0;$218.17;12/18/20, 10:00 AM;($0.66);$1.22;0.0;
47;AAA;Buy to Open;1.0;$219.13;12/21/20, 9:35 AM;;$2.08;1.0;
48;AAA;Sell to Close;-1.0;$219.99;12/21/20, 9:40 AM;$0.86;$2.08;0.0;
49;AAA;Buy to Open;1.0;$223.57;12/22/20, 9:40 AM;;$3.59;1.0;
50;AAA;Sell to Close;-1.0;$225.49;12/22/20, 9:55 AM;$1.92;$4.00;0.0;
51;AAA;Buy to Open;1.0;$222.71;12/24/20, 9:35 AM;;$4.14;1.0;
52;AAA;Sell to Close;-1.0;$222.68;12/24/20, 9:50 AM;($0.03);$3.97;0.0;
53;AAA;Buy to Open;1.0;$224.02;12/28/20, 9:35 AM;;$3.83;1.0;
54;AAA;Sell to Close;-1.0;$223.61;12/28/20, 9:45 AM;($0.41);$3.56;0.0;
55;AAA;Buy to Open;1.0;$226.42;12/29/20, 9:35 AM;;$4.20;1.0;
56;AAA;Sell to Close;-1.0;$226.37;12/29/20, 9:50 AM;($0.05);$3.51;0.0;
57;AAA;Sell to Close;-1.0;$224.55;12/30/20, 9:35 AM;$0.00;$4.60;-1.0;
58;AAA;Buy to Open;1.0;$224.55;12/30/20, 9:35 AM;;$3.51;0.0;
59;AAA;Buy to Open;1.0;$217.37;1/5/21, 9:35 AM;;$3.92;1.0;
60;AAA;Sell to Close;-1.0;$218.44;1/5/21, 9:55 AM;$1.07;$4.58;0.0;
61;AAA;Buy to Open;1.0;$214.90;1/7/21, 9:35 AM;;$5.14;1.0;
62;AAA;Sell to Close;-1.0;$216.35;1/7/21, 9:50 AM;$1.45;$6.03;0.0;
63;AAA;Buy to Open;1.0;$219.83;1/8/21, 9:40 AM;;$6.36;1.0;
64;AAA;Sell to Close;-1.0;$219.43;1/8/21, 9:50 AM;($0.40);$5.63;0.0;
65;AAA;Buy to Open;1.0;$217.01;1/14/21, 9:35 AM;;$5.12;1.0;
66;AAA;Sell to Close;-1.0;$216.51;1/14/21, 9:40 AM;($0.50);$5.13;0.0;
67;AAA;Buy to Open;1.0;$214.23;1/15/21, 9:35 AM;;$4.78;1.0;
68;AAA;Sell to Close;-1.0;$213.70;1/15/21, 9:50 AM;($0.53);$4.60;0.0;
69;AAA;Buy to Open;1.0;$214.47;1/19/21, 9:35 AM;;$3.66;1.0;
70;AAA;Sell to Close;-1.0;$213.52;1/19/21, 9:45 AM;($0.95);$3.65;0.0;
71;AAA;Buy to Open;1.0;$218.76;1/20/21, 9:35 AM;;$5.09;1.0;
72;AAA;Sell to Close;-1.0;$220.78;1/20/21, 9:50 AM;$2.02;$5.66;0.0;
73;AAA;Buy to Open;1.0;$227.70;1/22/21, 9:35 AM;;$5.44;1.0;
74;AAA;Sell to Close;-1.0;$229.29;1/22/21, 9:50 AM;$1.59;$7.25;0.0;
75;AAA;Buy to Open;1.0;$229.47;1/25/21, 9:35 AM;;$6.71;1.0;
76;AAA;Sell to Close;-1.0;$228.15;1/25/21, 9:45 AM;($1.32);$5.93;0.0;
77;AAA;Buy to Open;1.0;$232.78;1/26/21, 9:35 AM;;$4.24;1.0;
78;AAA;Sell to Close;-1.0;$231.06;1/26/21, 9:40 AM;($1.72);$4.21;0.0;
79;AAA;Buy to Open;1.0;$235.33;1/27/21, 9:35 AM;;$3.05;1.0;
80;AAA;Sell to Close;-1.0;$233.00;1/27/21, 9:45 AM;($2.34);$1.88;0.0;
81;AAA;Buy to Open;1.0;$237.31;1/28/21, 9:35 AM;;$0.15;1.0;
82;AAA;Sell to Close;-1.0;$237.17;1/28/21, 9:45 AM;($0.14);$1.74;0.0;
83;AAA;Buy to Open;1.0;$234.87;2/1/21, 9:35 AM;;$2.03;1.0;
84;AAA;Sell to Close;-1.0;$234.05;2/1/21, 9:45 AM;($0.82);$0.92;0.0;
85;AAA;Buy to Open;1.0;$241.01;2/2/21, 9:40 AM;;$0.70;1.0;
86;AAA;Sell to Close;-1.0;$241.20;2/2/21, 9:55 AM;$0.19;$1.11;0.0;
87;AAA;Buy to Open;1.0;$240.10;2/3/21, 9:35 AM;;$1.23;1.0;
88;AAA;Sell to Close;-1.0;$242.73;2/3/21, 10:05 AM;$2.63;$3.74;0.0;
89;AAA;Buy to Open;1.0;$242.82;2/4/21, 9:40 AM;;$2.81;1.0;
90;AAA;Sell to Close;-1.0;$242.32;2/4/21, 10:00 AM;($0.50);$3.23;0.0;
91;AAA;Sell to Close;-1.0;$242.46;2/5/21, 9:35 AM;$0.00;$4.29;-1.0;
92;AAA;Buy to Open;1.0;$242.46;2/5/21, 9:35 AM;;$3.23;0.0;
93;AAA;Buy to Open;1.0;$241.39;2/5/21, 9:40 AM;;$3.10;1.0;
94;AAA;Sell to Close;-1.0;$241.57;2/5/21, 10:30 AM;$0.18;$3.41;0.0;
95;AAA;Buy to Open;1.0;$242.45;2/8/21, 9:35 AM;;$2.98;1.0;
96;AAA;Sell to Close;-1.0;$242.08;2/8/21, 9:40 AM;($0.37);$3.04;0.0;
97;AAA;Buy to Open;1.0;$242.36;2/9/21, 9:35 AM;;$3.55;1.0;
98;AAA;Sell to Close;-1.0;$244.07;2/9/21, 9:55 AM;$1.71;$4.75;0.0;
99;AAA;Buy to Open;1.0;$245.12;2/10/21, 9:35 AM;;$5.47;1.0;
100;AAA;Sell to Close;-1.0;$244.92;2/10/21, 9:45 AM;($0.20);$4.56;0.0;
101;AAA;Buy to Open;1.0;$244.19;2/11/21, 9:35 AM;;$4.69;1.0;
102;AAA;Sell to Close;-1.0;$243.92;2/11/21, 9:45 AM;($0.27);$4.29;0.0;
103;AAA;Buy to Open;1.0;$243.92;2/12/21, 9:35 AM;;$3.54;1.0;
104;AAA;Sell to Close;-1.0;$243.13;2/12/21, 10:10 AM;($0.79);$3.49;0.0;
105;AAA;Sell to Close;-1.0;$245.03;2/16/21, 9:35 AM;$0.00;$3.93;-1.0;
106;AAA;Buy to Open;1.0;$245.03;2/16/21, 9:35 AM;;$3.49;0.0;
107;AAA;Buy to Open;1.0;$244.63;2/16/21, 9:40 AM;;$3.63;1.0;
108;AAA;Sell to Close;-1.0;$244.54;2/16/21, 10:50 AM;($0.09);$3.40;0.0;
109;AAA;Buy to Open;1.0;$232.57;2/26/21, 9:40 AM;;$2.83;1.0;
110;AAA;Sell to Close;-1.0;$232.03;2/26/21, 9:45 AM;($0.54);$2.86;0.0;
111;AAA;Buy to Open;1.0;$228.66;3/5/21, 9:35 AM;;$2.48;1.0;
112;AAA;Sell to Close;-1.0;$228.69;3/5/21, 9:45 AM;$0.03;$2.89;0.0;
113;AAA;Buy to Open;1.0;$232.59;3/9/21, 9:35 AM;;$3.35;1.0;
114;AAA;Sell to Close;-1.0;$233.25;3/9/21, 9:50 AM;$0.66;$3.55;0.0;
115;AAA;Buy to Open;1.0;$235.91;3/10/21, 9:35 AM;;$4.09;1.0;
116;AAA;Sell to Close;-1.0;$236.57;3/10/21, 9:50 AM;$0.66;$4.21;0.0;
117;AAA;Buy to Open;1.0;$236.19;3/11/21, 9:35 AM;;$3.75;1.0;
118;AAA;Sell to Close;-1.0;$235.47;3/11/21, 9:45 AM;($0.72);$3.49;0.0;
