Strategy report
Symbol: MSFT
Work Time: 10/27/20, 9:40 AM - 7/7/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$211.09;10/27/20, 9:40 AM;;$0.79;1.0;
2;MacdPerfect;Sell to Close;-1.0;$211.44;10/27/20, 10:05 AM;$0.35;$0.35;0.0;
3;MacdPerfect;Buy to Open;1.0;$204.56;10/29/20, 9:35 AM;;($0.17);1.0;
4;MacdPerfect;Sell to Close;-1.0;$205.22;10/29/20, 10:30 AM;$0.66;$1.01;0.0;
5;MacdPerfect;Buy to Open;1.0;$203.96;11/2/20, 9:35 AM;;$1.90;1.0;
6;MacdPerfect;Sell to Close;-1.0;$204.46;11/2/20, 10:00 AM;$0.50;$1.51;0.0;
7;MacdPerfect;Buy to Open;1.0;$203.37;11/3/20, 9:35 AM;;$2.11;1.0;
8;MacdPerfect;Sell to Close;-1.0;$207.62;11/3/20, 10:30 AM;$4.25;$5.76;0.0;
9;MacdPerfect;Buy to Open;1.0;$215.00;11/4/20, 9:35 AM;;$3.86;1.0;
10;MacdPerfect;Sell to Close;-1.0;$214.78;11/4/20, 10:05 AM;($0.22);$5.54;0.0;
11;MacdPerfect;Buy to Open;1.0;$223.12;11/5/20, 9:40 AM;;$4.52;1.0;
12;MacdPerfect;Sell to Close;-1.0;$223.29;11/5/20, 10:05 AM;$0.17;$5.71;0.0;
13;MacdPerfect;Buy to Open;1.0;$223.91;11/9/20, 9:35 AM;;$6.09;1.0;
14;MacdPerfect;Sell to Close;-1.0;$226.90;11/9/20, 10:25 AM;$2.99;$8.70;0.0;
15;MacdPerfect;Buy to Open;1.0;$218.55;11/12/20, 9:40 AM;;$8.48;1.0;
16;MacdPerfect;Sell to Close;-1.0;$218.44;11/12/20, 10:10 AM;($0.11);$8.59;0.0;
17;MacdPerfect;Buy to Open;1.0;$216.52;11/13/20, 9:40 AM;;$8.32;1.0;
18;MacdPerfect;Sell to Close;-1.0;$215.69;11/13/20, 9:55 AM;($0.82);$7.77;0.0;
19;MacdPerfect;Buy to Open;1.0;$217.51;11/17/20, 9:35 AM;;$7.24;1.0;
20;MacdPerfect;Sell to Close;-1.0;$216.78;11/17/20, 9:45 AM;($0.73);$7.04;0.0;
21;MacdPerfect;Buy to Open;1.0;$211.62;11/23/20, 9:35 AM;;$7.07;1.0;
22;MacdPerfect;Sell to Close;-1.0;$211.39;11/23/20, 10:05 AM;($0.23);$6.81;0.0;
23;MacdPerfect;Buy to Open;1.0;$214.33;11/25/20, 9:35 AM;;$6.93;1.0;
24;MacdPerfect;Sell to Close;-1.0;$214.32;11/25/20, 9:55 AM;($0.01);$6.80;0.0;
25;MacdPerfect;Buy to Open;1.0;$214.57;11/27/20, 9:35 AM;;$6.94;1.0;
26;MacdPerfect;Sell to Close;-1.0;$215.74;11/27/20, 10:45 AM;$1.17;$7.97;0.0;
27;MacdPerfect;Buy to Open;1.0;$214.19;12/1/20, 9:35 AM;;$7.37;1.0;
28;MacdPerfect;Sell to Close;-1.0;$213.96;12/1/20, 9:55 AM;($0.23);$7.74;0.0;
29;MacdPerfect;Buy to Open;1.0;$214.85;12/7/20, 9:35 AM;;$8.21;1.0;
30;MacdPerfect;Sell to Close;-1.0;$214.76;12/7/20, 9:55 AM;($0.09);$7.65;0.0;
31;MacdPerfect;Buy to Open;1.0;$214.05;12/8/20, 9:35 AM;;$7.24;1.0;
32;MacdPerfect;Sell to Close;-1.0;$213.58;12/8/20, 9:45 AM;($0.47);$7.18;0.0;
33;MacdPerfect;Buy to Open;1.0;$212.24;12/10/20, 9:40 AM;;$7.35;1.0;
34;MacdPerfect;Sell to Close;-1.0;$212.38;12/10/20, 10:15 AM;$0.14;$7.32;0.0;
35;MacdPerfect;Buy to Open;1.0;$213.48;12/14/20, 9:35 AM;;$7.86;1.0;
36;MacdPerfect;Sell to Close;-1.0;$214.98;12/14/20, 10:05 AM;$1.50;$8.82;0.0;
37;MacdPerfect;Buy to Open;1.0;$214.53;12/15/20, 9:35 AM;;$8.25;1.0;
38;MacdPerfect;Sell to Close;-1.0;$214.05;12/15/20, 9:50 AM;($0.47);$8.34;0.0;
39;MacdPerfect;Buy to Open;1.0;$215.16;12/16/20, 9:35 AM;;$8.15;1.0;
40;MacdPerfect;Sell to Close;-1.0;$216.31;12/16/20, 10:10 AM;$1.15;$9.49;0.0;
41;MacdPerfect;Buy to Open;1.0;$220.66;12/17/20, 9:35 AM;;$9.36;1.0;
42;MacdPerfect;Sell to Close;-1.0;$219.74;12/17/20, 9:50 AM;($0.92);$8.57;0.0;
43;MacdPerfect;Buy to Open;1.0;$218.83;12/18/20, 9:35 AM;;$8.43;1.0;
44;MacdPerfect;Sell to Close;-1.0;$218.71;12/18/20, 9:40 AM;($0.12);$8.45;0.0;
45;MacdPerfect;Buy to Open;1.0;$219.13;12/21/20, 9:35 AM;;$9.31;1.0;
46;MacdPerfect;Sell to Close;-1.0;$218.31;12/21/20, 9:50 AM;($0.82);$7.63;0.0;
47;MacdPerfect;Buy to Open;1.0;$223.57;12/22/20, 9:40 AM;;$9.15;1.0;
48;MacdPerfect;Sell to Close;-1.0;$224.35;12/22/20, 10:10 AM;$0.78;$8.41;0.0;
49;MacdPerfect;Buy to Open;1.0;$222.71;12/24/20, 9:35 AM;;$8.55;1.0;
50;MacdPerfect;Sell to Close;-1.0;$222.61;12/24/20, 10:10 AM;($0.10);$8.31;0.0;
51;MacdPerfect;Buy to Open;1.0;$224.02;12/28/20, 9:35 AM;;$8.17;1.0;
52;MacdPerfect;Sell to Close;-1.0;$223.75;12/28/20, 10:00 AM;($0.27);$8.04;0.0;
53;MacdPerfect;Buy to Open;1.0;$226.42;12/29/20, 9:35 AM;;$8.68;1.0;
54;MacdPerfect;Sell to Close;-1.0;$225.79;12/29/20, 10:00 AM;($0.63);$7.41;0.0;
55;MacdPerfect;Buy to Open;1.0;$224.55;12/30/20, 9:35 AM;;$6.32;1.0;
56;MacdPerfect;Sell to Close;-1.0;$222.61;12/30/20, 11:20 AM;($1.94);$5.47;0.0;
57;MacdPerfect;Buy to Open;1.0;$217.37;1/5/21, 9:35 AM;;$5.88;1.0;
58;MacdPerfect;Sell to Close;-1.0;$218.44;1/5/21, 9:55 AM;$1.07;$6.54;0.0;
59;MacdPerfect;Buy to Open;1.0;$214.90;1/7/21, 9:35 AM;;$7.10;1.0;
60;MacdPerfect;Sell to Close;-1.0;$217.57;1/7/21, 10:10 AM;$2.67;$9.21;0.0;
61;MacdPerfect;Buy to Open;1.0;$219.83;1/8/21, 9:40 AM;;$9.54;1.0;
62;MacdPerfect;Sell to Close;-1.0;$219.49;1/8/21, 10:10 AM;($0.34);$8.87;0.0;
