Strategy report
Symbol: MSFT
Work Time: 1/16/20, 9:35 AM - 10/1/20, 9:55 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$164.43;1/16/20, 9:35 AM;;($0.07);1.0;
2;MacdPerfect;Sell to Close;-1.0;$164.95;1/16/20, 10:10 AM;$0.52;$0.52;0.0;
3;MacdPerfect;Buy to Open;1.0;$166.69;1/17/20, 9:35 AM;;($0.01);1.0;
4;MacdPerfect;Sell to Close;-1.0;$166.42;1/17/20, 9:50 AM;($0.27);$0.25;0.0;
5;MacdPerfect;Sell to Close;-1.0;$167.02;1/21/20, 9:35 AM;$0.00;$0.37;-1.0;
6;MacdPerfect;Buy to Open;1.0;$167.02;1/21/20, 9:35 AM;;$0.25;0.0;
7;MacdPerfect;Buy to Open;1.0;$166.91;1/21/20, 9:40 AM;;$0.25;1.0;
8;MacdPerfect;Sell to Close;-1.0;$167.51;1/21/20, 10:20 AM;$0.60;$0.85;0.0;
9;MacdPerfect;Sell to Close;-1.0;$165.93;1/23/20, 9:40 AM;$0.00;$1.17;-1.0;
10;MacdPerfect;Buy to Open;1.0;$165.93;1/23/20, 9:40 AM;;$0.85;0.0;
11;MacdPerfect;Buy to Open;1.0;$166.89;1/24/20, 9:35 AM;;$1.23;1.0;
12;MacdPerfect;Sell to Close;-1.0;$167.40;1/24/20, 10:00 AM;$0.51;$1.36;0.0;
13;MacdPerfect;Buy to Open;1.0;$163.16;1/28/20, 9:40 AM;;$1.95;1.0;
14;MacdPerfect;Sell to Close;-1.0;$164.61;1/28/20, 10:10 AM;$1.45;$2.81;0.0;
15;MacdPerfect;Buy to Open;1.0;$167.46;1/29/20, 9:35 AM;;$2.35;1.0;
16;MacdPerfect;Sell to Close;-1.0;$166.45;1/29/20, 9:55 AM;($1.01);$1.80;0.0;
17;MacdPerfect;Buy to Open;1.0;$172.91;1/30/20, 9:35 AM;;$2.25;1.0;
18;MacdPerfect;Sell to Close;-1.0;$172.44;1/30/20, 10:00 AM;($0.47);$1.34;0.0;
19;MacdPerfect;Buy to Open;1.0;$171.01;2/3/20, 9:40 AM;;$1.77;1.0;
20;MacdPerfect;Sell to Close;-1.0;$173.00;2/3/20, 10:20 AM;$1.99;$3.33;0.0;
21;MacdPerfect;Buy to Open;1.0;$176.93;2/4/20, 9:35 AM;;$3.02;1.0;
22;MacdPerfect;Sell to Close;-1.0;$177.88;2/4/20, 10:05 AM;$0.95;$4.28;0.0;
23;MacdPerfect;Buy to Open;1.0;$183.20;2/5/20, 9:35 AM;;$3.66;1.0;
24;MacdPerfect;Sell to Close;-1.0;$181.12;2/5/20, 9:55 AM;($2.08);$2.20;0.0;
25;MacdPerfect;Buy to Open;1.0;$180.54;2/6/20, 9:40 AM;;$2.23;1.0;
26;MacdPerfect;Sell to Close;-1.0;$181.99;2/6/20, 10:15 AM;$1.45;$3.65;0.0;
27;MacdPerfect;Sell to Close;-1.0;$182.63;2/7/20, 9:35 AM;$0.00;$3.17;-1.0;
28;MacdPerfect;Buy to Open;1.0;$182.63;2/7/20, 9:35 AM;;$3.65;0.0;
29;MacdPerfect;Buy to Open;1.0;$183.10;2/7/20, 9:40 AM;;$4.03;1.0;
30;MacdPerfect;Sell to Close;-1.0;$185.17;2/7/20, 10:45 AM;$2.07;$5.72;0.0;
31;MacdPerfect;Sell to Close;-1.0;$189.22;2/11/20, 9:35 AM;$0.00;$6.96;-1.0;
32;MacdPerfect;Buy to Open;1.0;$189.22;2/11/20, 9:35 AM;;$5.72;0.0;
33;MacdPerfect;Buy to Open;1.0;$187.99;2/11/20, 9:40 AM;;$7.12;1.0;
34;MacdPerfect;Sell to Close;-1.0;$189.05;2/11/20, 9:50 AM;$1.06;$6.78;0.0;
35;MacdPerfect;Buy to Open;1.0;$184.79;2/13/20, 9:35 AM;;$6.17;1.0;
36;MacdPerfect;Sell to Close;-1.0;$184.18;2/13/20, 9:40 AM;($0.61);$6.17;0.0;
37;MacdPerfect;Buy to Open;1.0;$186.24;2/18/20, 9:35 AM;;$6.17;1.0;
38;MacdPerfect;Sell to Close;-1.0;$187.41;2/18/20, 10:10 AM;$1.16;$7.33;0.0;
39;MacdPerfect;Buy to Open;1.0;$173.25;2/25/20, 9:35 AM;;$7.98;1.0;
40;MacdPerfect;Sell to Close;-1.0;$173.36;2/25/20, 10:10 AM;$0.11;$7.44;0.0;
41;MacdPerfect;Buy to Open;1.0;$171.51;2/26/20, 9:40 AM;;$8.09;1.0;
42;MacdPerfect;Sell to Close;-1.0;$170.76;2/26/20, 10:05 AM;($0.75);$6.69;0.0;
43;MacdPerfect;Buy to Open;1.0;$165.13;3/2/20, 9:35 AM;;$5.79;1.0;
44;MacdPerfect;Sell to Close;-1.0;$165.23;3/2/20, 10:00 AM;$0.10;$6.79;0.0;
45;MacdPerfect;Buy to Open;1.0;$172.28;3/3/20, 9:35 AM;;$4.84;1.0;
46;MacdPerfect;Sell to Close;-1.0;$170.34;3/3/20, 9:40 AM;($1.94);$4.85;0.0;
47;MacdPerfect;Buy to Open;1.0;$157.12;3/10/20, 9:35 AM;;$3.71;1.0;
48;MacdPerfect;Sell to Close;-1.0;$158.17;3/10/20, 10:10 AM;$1.05;$5.90;0.0;
49;MacdPerfect;Buy to Open;1.0;$146.36;3/13/20, 9:35 AM;;$4.66;1.0;
50;MacdPerfect;Sell to Close;-1.0;$145.66;3/13/20, 10:10 AM;($0.70);$5.20;0.0;
51;MacdPerfect;Buy to Open;1.0;$139.74;3/17/20, 9:35 AM;;$2.55;1.0;
52;MacdPerfect;Sell to Close;-1.0;$145.44;3/17/20, 11:20 AM;$5.70;$10.90;0.0;
53;MacdPerfect;Buy to Open;1.0;$141.59;3/19/20, 9:35 AM;;$10.06;1.0;
54;MacdPerfect;Sell to Close;-1.0;$141.67;3/19/20, 9:50 AM;$0.08;$10.99;0.0;
55;MacdPerfect;Buy to Open;1.0;$145.58;3/20/20, 9:35 AM;;$9.36;1.0;
56;MacdPerfect;Sell to Close;-1.0;$146.70;3/20/20, 10:55 AM;$1.11;$12.10;0.0;
57;MacdPerfect;Buy to Open;1.0;$144.65;3/24/20, 9:35 AM;;$11.25;1.0;
58;MacdPerfect;Sell to Close;-1.0;$142.04;3/24/20, 10:00 AM;($2.61);$9.49;0.0;
59;MacdPerfect;Buy to Open;1.0;$149.36;3/25/20, 9:35 AM;;$11.19;1.0;
60;MacdPerfect;Sell to Close;-1.0;$148.67;3/25/20, 9:55 AM;($0.69);$8.80;0.0;
61;MacdPerfect;Buy to Open;1.0;$150.21;3/26/20, 9:35 AM;;$9.96;1.0;
62;MacdPerfect;Sell to Close;-1.0;$152.34;3/26/20, 10:10 AM;$2.13;$10.94;0.0;
63;MacdPerfect;Buy to Open;1.0;$154.61;3/30/20, 9:35 AM;;$10.24;1.0;
64;MacdPerfect;Sell to Close;-1.0;$157.33;3/30/20, 10:10 AM;$2.72;$13.66;0.0;
65;MacdPerfect;Buy to Open;1.0;$153.50;4/2/20, 9:40 AM;;$11.43;1.0;
66;MacdPerfect;Sell to Close;-1.0;$151.24;4/2/20, 9:45 AM;($2.26);$11.40;0.0;
67;MacdPerfect;Buy to Open;1.0;$155.06;4/3/20, 9:35 AM;;$12.69;1.0;
68;MacdPerfect;Sell to Close;-1.0;$156.34;4/3/20, 10:00 AM;$1.28;$12.68;0.0;
