Strategy report
Symbol: MSFT
Work Time: 10/21/20, 12:25 PM - 7/6/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$215.06;10/21/20, 12:25 PM;;($0.25);1.0;
2;MacdPerfect;Sell to Close;-1.0;$214.44;10/21/20, 12:30 PM;($0.62);($0.62);0.0;
3;MacdPerfect;Buy to Open;1.0;$215.21;10/21/20, 1:30 PM;;($0.51);1.0;
4;MacdPerfect;Sell to Close;-1.0;$214.99;10/21/20, 1:40 PM;($0.22);($0.84);0.0;
5;MacdPerfect;Buy to Open;1.0;$213.85;10/22/20, 1:05 PM;;($0.71);1.0;
6;MacdPerfect;Sell to Close;-1.0;$214.68;10/22/20, 1:50 PM;$0.83;($0.01);0.0;
7;MacdPerfect;Buy to Open;1.0;$210.32;10/26/20, 11:40 AM;;($0.29);1.0;
8;MacdPerfect;Sell to Close;-1.0;$209.99;10/26/20, 12:45 PM;($0.33);($0.34);0.0;
9;MacdPerfect;Buy to Open;1.0;$211.24;10/27/20, 9:35 AM;;($0.50);1.0;
10;MacdPerfect;Sell to Close;-1.0;$211.66;10/27/20, 10:05 AM;$0.41;$0.07;0.0;
11;MacdPerfect;Buy to Open;1.0;$211.72;10/27/20, 10:10 AM;;($0.10);1.0;
12;MacdPerfect;Sell to Close;-1.0;$211.17;10/27/20, 10:15 AM;($0.55);($0.48);0.0;
13;MacdPerfect;Buy to Open;1.0;$210.66;10/27/20, 10:20 AM;;($0.63);1.0;
14;MacdPerfect;Sell to Close;-1.0;$210.61;10/27/20, 10:25 AM;($0.04);($0.52);0.0;
15;MacdPerfect;Buy to Open;1.0;$212.09;10/27/20, 10:50 AM;;($0.54);1.0;
16;MacdPerfect;Sell to Close;-1.0;$212.18;10/27/20, 11:30 AM;$0.09;($0.44);0.0;
17;MacdPerfect;Buy to Open;1.0;$205.15;10/28/20, 3:25 PM;;($0.52);1.0;
18;MacdPerfect;Sell to Close;-1.0;$204.48;10/28/20, 3:40 PM;($0.66);($1.10);0.0;
19;MacdPerfect;Buy to Open;1.0;$201.09;10/30/20, 1:10 PM;;($1.11);1.0;
20;MacdPerfect;Sell to Close;-1.0;$200.99;10/30/20, 1:15 PM;($0.10);($1.20);0.0;
21;MacdPerfect;Buy to Open;1.0;$201.61;10/30/20, 3:20 PM;;($1.00);1.0;
22;MacdPerfect;Sell to Close;-1.0;$200.71;10/30/20, 3:30 PM;($0.90);($2.10);0.0;
23;MacdPerfect;Buy to Open;1.0;$200.55;10/30/20, 3:35 PM;;($2.07);1.0;
24;MacdPerfect;Sell to Close;-1.0;$200.94;10/30/20, 3:40 PM;$0.39;($1.71);0.0;
25;MacdPerfect;Buy to Open;1.0;$201.03;10/30/20, 3:45 PM;;($1.97);1.0;
26;MacdPerfect;Sell to Close;-1.0;$201.78;10/30/20, 3:55 PM;$0.75;($0.96);0.0;
27;MacdPerfect;Buy to Open;1.0;$204.41;11/2/20, 9:35 AM;;($0.52);1.0;
28;MacdPerfect;Sell to Close;-1.0;$204.03;11/2/20, 10:10 AM;($0.38);($1.34);0.0;
29;MacdPerfect;Buy to Open;1.0;$204.51;11/2/20, 10:15 AM;;($1.17);1.0;
30;MacdPerfect;Sell to Close;-1.0;$203.91;11/2/20, 10:30 AM;($0.60);($1.94);0.0;
31;MacdPerfect;Buy to Open;1.0;$202.31;11/2/20, 11:45 AM;;($2.01);1.0;
32;MacdPerfect;Sell to Close;-1.0;$201.65;11/2/20, 12:00 PM;($0.66);($2.60);0.0;
33;MacdPerfect;Buy to Open;1.0;$201.75;11/2/20, 12:10 PM;;($2.69);1.0;
34;MacdPerfect;Sell to Close;-1.0;$201.15;11/2/20, 12:40 PM;($0.60);($3.20);0.0;
35;MacdPerfect;Buy to Open;1.0;$201.20;11/2/20, 12:55 PM;;($3.15);1.0;
36;MacdPerfect;Sell to Close;-1.0;$200.89;11/2/20, 1:10 PM;($0.31);($3.52);0.0;
37;MacdPerfect;Buy to Open;1.0;$201.01;11/2/20, 1:25 PM;;($3.32);1.0;
38;MacdPerfect;Sell to Close;-1.0;$200.48;11/2/20, 1:50 PM;($0.53);($4.05);0.0;
39;MacdPerfect;Buy to Open;1.0;$201.28;11/2/20, 3:00 PM;;($4.07);1.0;
40;MacdPerfect;Sell to Close;-1.0;$201.15;11/2/20, 3:10 PM;($0.14);($4.18);0.0;
41;MacdPerfect;Buy to Open;1.0;$201.42;11/2/20, 3:15 PM;;($4.00);1.0;
