Strategy report
Symbol: MU
Work Time: 10/21/20, 1:30 PM - 7/6/21, 2:25 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$53.68;10/21/20, 1:30 PM;;$0.05;1.0;
2;MacdPerfect;Sell to Close;-1.0;$53.74;10/21/20, 2:00 PM;$0.06;$0.06;0.0;
3;MacdPerfect;Buy to Open;1.0;$53.77;10/21/20, 2:05 PM;;$0.10;1.0;
4;MacdPerfect;Sell to Close;-1.0;$53.73;10/21/20, 2:25 PM;($0.04);$0.02;0.0;
5;MacdPerfect;Buy to Open;1.0;$53.79;10/21/20, 3:30 PM;;($0.01);1.0;
6;MacdPerfect;Sell to Close;-1.0;$53.71;10/21/20, 3:35 PM;($0.08);($0.06);0.0;
7;MacdPerfect;Buy to Open;1.0;$50.33;11/2/20, 9:35 AM;;$0.12;1.0;
8;MacdPerfect;Sell to Close;-1.0;$50.20;11/2/20, 9:45 AM;($0.13);($0.19);0.0;
9;MacdPerfect;Buy to Open;1.0;$50.36;11/2/20, 9:50 AM;;($0.13);1.0;
10;MacdPerfect;Sell to Close;-1.0;$50.10;11/2/20, 10:00 AM;($0.26);($0.45);0.0;
11;MacdPerfect;Buy to Open;1.0;$50.53;11/3/20, 9:35 AM;;($0.35);1.0;
12;MacdPerfect;Sell to Close;-1.0;$51.37;11/3/20, 10:35 AM;$0.85;$0.40;0.0;
13;MacdPerfect;Buy to Open;1.0;$51.22;11/4/20, 9:35 AM;;$0.24;1.0;
14;MacdPerfect;Sell to Close;-1.0;$51.11;11/4/20, 9:40 AM;($0.12);$0.29;0.0;
15;MacdPerfect;Buy to Open;1.0;$51.23;11/4/20, 9:50 AM;;$0.24;1.0;
16;MacdPerfect;Sell to Close;-1.0;$51.29;11/4/20, 9:55 AM;$0.05;$0.34;0.0;
17;MacdPerfect;Buy to Open;1.0;$53.20;11/5/20, 9:35 AM;;$0.35;1.0;
18;MacdPerfect;Sell to Close;-1.0;$53.86;11/5/20, 10:25 AM;$0.65;$0.99;0.0;
19;MacdPerfect;Buy to Open;1.0;$54.77;11/6/20, 9:35 AM;;$0.95;1.0;
20;MacdPerfect;Sell to Close;-1.0;$54.59;11/6/20, 9:50 AM;($0.18);$0.81;0.0;
21;MacdPerfect;Buy to Open;1.0;$54.47;11/6/20, 9:55 AM;;$0.69;1.0;
22;MacdPerfect;Sell to Close;-1.0;$54.43;11/6/20, 10:00 AM;($0.04);$0.78;0.0;
23;MacdPerfect;Buy to Open;1.0;$55.01;11/6/20, 10:15 AM;;$0.84;1.0;
24;MacdPerfect;Sell to Close;-1.0;$54.98;11/6/20, 10:45 AM;($0.03);$0.75;0.0;
25;MacdPerfect;Buy to Open;1.0;$56.96;11/9/20, 9:35 AM;;$0.38;1.0;
26;MacdPerfect;Sell to Close;-1.0;$57.27;11/9/20, 10:10 AM;$0.30;$1.05;0.0;
27;MacdPerfect;Buy to Open;1.0;$57.57;11/9/20, 10:15 AM;;$1.18;1.0;
28;MacdPerfect;Sell to Close;-1.0;$57.56;11/9/20, 10:25 AM;($0.01);$1.04;0.0;
29;MacdPerfect;Buy to Open;1.0;$56.82;11/9/20, 1:00 PM;;$1.05;1.0;
30;MacdPerfect;Sell to Close;-1.0;$56.62;11/9/20, 1:20 PM;($0.20);$0.84;0.0;
31;MacdPerfect;Buy to Open;1.0;$56.58;11/9/20, 2:40 PM;;$0.94;1.0;
32;MacdPerfect;Sell to Close;-1.0;$56.65;11/9/20, 3:30 PM;$0.07;$0.91;0.0;
33;MacdPerfect;Buy to Open;1.0;$56.73;11/9/20, 3:40 PM;;$0.85;1.0;
34;MacdPerfect;Sell to Close;-1.0;$56.63;11/9/20, 3:45 PM;($0.10);$0.81;0.0;
35;MacdPerfect;Buy to Open;1.0;$56.62;11/11/20, 9:35 AM;;$0.92;1.0;
36;MacdPerfect;Sell to Close;-1.0;$56.47;11/11/20, 9:55 AM;($0.15);$0.66;0.0;
37;MacdPerfect;Buy to Open;1.0;$56.26;11/11/20, 10:00 AM;;$0.65;1.0;
38;MacdPerfect;Sell to Close;-1.0;$56.13;11/11/20, 10:15 AM;($0.13);$0.53;0.0;
39;MacdPerfect;Buy to Open;1.0;$56.44;11/11/20, 11:30 AM;;$0.52;1.0;
40;MacdPerfect;Sell to Close;-1.0;$56.68;11/11/20, 12:25 PM;$0.24;$0.76;0.0;
41;MacdPerfect;Buy to Open;1.0;$56.29;11/12/20, 10:15 AM;;$0.83;1.0;
42;MacdPerfect;Sell to Close;-1.0;$56.12;11/12/20, 11:15 AM;($0.17);$0.60;0.0;
43;MacdPerfect;Buy to Open;1.0;$56.04;11/12/20, 1:15 PM;;$0.58;1.0;
44;MacdPerfect;Sell to Close;-1.0;$55.96;11/12/20, 1:25 PM;($0.08);$0.52;0.0;
45;MacdPerfect;Buy to Open;1.0;$56.17;11/12/20, 1:35 PM;;$0.58;1.0;
46;MacdPerfect;Sell to Close;-1.0;$56.41;11/12/20, 2:20 PM;$0.23;$0.75;0.0;
47;MacdPerfect;Buy to Open;1.0;$56.34;11/12/20, 3:45 PM;;$0.74;1.0;
48;MacdPerfect;Sell to Close;-1.0;$56.30;11/12/20, 3:55 PM;($0.04);$0.72;0.0;
49;MacdPerfect;Buy to Open;1.0;$57.54;11/13/20, 9:35 AM;;$0.84;1.0;
50;MacdPerfect;Sell to Close;-1.0;$57.82;11/13/20, 10:10 AM;$0.27;$0.99;0.0;
51;MacdPerfect;Buy to Open;1.0;$57.81;11/13/20, 10:15 AM;;$0.98;1.0;
52;MacdPerfect;Sell to Close;-1.0;$57.77;11/13/20, 10:35 AM;($0.04);$0.95;0.0;
53;MacdPerfect;Buy to Open;1.0;$57.59;11/13/20, 11:50 AM;;$1.02;1.0;
54;MacdPerfect;Sell to Close;-1.0;$57.69;11/13/20, 12:20 PM;$0.10;$1.06;0.0;
55;MacdPerfect;Buy to Open;1.0;$60.40;11/16/20, 9:35 AM;;$1.08;1.0;
56;MacdPerfect;Sell to Close;-1.0;$60.22;11/16/20, 9:45 AM;($0.18);$0.87;0.0;
57;MacdPerfect;Buy to Open;1.0;$60.13;11/16/20, 9:50 AM;;$0.81;1.0;
58;MacdPerfect;Sell to Close;-1.0;$60.64;11/16/20, 10:15 AM;$0.51;$1.39;0.0;
59;MacdPerfect;Buy to Open;1.0;$61.25;11/18/20, 11:05 AM;;$1.40;1.0;
60;MacdPerfect;Sell to Close;-1.0;$61.61;11/18/20, 12:55 PM;$0.37;$1.76;0.0;
61;MacdPerfect;Buy to Open;1.0;$62.30;11/20/20, 9:40 AM;;$1.93;1.0;
62;MacdPerfect;Sell to Close;-1.0;$62.01;11/20/20, 9:50 AM;($0.29);$1.47;0.0;
63;MacdPerfect;Buy to Open;1.0;$62.07;11/20/20, 9:55 AM;;$1.58;1.0;
64;MacdPerfect;Sell to Close;-1.0;$61.90;11/20/20, 10:10 AM;($0.18);$1.29;0.0;
65;MacdPerfect;Buy to Open;1.0;$62.01;11/20/20, 12:25 PM;;$1.31;1.0;
66;MacdPerfect;Sell to Close;-1.0;$61.98;11/20/20, 1:25 PM;($0.03);$1.27;0.0;
67;MacdPerfect;Buy to Open;1.0;$62.30;11/20/20, 1:40 PM;;$1.27;1.0;
68;MacdPerfect;Sell to Close;-1.0;$62.35;11/20/20, 2:05 PM;$0.04;$1.31;0.0;
69;MacdPerfect;Buy to Open;1.0;$61.69;11/20/20, 3:50 PM;;$1.18;1.0;
70;MacdPerfect;Sell to Close;-1.0;$61.47;11/20/20, 3:55 PM;($0.22);$1.09;0.0;
71;MacdPerfect;Buy to Open;1.0;$63.25;11/23/20, 9:35 AM;;$1.15;1.0;
72;MacdPerfect;Sell to Close;-1.0;$63.86;11/23/20, 10:25 AM;$0.61;$1.71;0.0;
73;MacdPerfect;Buy to Open;1.0;$63.17;11/24/20, 12:50 PM;;$1.74;1.0;
74;MacdPerfect;Sell to Close;-1.0;$63.36;11/24/20, 1:25 PM;$0.19;$1.90;0.0;
75;MacdPerfect;Buy to Open;1.0;$63.40;11/24/20, 1:40 PM;;$1.91;1.0;
76;MacdPerfect;Sell to Close;-1.0;$63.40;11/24/20, 2:10 PM;($0.01);$1.89;0.0;
77;MacdPerfect;Buy to Open;1.0;$64.36;11/27/20, 9:35 AM;;$1.98;1.0;
78;MacdPerfect;Sell to Close;-1.0;$64.32;11/27/20, 10:05 AM;($0.03);$1.86;0.0;
79;MacdPerfect;Buy to Open;1.0;$64.32;11/27/20, 10:10 AM;;$1.88;1.0;
80;MacdPerfect;Sell to Close;-1.0;$64.17;11/27/20, 10:20 AM;($0.16);$1.70;0.0;
