Strategy report
Symbol: NKE
Work Time: 10/21/20, 2:45 PM - 7/6/21, 2:00 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$129.59;10/21/20, 2:45 PM;;$0.03;1.0;
2;MacdPerfect;Sell to Close;-1.0;$129.56;10/21/20, 3:10 PM;($0.03);($0.03);0.0;
3;MacdPerfect;Buy to Open;1.0;$129.53;10/21/20, 3:35 PM;;($0.12);1.0;
4;MacdPerfect;Sell to Close;-1.0;$129.42;10/21/20, 3:40 PM;($0.11);($0.14);0.0;
5;MacdPerfect;Buy to Open;1.0;$129.78;10/22/20, 11:00 AM;;($0.09);1.0;
6;MacdPerfect;Sell to Close;-1.0;$129.53;10/22/20, 11:35 AM;($0.25);($0.39);0.0;
7;MacdPerfect;Buy to Open;1.0;$129.76;10/22/20, 1:15 PM;;($0.41);1.0;
8;MacdPerfect;Sell to Close;-1.0;$129.65;10/22/20, 1:30 PM;($0.11);($0.50);0.0;
9;MacdPerfect;Buy to Open;1.0;$130.35;10/23/20, 9:35 AM;;($0.46);1.0;
10;MacdPerfect;Sell to Close;-1.0;$129.70;10/23/20, 9:45 AM;($0.65);($1.15);0.0;
11;MacdPerfect;Buy to Open;1.0;$129.50;10/23/20, 1:30 PM;;($1.10);1.0;
12;MacdPerfect;Sell to Close;-1.0;$130.30;10/23/20, 2:40 PM;$0.80;($0.35);0.0;
13;MacdPerfect;Buy to Open;1.0;$127.77;10/26/20, 2:20 PM;;($0.41);1.0;
14;MacdPerfect;Sell to Close;-1.0;$127.85;10/26/20, 2:50 PM;$0.08;($0.27);0.0;
15;MacdPerfect;Buy to Open;1.0;$127.96;10/26/20, 2:55 PM;;($0.28);1.0;
16;MacdPerfect;Sell to Close;-1.0;$127.91;10/26/20, 3:05 PM;($0.05);($0.32);0.0;
17;MacdPerfect;Buy to Open;1.0;$127.88;10/26/20, 3:10 PM;;($0.51);1.0;
18;MacdPerfect;Sell to Close;-1.0;$127.65;10/26/20, 3:15 PM;($0.22);($0.55);0.0;
19;MacdPerfect;Buy to Open;1.0;$127.94;10/26/20, 3:25 PM;;($0.44);1.0;
20;MacdPerfect;Sell to Close;-1.0;$127.87;10/26/20, 3:50 PM;($0.07);($0.62);0.0;
21;MacdPerfect;Buy to Open;1.0;$128.13;10/26/20, 3:55 PM;;($0.31);1.0;
22;MacdPerfect;Sell to Close;-1.0;$128.78;10/27/20, 9:30 AM;$0.65;$0.03;0.0;
23;MacdPerfect;Buy to Open;1.0;$128.75;10/27/20, 9:35 AM;;$0.38;1.0;
24;MacdPerfect;Sell to Close;-1.0;$128.90;10/27/20, 9:55 AM;$0.15;$0.19;0.0;
25;MacdPerfect;Buy to Open;1.0;$128.75;10/27/20, 10:00 AM;;$0.25;1.0;
26;MacdPerfect;Sell to Close;-1.0;$128.88;10/27/20, 10:20 AM;$0.13;$0.32;0.0;
27;MacdPerfect;Buy to Open;1.0;$128.89;10/27/20, 12:15 PM;;$0.32;1.0;
28;MacdPerfect;Sell to Close;-1.0;$128.58;10/27/20, 12:30 PM;($0.31);$0.01;0.0;
29;MacdPerfect;Buy to Open;1.0;$128.83;10/27/20, 1:40 PM;;$0.03;1.0;
30;MacdPerfect;Sell to Close;-1.0;$128.82;10/27/20, 2:05 PM;($0.01);$0.00;0.0;
31;MacdPerfect;Buy to Open;1.0;$128.71;10/27/20, 2:15 PM;;($0.29);1.0;
32;MacdPerfect;Sell to Close;-1.0;$128.42;10/27/20, 2:20 PM;($0.29);($0.29);0.0;
33;MacdPerfect;Buy to Open;1.0;$120.62;10/30/20, 12:50 PM;;($0.46);1.0;
34;MacdPerfect;Sell to Close;-1.0;$120.45;10/30/20, 12:55 PM;($0.17);($0.46);0.0;
35;MacdPerfect;Buy to Open;1.0;$120.20;10/30/20, 1:00 PM;;($0.42);1.0;
36;MacdPerfect;Sell to Close;-1.0;$120.08;10/30/20, 1:10 PM;($0.12);($0.58);0.0;
37;MacdPerfect;Buy to Open;1.0;$120.58;10/30/20, 2:10 PM;;($0.95);1.0;
38;MacdPerfect;Sell to Close;-1.0;$120.25;10/30/20, 2:15 PM;($0.33);($0.90);0.0;
39;MacdPerfect;Buy to Open;1.0;$120.30;10/30/20, 2:20 PM;;($1.15);1.0;
40;MacdPerfect;Sell to Close;-1.0;$120.07;10/30/20, 2:25 PM;($0.23);($1.13);0.0;
41;MacdPerfect;Buy to Open;1.0;$121.15;11/2/20, 9:35 AM;;($0.56);1.0;
42;MacdPerfect;Sell to Close;-1.0;$123.77;11/2/20, 10:30 AM;$2.63;$1.50;0.0;
43;MacdPerfect;Buy to Open;1.0;$122.26;11/2/20, 2:55 PM;;$1.56;1.0;
44;MacdPerfect;Sell to Close;-1.0;$122.18;11/2/20, 3:15 PM;($0.07);$1.42;0.0;
45;MacdPerfect;Buy to Open;1.0;$122.50;11/2/20, 3:20 PM;;$1.38;1.0;
46;MacdPerfect;Sell to Close;-1.0;$122.36;11/2/20, 3:30 PM;($0.14);$1.28;0.0;
47;MacdPerfect;Buy to Open;1.0;$122.34;11/2/20, 3:35 PM;;$0.85;1.0;
48;MacdPerfect;Sell to Close;-1.0;$121.91;11/2/20, 3:40 PM;($0.43);$0.85;0.0;
49;MacdPerfect;Buy to Open;1.0;$123.45;11/3/20, 9:35 AM;;$0.67;1.0;
50;MacdPerfect;Sell to Close;-1.0;$125.11;11/3/20, 10:30 AM;$1.66;$2.51;0.0;
51;MacdPerfect;Buy to Open;1.0;$124.68;11/3/20, 2:45 PM;;$2.52;1.0;
52;MacdPerfect;Sell to Close;-1.0;$124.56;11/3/20, 3:00 PM;($0.12);$2.39;0.0;
53;MacdPerfect;Buy to Open;1.0;$124.33;11/3/20, 3:05 PM;;$2.36;1.0;
54;MacdPerfect;Sell to Close;-1.0;$124.38;11/3/20, 3:15 PM;$0.05;$2.44;0.0;
55;MacdPerfect;Buy to Open;1.0;$124.52;11/3/20, 3:20 PM;;$2.14;1.0;
56;MacdPerfect;Sell to Close;-1.0;$124.28;11/3/20, 3:25 PM;($0.23);$2.20;0.0;
