Strategy report
Symbol: NKE
Work Time: 11/2/20, 9:35 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$121.15;11/2/20, 9:35 AM;;$0.57;1.0;
2;MacdPerfect;Sell to Close;-1.0;$123.48;11/2/20, 10:10 AM;$2.34;$2.34;0.0;
3;MacdPerfect;Buy to Open;1.0;$123.45;11/3/20, 9:35 AM;;$2.15;1.0;
4;MacdPerfect;Sell to Close;-1.0;$124.59;11/3/20, 10:10 AM;$1.14;$3.47;0.0;
5;MacdPerfect;Buy to Open;1.0;$126.13;11/4/20, 9:35 AM;;$3.74;1.0;
6;MacdPerfect;Sell to Close;-1.0;$127.64;11/4/20, 10:10 AM;$1.51;$4.98;0.0;
7;MacdPerfect;Buy to Open;1.0;$130.01;11/5/20, 9:35 AM;;$4.67;1.0;
8;MacdPerfect;Sell to Close;-1.0;$129.80;11/5/20, 10:05 AM;($0.21);$4.77;0.0;
9;MacdPerfect;Buy to Open;1.0;$134.49;11/9/20, 9:35 AM;;$5.20;1.0;
10;MacdPerfect;Sell to Close;-1.0;$133.64;11/9/20, 10:00 AM;($0.85);$3.92;0.0;
11;MacdPerfect;Buy to Open;1.0;$128.62;11/11/20, 9:35 AM;;$4.60;1.0;
12;MacdPerfect;Sell to Close;-1.0;$128.93;11/11/20, 10:00 AM;$0.31;$4.23;0.0;
13;MacdPerfect;Buy to Open;1.0;$128.22;11/13/20, 9:35 AM;;$4.02;1.0;
14;MacdPerfect;Sell to Close;-1.0;$128.27;11/13/20, 10:00 AM;$0.06;$4.29;0.0;
15;MacdPerfect;Buy to Open;1.0;$128.49;11/16/20, 9:35 AM;;$4.23;1.0;
16;MacdPerfect;Sell to Close;-1.0;$128.43;11/16/20, 9:40 AM;($0.06);$4.23;0.0;
17;MacdPerfect;Buy to Open;1.0;$130.59;11/17/20, 9:35 AM;;$4.03;1.0;
