Strategy report
Symbol: NKE
Work Time: 1/16/20, 9:35 AM - 9/28/20, 9:45 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$103.25;1/16/20, 9:35 AM;;($0.04);1.0;
2;MacdPerfect;Sell to Close;-1.0;$103.24;1/16/20, 10:05 AM;($0.01);($0.01);0.0;
3;MacdPerfect;Buy to Open;1.0;$103.93;1/17/20, 9:35 AM;;($0.17);1.0;
4;MacdPerfect;Sell to Close;-1.0;$104.32;1/17/20, 10:25 AM;$0.39;$0.38;0.0;
5;MacdPerfect;Buy to Open;1.0;$105.08;1/22/20, 9:35 AM;;$0.74;1.0;
6;MacdPerfect;Sell to Close;-1.0;$105.20;1/22/20, 10:05 AM;$0.12;$0.50;0.0;
7;MacdPerfect;Buy to Open;1.0;$103.76;1/24/20, 9:35 AM;;$0.11;1.0;
8;MacdPerfect;Sell to Close;-1.0;$103.21;1/24/20, 9:55 AM;($0.55);($0.05);0.0;
9;MacdPerfect;Buy to Open;1.0;$100.94;1/29/20, 9:35 AM;;$0.01;1.0;
10;MacdPerfect;Sell to Close;-1.0;$100.56;1/29/20, 9:50 AM;($0.38);($0.43);0.0;
11;MacdPerfect;Buy to Open;1.0;$97.94;1/31/20, 9:35 AM;;($0.48);1.0;
12;MacdPerfect;Sell to Close;-1.0;$97.88;1/31/20, 9:40 AM;($0.06);($0.49);0.0;
13;MacdPerfect;Buy to Open;1.0;$100.14;2/3/20, 9:35 AM;;($0.54);1.0;
14;MacdPerfect;Sell to Close;-1.0;$100.45;2/3/20, 10:05 AM;$0.31;($0.18);0.0;
15;MacdPerfect;Buy to Open;1.0;$102.09;2/4/20, 9:35 AM;;($0.50);1.0;
16;MacdPerfect;Sell to Close;-1.0;$102.69;2/4/20, 10:05 AM;$0.60;$0.42;0.0;
17;MacdPerfect;Buy to Open;1.0;$101.18;2/6/20, 9:35 AM;;$0.27;1.0;
