Strategy report
Symbol: NVDA
Work Time: 10/20/20, 2:45 PM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$550.35;10/20/20, 2:45 PM;;($0.65);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$549.09;10/20/20, 2:50 PM;($1.26);($1.26);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$548.48;10/20/20, 3:05 PM;;($3.23);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$546.15;10/20/20, 3:10 PM;($2.33);($3.60);0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$542.42;10/23/20, 3:40 PM;;($3.03);1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$542.90;10/23/20, 3:55 PM;$0.47;($3.12);0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$538.39;10/26/20, 9:30 AM;;($1.81);1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$540.35;10/26/20, 9:35 AM;$1.96;($1.16);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$544.30;10/26/20, 9:45 AM;;($0.62);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$543.84;10/26/20, 10:10 AM;($0.46);($1.62);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$543.51;10/26/20, 10:15 AM;;($1.13);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$542.90;10/26/20, 10:20 AM;($0.61);($2.23);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$532.84;10/26/20, 11:50 AM;;($1.45);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$530.74;10/26/20, 12:05 PM;($2.10);($4.33);0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$506.40;11/3/20, 9:35 AM;;($2.93);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$516.48;11/3/20, 10:35 AM;$10.08;$5.75;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$516.58;11/3/20, 10:40 AM;;$5.94;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$518.15;11/3/20, 10:55 AM;$1.57;$7.32;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$519.34;11/3/20, 11:00 AM;;$7.37;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$519.36;11/3/20, 11:05 AM;$0.02;$7.34;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$519.12;11/3/20, 12:30 PM;;$7.21;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$516.53;11/3/20, 1:50 PM;($2.59);$4.75;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$518.31;11/3/20, 2:15 PM;;$4.54;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$517.51;11/3/20, 3:05 PM;($0.80);$3.95;0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$520.27;11/3/20, 3:25 PM;;$4.66;1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$522.20;11/3/20, 3:55 PM;$1.94;$5.88;0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$537.79;11/4/20, 9:30 AM;;$8.37;1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$535.55;11/4/20, 9:55 AM;($2.25);$3.63;0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$538.72;11/4/20, 10:00 AM;;$5.35;1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$544.88;11/4/20, 10:35 AM;$6.16;$9.79;0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$543.52;11/4/20, 10:40 AM;;$9.38;1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$543.86;11/4/20, 10:45 AM;$0.34;$10.13;0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$548.45;11/4/20, 12:20 PM;;$10.66;1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$550.22;11/4/20, 2:20 PM;$1.77;$11.90;0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$550.82;11/4/20, 2:25 PM;;$11.91;1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$551.01;11/4/20, 2:45 PM;$0.19;$12.09;0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$552.10;11/4/20, 2:50 PM;;$12.28;1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$551.77;11/4/20, 3:05 PM;($0.33);$11.76;0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$552.77;11/4/20, 3:10 PM;;$11.93;1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$551.07;11/4/20, 3:20 PM;($1.70);$10.06;0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$552.39;11/4/20, 3:55 PM;;$9.45;1.0;
42;MacdPerfect(SELL);Sell to Close;-1.0;$564.88;11/5/20, 9:30 AM;$12.49;$22.55;0.0;
43;MacdPerfect(BUY);Buy to Open;1.0;$565.34;11/5/20, 9:35 AM;;$24.87;1.0;
44;MacdPerfect(SELL);Sell to Close;-1.0;$569.12;11/5/20, 10:15 AM;$3.78;$26.32;0.0;
45;MacdPerfect(BUY);Buy to Open;1.0;$567.85;11/5/20, 10:20 AM;;$24.82;1.0;
46;MacdPerfect(SELL);Sell to Close;-1.0;$564.81;11/5/20, 10:30 AM;($3.04);$23.29;0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$564.40;11/5/20, 12:15 PM;;$22.51;1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$561.86;11/5/20, 12:25 PM;($2.54);$20.75;0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$563.02;11/5/20, 12:50 PM;;$20.62;1.0;
50;MacdPerfect(SELL);Sell to Close;-1.0;$564.08;11/5/20, 2:10 PM;$1.06;$21.81;0.0;
51;MacdPerfect(BUY);Buy to Open;1.0;$564.11;11/5/20, 2:15 PM;;$21.79;1.0;
52;MacdPerfect(SELL);Sell to Close;-1.0;$565.46;11/5/20, 2:50 PM;$1.35;$23.16;0.0;
53;MacdPerfect(BUY);Buy to Open;1.0;$566.30;11/5/20, 2:55 PM;;$23.60;1.0;
54;MacdPerfect(SELL);Sell to Close;-1.0;$565.68;11/5/20, 3:15 PM;($0.61);$22.55;0.0;
55;MacdPerfect(BUY);Buy to Open;1.0;$565.39;11/5/20, 3:20 PM;;$22.34;1.0;
56;MacdPerfect(SELL);Sell to Close;-1.0;$565.38;11/5/20, 3:25 PM;($0.02);$22.53;0.0;
57;MacdPerfect(BUY);Buy to Open;1.0;$566.38;11/5/20, 3:55 PM;;$22.57;1.0;
58;MacdPerfect(SELL);Sell to Close;-1.0;$565.99;11/6/20, 9:30 AM;($0.39);$22.14;0.0;
59;MacdPerfect(BUY);Buy to Open;1.0;$564.59;11/6/20, 9:35 AM;;$18.83;1.0;
60;MacdPerfect(SELL);Sell to Close;-1.0;$559.87;11/6/20, 9:40 AM;($4.72);$17.42;0.0;
61;MacdPerfect(BUY);Buy to Open;1.0;$563.01;11/6/20, 10:10 AM;;$18.74;1.0;
62;MacdPerfect(SELL);Sell to Close;-1.0;$568.65;11/6/20, 11:00 AM;$5.64;$23.07;0.0;
63;MacdPerfect(BUY);Buy to Open;1.0;$570.49;11/6/20, 11:05 AM;;$23.57;1.0;
64;MacdPerfect(SELL);Sell to Close;-1.0;$568.60;11/6/20, 11:15 AM;($1.89);$21.17;0.0;
65;MacdPerfect(BUY);Buy to Open;1.0;$569.40;11/6/20, 11:20 AM;;$21.42;1.0;
66;MacdPerfect(SELL);Sell to Close;-1.0;$574.16;11/6/20, 12:10 PM;$4.76;$25.93;0.0;
67;MacdPerfect(BUY);Buy to Open;1.0;$574.09;11/6/20, 12:15 PM;;$25.60;1.0;
68;MacdPerfect(SELL);Sell to Close;-1.0;$574.26;11/6/20, 12:20 PM;$0.17;$26.10;0.0;
69;MacdPerfect(BUY);Buy to Open;1.0;$574.35;11/6/20, 12:25 PM;;$25.77;1.0;
70;MacdPerfect(SELL);Sell to Close;-1.0;$574.94;11/6/20, 12:30 PM;$0.59;$26.69;0.0;
71;MacdPerfect(BUY);Buy to Open;1.0;$577.71;11/6/20, 1:00 PM;;$27.44;1.0;
72;MacdPerfect(SELL);Sell to Close;-1.0;$581.09;11/6/20, 1:45 PM;$3.38;$30.06;0.0;
73;MacdPerfect(BUY);Buy to Open;1.0;$580.99;11/6/20, 1:50 PM;;$29.53;1.0;
74;MacdPerfect(SELL);Sell to Close;-1.0;$580.71;11/6/20, 1:55 PM;($0.28);$29.78;0.0;
75;MacdPerfect(BUY);Buy to Open;1.0;$582.01;11/6/20, 3:10 PM;;$30.21;1.0;
76;MacdPerfect(SELL);Sell to Close;-1.0;$582.88;11/6/20, 3:55 PM;$0.87;$30.65;0.0;
77;MacdPerfect(BUY);Buy to Open;1.0;$579.32;11/9/20, 10:05 AM;;$30.96;1.0;
78;MacdPerfect(SELL);Sell to Close;-1.0;$581.61;11/9/20, 10:40 AM;$2.29;$32.93;0.0;
79;MacdPerfect(BUY);Buy to Open;1.0;$578.81;11/9/20, 10:45 AM;;$31.14;1.0;
80;MacdPerfect(SELL);Sell to Close;-1.0;$574.64;11/9/20, 11:00 AM;($4.17);$28.76;0.0;
81;MacdPerfect(BUY);Buy to Open;1.0;$571.55;11/9/20, 12:25 PM;;$28.21;1.0;
82;MacdPerfect(SELL);Sell to Close;-1.0;$567.26;11/9/20, 12:40 PM;($4.28);$24.48;0.0;
83;MacdPerfect(BUY);Buy to Open;1.0;$566.24;11/9/20, 1:00 PM;;$24.52;1.0;
84;MacdPerfect(SELL);Sell to Close;-1.0;$563.78;11/9/20, 1:25 PM;($2.47);$22.01;0.0;
85;MacdPerfect(BUY);Buy to Open;1.0;$562.75;11/9/20, 1:40 PM;;$21.62;1.0;
86;MacdPerfect(SELL);Sell to Close;-1.0;$559.76;11/9/20, 2:15 PM;($2.99);$19.03;0.0;
87;MacdPerfect(BUY);Buy to Open;1.0;$554.46;11/9/20, 2:45 PM;;$18.37;1.0;
88;MacdPerfect(SELL);Sell to Close;-1.0;$552.28;11/9/20, 3:30 PM;($2.17);$16.85;0.0;
89;MacdPerfect(BUY);Buy to Open;1.0;$538.18;11/12/20, 9:35 AM;;$19.05;1.0;
90;MacdPerfect(SELL);Sell to Close;-1.0;$540.10;11/12/20, 9:50 AM;$1.92;$18.77;0.0;
91;MacdPerfect(BUY);Buy to Open;1.0;$541.51;11/12/20, 9:55 AM;;$18.59;1.0;
92;MacdPerfect(SELL);Sell to Close;-1.0;$547.89;11/12/20, 10:45 AM;$6.38;$25.14;0.0;
93;MacdPerfect(BUY);Buy to Open;1.0;$546.64;11/12/20, 10:50 AM;;$24.43;1.0;
94;MacdPerfect(SELL);Sell to Close;-1.0;$546.06;11/12/20, 10:55 AM;($0.58);$24.56;0.0;
95;MacdPerfect(BUY);Buy to Open;1.0;$544.95;11/12/20, 11:55 AM;;$24.71;1.0;
96;MacdPerfect(SELL);Sell to Close;-1.0;$541.46;11/12/20, 12:45 PM;($3.49);$21.08;0.0;
97;MacdPerfect(BUY);Buy to Open;1.0;$541.24;11/12/20, 1:35 PM;;$21.49;1.0;
98;MacdPerfect(SELL);Sell to Close;-1.0;$541.04;11/12/20, 1:50 PM;($0.20);$20.88;0.0;
99;MacdPerfect(BUY);Buy to Open;1.0;$537.43;11/12/20, 2:55 PM;;$20.77;1.0;
100;MacdPerfect(SELL);Sell to Close;-1.0;$538.09;11/12/20, 3:55 PM;$0.66;$21.54;0.0;
101;MacdPerfect(BUY);Buy to Open;1.0;$545.79;11/13/20, 9:35 AM;;$21.07;1.0;
102;MacdPerfect(SELL);Sell to Close;-1.0;$541.85;11/13/20, 9:45 AM;($3.94);$17.60;0.0;
103;MacdPerfect(BUY);Buy to Open;1.0;$541.95;11/13/20, 9:50 AM;;$19.13;1.0;
104;MacdPerfect(SELL);Sell to Close;-1.0;$539.81;11/13/20, 10:00 AM;($2.14);$15.46;0.0;
105;MacdPerfect(BUY);Buy to Open;1.0;$537.85;11/13/20, 10:05 AM;;$15.58;1.0;
106;MacdPerfect(SELL);Sell to Close;-1.0;$536.93;11/13/20, 10:10 AM;($0.92);$14.54;0.0;
107;MacdPerfect(BUY);Buy to Open;1.0;$529.48;11/13/20, 11:05 AM;;$14.67;1.0;
108;MacdPerfect(SELL);Sell to Close;-1.0;$528.89;11/13/20, 11:35 AM;($0.59);$13.95;0.0;
109;MacdPerfect(BUY);Buy to Open;1.0;$540.35;11/16/20, 9:50 AM;;$12.80;1.0;
110;MacdPerfect(SELL);Sell to Close;-1.0;$539.82;11/16/20, 9:55 AM;($0.53);$13.41;0.0;
111;MacdPerfect(BUY);Buy to Open;1.0;$541.70;11/16/20, 10:00 AM;;$14.61;1.0;
112;MacdPerfect(SELL);Sell to Close;-1.0;$543.61;11/16/20, 10:15 AM;$1.92;$15.33;0.0;
113;MacdPerfect(BUY);Buy to Open;1.0;$544.19;11/16/20, 10:20 AM;;$15.14;1.0;
114;MacdPerfect(SELL);Sell to Close;-1.0;$543.81;11/16/20, 10:25 AM;($0.38);$14.95;0.0;
115;MacdPerfect(BUY);Buy to Open;1.0;$544.22;11/16/20, 10:30 AM;;$15.41;1.0;
116;MacdPerfect(SELL);Sell to Close;-1.0;$543.30;11/16/20, 10:40 AM;($0.92);$14.02;0.0;
117;MacdPerfect(BUY);Buy to Open;1.0;$539.78;11/16/20, 11:55 AM;;$14.30;1.0;
118;MacdPerfect(SELL);Sell to Close;-1.0;$538.56;11/16/20, 12:35 PM;($1.22);$12.80;0.0;
119;MacdPerfect(BUY);Buy to Open;1.0;$539.42;11/16/20, 12:45 PM;;$12.74;1.0;
