Strategy report
Symbol: QQQ
Work Time: 10/29/20, 9:35 AM - 7/7/21, 10:35 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$273.87;10/29/20, 9:35 AM;;($0.75);1.0;
2;MacdPerfect;Sell to Close;-1.0;$275.31;10/29/20, 12:00 PM;$1.44;$1.44;0.0;
3;MacdPerfect;Buy to Open;1.0;$271.45;11/2/20, 9:35 AM;;$2.37;1.0;
4;MacdPerfect;Sell to Close;-1.0;$271.57;11/2/20, 10:55 AM;$0.12;$1.56;0.0;
5;MacdPerfect;Buy to Open;1.0;$271.04;11/3/20, 9:35 AM;;$1.87;1.0;
6;MacdPerfect;Sell to Close;-1.0;$275.55;11/3/20, 12:00 PM;$4.51;$6.07;0.0;
7;MacdPerfect;Buy to Open;1.0;$284.35;11/4/20, 9:35 AM;;$4.14;1.0;
8;MacdPerfect;Sell to Close;-1.0;$287.22;11/4/20, 1:10 PM;$2.87;$8.94;0.0;
9;MacdPerfect;Buy to Open;1.0;$292.56;11/5/20, 9:35 AM;;$10.13;1.0;
10;MacdPerfect;Sell to Close;-1.0;$294.12;11/5/20, 11:05 AM;$1.56;$10.50;0.0;
11;MacdPerfect;Buy to Open;1.0;$294.96;11/9/20, 9:35 AM;;$10.88;1.0;
12;MacdPerfect;Sell to Close;-1.0;$296.64;11/9/20, 11:00 AM;$1.67;$12.17;0.0;
13;MacdPerfect;Buy to Open;1.0;$286.26;11/11/20, 9:35 AM;;$13.16;1.0;
14;MacdPerfect;Sell to Close;-1.0;$287.59;11/11/20, 11:05 AM;$1.33;$13.50;0.0;
15;MacdPerfect;Buy to Open;1.0;$290.82;11/12/20, 9:35 AM;;$14.26;1.0;
16;MacdPerfect;Sell to Close;-1.0;$291.26;11/12/20, 11:10 AM;$0.44;$13.94;0.0;
17;MacdPerfect;Buy to Open;1.0;$289.99;11/13/20, 9:35 AM;;$14.49;1.0;
18;MacdPerfect;Sell to Close;-1.0;$288.53;11/13/20, 10:40 AM;($1.46);$12.48;0.0;
19;MacdPerfect;Buy to Open;1.0;$291.56;11/16/20, 9:40 AM;;$13.10;1.0;
20;MacdPerfect;Sell to Close;-1.0;$292.46;11/16/20, 11:40 AM;$0.90;$13.38;0.0;
21;MacdPerfect;Buy to Open;1.0;$293.50;11/17/20, 9:35 AM;;$12.77;1.0;
22;MacdPerfect;Sell to Close;-1.0;$292.29;11/17/20, 11:30 AM;($1.21);$12.17;0.0;
23;MacdPerfect;Buy to Open;1.0;$292.21;11/18/20, 9:40 AM;;$12.07;1.0;
24;MacdPerfect;Sell to Close;-1.0;$292.89;11/18/20, 1:20 PM;$0.68;$12.84;0.0;
25;MacdPerfect;Buy to Open;1.0;$291.84;11/23/20, 9:35 AM;;$12.94;1.0;
26;MacdPerfect;Sell to Close;-1.0;$290.92;11/23/20, 10:10 AM;($0.92);$11.92;0.0;
27;MacdPerfect;Sell to Close;-1.0;$291.11;11/24/20, 9:35 AM;$0.00;$12.71;-1.0;
28;MacdPerfect;Buy to Open;1.0;$291.11;11/24/20, 9:35 AM;;$11.92;0.0;
29;MacdPerfect;Buy to Open;1.0;$295.65;11/25/20, 9:35 AM;;$12.12;1.0;
30;MacdPerfect;Sell to Close;-1.0;$294.96;11/25/20, 11:45 AM;($0.69);$11.23;0.0;
31;MacdPerfect;Buy to Open;1.0;$298.61;11/27/20, 9:35 AM;;$11.04;1.0;
32;MacdPerfect;Sell to Close;-1.0;$299.52;11/27/20, 11:40 AM;$0.91;$12.14;0.0;
33;MacdPerfect;Buy to Open;1.0;$299.52;11/30/20, 9:35 AM;;$11.85;1.0;
34;MacdPerfect;Sell to Close;-1.0;$298.73;11/30/20, 9:45 AM;($0.79);$11.35;0.0;
35;MacdPerfect;Buy to Open;1.0;$301.10;12/1/20, 9:35 AM;;$11.67;1.0;
36;MacdPerfect;Sell to Close;-1.0;$304.70;12/1/20, 2:45 PM;$3.60;$14.95;0.0;
37;MacdPerfect;Buy to Open;1.0;$304.80;12/3/20, 9:35 AM;;$14.84;1.0;
38;MacdPerfect;Sell to Close;-1.0;$304.43;12/3/20, 11:00 AM;($0.37);$14.58;0.0;
39;MacdPerfect;Buy to Open;1.0;$304.23;12/4/20, 9:40 AM;;$14.82;1.0;
40;MacdPerfect;Sell to Close;-1.0;$304.82;12/4/20, 11:10 AM;$0.59;$15.17;0.0;
41;MacdPerfect;Buy to Open;1.0;$306.21;12/7/20, 9:35 AM;;$15.50;1.0;
42;MacdPerfect;Sell to Close;-1.0;$307.13;12/7/20, 12:00 PM;$0.92;$16.09;0.0;
43;MacdPerfect;Buy to Open;1.0;$303.41;12/14/20, 9:35 AM;;$17.46;1.0;
