Strategy report
Symbol: QQQ
Work Time: 10/27/20, 9:35 AM - 7/7/21, 9:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$280.85;10/27/20, 9:35 AM;;$0.76;1.0;
2;AAA;Sell to Close;-1.0;$281.97;10/27/20, 9:45 AM;$1.12;$1.12;0.0;
3;AAA;Buy to Open;1.0;$273.87;10/29/20, 9:35 AM;;$0.37;1.0;
4;AAA;Sell to Close;-1.0;$275.04;10/29/20, 10:10 AM;$1.17;$2.29;0.0;
5;AAA;Buy to Open;1.0;$271.45;11/2/20, 9:35 AM;;$3.22;1.0;
6;AAA;Sell to Close;-1.0;$272.42;11/2/20, 9:45 AM;$0.97;$3.26;0.0;
7;AAA;Buy to Open;1.0;$271.04;11/3/20, 9:35 AM;;$3.58;1.0;
8;AAA;Sell to Close;-1.0;$274.02;11/3/20, 10:05 AM;$2.98;$6.24;0.0;
9;AAA;Buy to Open;1.0;$284.35;11/4/20, 9:35 AM;;$4.31;1.0;
10;AAA;Sell to Close;-1.0;$282.80;11/4/20, 9:50 AM;($1.55);$4.69;0.0;
11;AAA;Buy to Open;1.0;$292.56;11/5/20, 9:35 AM;;$5.89;1.0;
12;AAA;Sell to Close;-1.0;$294.08;11/5/20, 9:50 AM;$1.52;$6.21;0.0;
13;AAA;Buy to Open;1.0;$294.96;11/9/20, 9:35 AM;;$6.59;1.0;
14;AAA;Sell to Close;-1.0;$295.67;11/9/20, 9:55 AM;$0.71;$6.92;0.0;
15;AAA;Buy to Open;1.0;$290.82;11/12/20, 9:35 AM;;$7.68;1.0;
16;AAA;Sell to Close;-1.0;$291.24;11/12/20, 9:45 AM;$0.42;$7.34;0.0;
17;AAA;Buy to Open;1.0;$289.99;11/13/20, 9:35 AM;;$7.89;1.0;
18;AAA;Sell to Close;-1.0;$290.50;11/13/20, 9:45 AM;$0.51;$7.85;0.0;
19;AAA;Buy to Open;1.0;$291.56;11/16/20, 9:40 AM;;$8.47;1.0;
20;AAA;Sell to Close;-1.0;$291.27;11/16/20, 9:55 AM;($0.29);$7.56;0.0;
21;AAA;Buy to Open;1.0;$293.50;11/17/20, 9:35 AM;;$6.95;1.0;
22;AAA;Sell to Close;-1.0;$292.94;11/17/20, 9:40 AM;($0.56);$7.00;0.0;
23;AAA;Buy to Open;1.0;$292.21;11/18/20, 9:40 AM;;$6.91;1.0;
24;AAA;Sell to Close;-1.0;$291.73;11/18/20, 9:50 AM;($0.49);$6.51;0.0;
25;AAA;Buy to Open;1.0;$291.84;11/23/20, 9:35 AM;;$6.61;1.0;
26;AAA;Sell to Close;-1.0;$292.56;11/23/20, 9:50 AM;$0.72;$7.23;0.0;
27;AAA;Buy to Open;1.0;$291.11;11/24/20, 9:35 AM;;$6.44;1.0;
28;AAA;Sell to Close;-1.0;$290.31;11/24/20, 9:40 AM;($0.80);$6.43;0.0;
29;AAA;Buy to Open;1.0;$295.65;11/25/20, 9:35 AM;;$6.63;1.0;
30;AAA;Sell to Close;-1.0;$295.72;11/25/20, 9:45 AM;$0.07;$6.50;0.0;
31;AAA;Buy to Open;1.0;$298.61;11/27/20, 9:35 AM;;$6.31;1.0;
32;AAA;Sell to Close;-1.0;$298.56;11/27/20, 9:50 AM;($0.05);$6.45;0.0;
33;AAA;Buy to Open;1.0;$299.52;11/30/20, 9:35 AM;;$6.16;1.0;
34;AAA;Sell to Close;-1.0;$299.21;11/30/20, 9:40 AM;($0.31);$6.14;0.0;
35;AAA;Buy to Open;1.0;$301.10;12/1/20, 9:35 AM;;$6.46;1.0;
36;AAA;Sell to Close;-1.0;$301.96;12/1/20, 9:50 AM;$0.86;$7.00;0.0;
37;AAA;Buy to Open;1.0;$304.80;12/3/20, 9:35 AM;;$6.89;1.0;
38;AAA;Sell to Close;-1.0;$304.50;12/3/20, 9:45 AM;($0.30);$6.70;0.0;
39;AAA;Buy to Open;1.0;$304.23;12/4/20, 9:40 AM;;$6.94;1.0;
40;AAA;Sell to Close;-1.0;$305.02;12/4/20, 10:00 AM;$0.79;$7.49;0.0;
41;AAA;Buy to Open;1.0;$306.21;12/7/20, 9:35 AM;;$7.82;1.0;
42;AAA;Sell to Close;-1.0;$306.72;12/7/20, 9:45 AM;$0.51;$8.00;0.0;
43;AAA;Buy to Open;1.0;$303.41;12/14/20, 9:35 AM;;$9.37;1.0;
44;AAA;Sell to Close;-1.0;$304.77;12/14/20, 9:50 AM;$1.36;$9.36;0.0;
45;AAA;Buy to Open;1.0;$306.35;12/15/20, 9:35 AM;;$9.41;1.0;
46;AAA;Sell to Close;-1.0;$306.55;12/15/20, 9:50 AM;$0.20;$9.56;0.0;
47;AAA;Buy to Open;1.0;$311.09;12/17/20, 9:35 AM;;$9.50;1.0;
48;AAA;Sell to Close;-1.0;$311.04;12/17/20, 9:50 AM;($0.05);$9.51;0.0;
49;AAA;Buy to Open;1.0;$311.21;12/18/20, 9:35 AM;;$9.60;1.0;
50;AAA;Sell to Close;-1.0;$311.31;12/18/20, 9:40 AM;$0.10;$9.61;0.0;
51;AAA;Buy to Open;1.0;$309.08;12/22/20, 9:35 AM;;$10.04;1.0;
52;AAA;Sell to Close;-1.0;$310.60;12/22/20, 10:00 AM;$1.53;$11.13;0.0;
53;AAA;Buy to Open;1.0;$309.13;12/24/20, 9:35 AM;;$11.55;1.0;
54;AAA;Sell to Close;-1.0;$309.74;12/24/20, 9:50 AM;$0.61;$11.74;0.0;
55;AAA;Buy to Open;1.0;$312.02;12/28/20, 9:35 AM;;$11.74;1.0;
56;AAA;Sell to Close;-1.0;$311.80;12/28/20, 9:45 AM;($0.22);$11.53;0.0;
57;AAA;Buy to Open;1.0;$314.44;12/29/20, 9:35 AM;;$11.47;1.0;
58;AAA;Sell to Close;-1.0;$314.29;12/29/20, 9:45 AM;($0.15);$11.37;0.0;
59;AAA;Buy to Open;1.0;$313.59;12/30/20, 9:35 AM;;$11.26;1.0;
60;AAA;Sell to Close;-1.0;$313.47;12/30/20, 9:45 AM;($0.12);$11.25;0.0;
61;AAA;Sell to Close;-1.0;$314.36;1/4/21, 9:35 AM;$0.00;$12.06;-1.0;
62;AAA;Buy to Open;1.0;$314.36;1/4/21, 9:35 AM;;$11.25;0.0;
63;AAA;Buy to Open;1.0;$313.56;1/4/21, 9:40 AM;;$11.77;1.0;
64;AAA;Sell to Close;-1.0;$314.46;1/4/21, 9:50 AM;$0.90;$12.15;0.0;
65;AAA;Buy to Open;1.0;$309.37;1/5/21, 9:35 AM;;$12.84;1.0;
66;AAA;Sell to Close;-1.0;$311.07;1/5/21, 9:55 AM;$1.70;$13.85;0.0;
67;AAA;Buy to Open;1.0;$311.97;1/7/21, 9:40 AM;;$13.97;1.0;
68;AAA;Sell to Close;-1.0;$311.61;1/7/21, 9:50 AM;($0.36);$13.49;0.0;
69;AAA;Buy to Open;1.0;$317.39;1/8/21, 9:35 AM;;$13.26;1.0;
70;AAA;Sell to Close;-1.0;$317.11;1/8/21, 9:50 AM;($0.28);$13.21;0.0;
71;AAA;Buy to Open;1.0;$314.46;1/13/21, 9:35 AM;;$12.56;1.0;
72;AAA;Sell to Close;-1.0;$314.75;1/13/21, 10:00 AM;$0.29;$13.50;0.0;
73;AAA;Buy to Open;1.0;$316.72;1/14/21, 9:35 AM;;$13.37;1.0;
74;AAA;Sell to Close;-1.0;$316.47;1/14/21, 9:50 AM;($0.25);$13.25;0.0;
75;AAA;Buy to Open;1.0;$314.65;1/15/21, 9:35 AM;;$13.30;1.0;
76;AAA;Sell to Close;-1.0;$314.80;1/15/21, 9:50 AM;$0.15;$13.40;0.0;
77;AAA;Buy to Open;1.0;$314.72;1/19/21, 9:35 AM;;$13.02;1.0;
78;AAA;Sell to Close;-1.0;$314.24;1/19/21, 9:45 AM;($0.48);$12.92;0.0;
79;AAA;Buy to Open;1.0;$320.31;1/20/21, 9:35 AM;;$13.71;1.0;
