Strategy report
Symbol: QQQ
Work Time: 1/16/20, 9:35 AM - 10/1/20, 9:55 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$221.49;1/16/20, 9:35 AM;;($0.03);1.0;
2;MacdPerfect;Sell to Close;-1.0;$221.62;1/16/20, 10:05 AM;$0.13;$0.13;0.0;
3;MacdPerfect;Buy to Open;1.0;$222.82;1/17/20, 9:35 AM;;($0.19);1.0;
4;MacdPerfect;Sell to Close;-1.0;$222.66;1/17/20, 9:50 AM;($0.16);($0.03);0.0;
5;MacdPerfect;Sell to Close;-1.0;$222.95;1/21/20, 9:35 AM;$0.00;$0.09;-1.0;
6;MacdPerfect;Buy to Open;1.0;$222.95;1/21/20, 9:35 AM;;($0.03);0.0;
7;MacdPerfect;Buy to Open;1.0;$224.39;1/22/20, 9:35 AM;;$0.25;1.0;
8;MacdPerfect;Sell to Close;-1.0;$224.71;1/22/20, 10:05 AM;$0.32;$0.29;0.0;
9;MacdPerfect;Buy to Open;1.0;$225.41;1/24/20, 9:35 AM;;$0.43;1.0;
10;MacdPerfect;Sell to Close;-1.0;$225.55;1/24/20, 10:00 AM;$0.14;$0.43;0.0;
11;MacdPerfect;Buy to Open;1.0;$219.55;1/28/20, 9:35 AM;;$0.07;1.0;
12;MacdPerfect;Sell to Close;-1.0;$219.81;1/28/20, 10:10 AM;$0.26;$0.69;0.0;
13;MacdPerfect;Buy to Open;1.0;$222.70;1/29/20, 9:35 AM;;$0.41;1.0;
14;MacdPerfect;Sell to Close;-1.0;$221.98;1/29/20, 9:55 AM;($0.72);($0.03);0.0;
15;MacdPerfect;Buy to Open;1.0;$221.81;1/30/20, 9:40 AM;;($0.18);1.0;
16;MacdPerfect;Sell to Close;-1.0;$221.45;1/30/20, 9:55 AM;($0.36);($0.39);0.0;
17;MacdPerfect;Buy to Open;1.0;$222.75;1/31/20, 9:35 AM;;($0.43);1.0;
18;MacdPerfect;Sell to Close;-1.0;$222.68;1/31/20, 9:40 AM;($0.06);($0.45);0.0;
19;MacdPerfect;Buy to Open;1.0;$221.27;2/3/20, 9:40 AM;;($0.42);1.0;
20;MacdPerfect;Sell to Close;-1.0;$222.33;2/3/20, 10:10 AM;$1.06;$0.61;0.0;
21;MacdPerfect;Buy to Open;1.0;$225.02;2/4/20, 9:35 AM;;$0.29;1.0;
22;MacdPerfect;Sell to Close;-1.0;$225.55;2/4/20, 10:05 AM;$0.53;$1.14;0.0;
23;MacdPerfect;Buy to Open;1.0;$229.56;2/5/20, 9:35 AM;;$0.40;1.0;
24;MacdPerfect;Sell to Close;-1.0;$228.66;2/5/20, 10:05 AM;($0.91);$0.23;0.0;
