Strategy report
Symbol: SPY
Work Time: 5/11/21, 10:01 AM - 6/23/21, 2:42 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$414.83;5/11/21, 10:01 AM;;($0.11);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$414.90;5/11/21, 10:06 AM;$0.07;$0.07;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$412.16;5/11/21, 10:57 AM;;$0.23;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$412.33;5/11/21, 10:59 AM;$0.17;$0.24;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$412.26;5/11/21, 11:18 AM;;$0.75;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$413.92;5/11/21, 11:32 AM;$1.66;$1.90;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$414.21;5/11/21, 11:55 AM;;$1.99;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$414.03;5/11/21, 12:01 PM;($0.18);$1.72;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$414.31;5/11/21, 12:16 PM;;$1.39;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$414.31;5/11/21, 12:17 PM;$0.00;$1.72;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$412.98;5/11/21, 1:07 PM;;$1.84;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$413.11;5/11/21, 1:09 PM;$0.13;$1.85;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$413.06;5/11/21, 1:13 PM;;$1.74;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$413.06;5/11/21, 1:14 PM;$0.00;$1.85;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$413.33;5/11/21, 1:19 PM;;$1.86;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$414.22;5/11/21, 1:33 PM;$0.89;$2.74;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$414.61;5/11/21, 1:42 PM;;$2.75;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$414.62;5/11/21, 1:44 PM;$0.01;$2.75;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$414.46;5/11/21, 2:02 PM;;$2.83;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$414.30;5/11/21, 2:09 PM;($0.16);$2.59;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$414.43;5/11/21, 2:28 PM;;$2.69;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$414.72;5/11/21, 2:31 PM;$0.29;$2.87;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$414.16;5/11/21, 2:50 PM;;$2.70;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$414.14;5/11/21, 2:58 PM;($0.02);$2.85;0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$414.09;5/11/21, 3:00 PM;;$2.89;1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$414.12;5/11/21, 3:02 PM;$0.03;$2.88;0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$414.24;5/11/21, 3:04 PM;;$2.69;1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$414.04;5/11/21, 3:06 PM;($0.20);$2.68;0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$414.41;5/11/21, 3:19 PM;;$2.72;1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$414.97;5/11/21, 3:29 PM;$0.56;$3.24;0.0;
31;MacdPerfect(SELL);Sell to Close;-1.0;$414.08;5/11/21, 3:51 PM;($0.06);$2.90;-1.0;
32;MacdPerfect(BUY);Buy to Open;1.0;$414.14;5/11/21, 3:51 PM;;$3.18;0.0;
33;MacdPerfect(SELL);Sell to Close;-1.0;$414.14;5/11/21, 3:52 PM;($0.27);$3.27;-1.0;
34;MacdPerfect(BUY);Buy to Open;1.0;$414.41;5/11/21, 3:52 PM;;$2.91;0.0;
35;MacdPerfect(SELL);Sell to Close;-1.0;$414.13;5/11/21, 3:58 PM;($0.01);$2.80;-1.0;
36;MacdPerfect(BUY);Buy to Open;1.0;$414.14;5/11/21, 3:58 PM;;$2.90;0.0;
37;MacdPerfect(SELL);Sell to Close;-1.0;$414.14;5/11/21, 3:59 PM;($0.10);$2.77;-1.0;
38;MacdPerfect(BUY);Buy to Open;1.0;$414.24;5/11/21, 3:59 PM;;$2.80;0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$411.48;5/12/21, 10:24 AM;;$2.64;1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$411.31;5/12/21, 10:26 AM;($0.17);$2.63;0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$409.90;5/12/21, 11:10 AM;;$2.32;1.0;
42;MacdPerfect(SELL);Sell to Close;-1.0;$409.90;5/12/21, 11:11 AM;$0.00;$2.63;0.0;
43;MacdPerfect(BUY);Buy to Open;1.0;$409.87;5/12/21, 11:13 AM;;$2.73;1.0;
44;MacdPerfect(SELL);Sell to Close;-1.0;$410.06;5/12/21, 11:17 AM;$0.19;$2.82;0.0;
45;MacdPerfect(BUY);Buy to Open;1.0;$409.93;5/12/21, 11:19 AM;;$3.01;1.0;
46;MacdPerfect(SELL);Sell to Close;-1.0;$410.11;5/12/21, 11:21 AM;$0.18;$3.00;0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$407.96;5/12/21, 12:33 PM;;$2.93;1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$408.02;5/12/21, 12:37 PM;$0.06;$3.06;0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$407.81;5/12/21, 12:54 PM;;$2.95;1.0;
50;MacdPerfect(SELL);Sell to Close;-1.0;$407.75;5/12/21, 1:01 PM;($0.06);$3.00;0.0;
51;MacdPerfect(BUY);Buy to Open;1.0;$408.05;5/12/21, 1:03 PM;;$3.23;1.0;
52;MacdPerfect(SELL);Sell to Close;-1.0;$408.52;5/12/21, 1:08 PM;$0.46;$3.47;0.0;
53;MacdPerfect(BUY);Buy to Open;1.0;$408.54;5/12/21, 1:12 PM;;$3.40;1.0;
54;MacdPerfect(SELL);Sell to Close;-1.0;$408.49;5/12/21, 1:14 PM;($0.05);$3.42;0.0;
55;MacdPerfect(BUY);Buy to Open;1.0;$407.15;5/12/21, 2:35 PM;;$3.08;1.0;
56;MacdPerfect(SELL);Sell to Close;-1.0;$407.15;5/12/21, 2:36 PM;$0.00;$3.42;0.0;
57;MacdPerfect(BUY);Buy to Open;1.0;$407.38;5/12/21, 2:38 PM;;$3.44;1.0;
58;MacdPerfect(SELL);Sell to Close;-1.0;$407.39;5/12/21, 2:40 PM;$0.01;$3.43;0.0;
59;MacdPerfect(BUY);Buy to Open;1.0;$407.47;5/12/21, 2:42 PM;;$3.45;1.0;
60;MacdPerfect(SELL);Sell to Close;-1.0;$407.49;5/12/21, 2:44 PM;$0.02;$3.45;0.0;
61;MacdPerfect(BUY);Buy to Open;1.0;$407.65;5/12/21, 2:48 PM;;$3.57;1.0;
62;MacdPerfect(SELL);Sell to Close;-1.0;$408.07;5/12/21, 2:54 PM;$0.43;$3.87;0.0;
63;MacdPerfect(BUY);Buy to Open;1.0;$406.25;5/12/21, 3:47 PM;;$3.64;1.0;
64;MacdPerfect(SELL);Sell to Close;-1.0;$406.04;5/12/21, 3:50 PM;($0.21);$3.66;0.0;
65;MacdPerfect(BUY);Buy to Open;1.0;$408.08;5/13/21, 9:32 AM;;$3.86;1.0;
66;MacdPerfect(SELL);Sell to Close;-1.0;$408.95;5/13/21, 9:40 AM;$0.87;$4.53;0.0;
67;MacdPerfect(BUY);Buy to Open;1.0;$409.80;5/13/21, 9:56 AM;;$4.54;1.0;
68;MacdPerfect(SELL);Sell to Close;-1.0;$409.91;5/13/21, 9:59 AM;$0.11;$4.64;0.0;
69;MacdPerfect(BUY);Buy to Open;1.0;$410.43;5/13/21, 10:01 AM;;$4.76;1.0;
70;MacdPerfect(SELL);Sell to Close;-1.0;$410.81;5/13/21, 10:07 AM;$0.38;$5.02;0.0;
71;MacdPerfect(BUY);Buy to Open;1.0;$411.40;5/13/21, 10:25 AM;;$4.73;1.0;
72;MacdPerfect(SELL);Sell to Close;-1.0;$411.40;5/13/21, 10:26 AM;$0.00;$5.02;0.0;
73;MacdPerfect(BUY);Buy to Open;1.0;$411.18;5/13/21, 10:51 AM;;$4.89;1.0;
74;MacdPerfect(SELL);Sell to Close;-1.0;$411.18;5/13/21, 10:52 AM;$0.00;$5.02;0.0;
75;MacdPerfect(BUY);Buy to Open;1.0;$411.47;5/13/21, 10:54 AM;;$5.18;1.0;
76;MacdPerfect(SELL);Sell to Close;-1.0;$411.82;5/13/21, 11:01 AM;$0.36;$5.38;0.0;
77;MacdPerfect(BUY);Buy to Open;1.0;$410.22;5/13/21, 12:07 PM;;$5.39;1.0;
78;MacdPerfect(SELL);Sell to Close;-1.0;$410.71;5/13/21, 12:15 PM;$0.49;$5.87;0.0;
79;MacdPerfect(BUY);Buy to Open;1.0;$410.79;5/13/21, 12:17 PM;;$5.66;1.0;
80;MacdPerfect(SELL);Sell to Close;-1.0;$410.79;5/13/21, 12:18 PM;$0.00;$5.87;0.0;
81;MacdPerfect(BUY);Buy to Open;1.0;$410.65;5/13/21, 12:30 PM;;$6.13;1.0;
82;MacdPerfect(SELL);Sell to Close;-1.0;$410.86;5/13/21, 12:39 PM;$0.21;$6.08;0.0;
83;MacdPerfect(BUY);Buy to Open;1.0;$410.98;5/13/21, 12:50 PM;;$5.96;1.0;
84;MacdPerfect(SELL);Sell to Close;-1.0;$410.87;5/13/21, 12:52 PM;($0.11);$5.97;0.0;
85;MacdPerfect(BUY);Buy to Open;1.0;$410.32;5/13/21, 1:16 PM;;$6.04;1.0;
86;MacdPerfect(SELL);Sell to Close;-1.0;$410.36;5/13/21, 1:18 PM;$0.04;$6.01;0.0;
87;MacdPerfect(BUY);Buy to Open;1.0;$408.98;5/13/21, 1:56 PM;;$6.01;1.0;
88;MacdPerfect(SELL);Sell to Close;-1.0;$408.93;5/13/21, 2:00 PM;($0.05);$5.96;0.0;
89;MacdPerfect(BUY);Buy to Open;1.0;$409.38;5/13/21, 2:02 PM;;$6.28;1.0;
