Strategy report
Symbol: SPY
Work Time: 10/23/20, 1:35 PM - 7/6/21, 2:15 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$344.54;10/23/20, 1:35 PM;;($0.08);1.0;
2;MacdPerfect;Sell to Close;-1.0;$344.85;10/23/20, 2:40 PM;$0.31;$0.31;0.0;
3;MacdPerfect;Buy to Open;1.0;$330.09;11/2/20, 9:50 AM;;$0.96;1.0;
4;MacdPerfect;Sell to Close;-1.0;$331.83;11/2/20, 10:25 AM;$1.74;$2.05;0.0;
5;MacdPerfect;Buy to Open;1.0;$331.02;11/2/20, 11:45 AM;;$1.85;1.0;
6;MacdPerfect;Sell to Close;-1.0;$330.53;11/2/20, 12:00 PM;($0.49);$1.56;0.0;
7;MacdPerfect;Buy to Open;1.0;$330.73;11/2/20, 12:30 PM;;$1.13;1.0;
8;MacdPerfect;Sell to Close;-1.0;$330.28;11/2/20, 12:35 PM;($0.45);$1.11;0.0;
9;MacdPerfect;Buy to Open;1.0;$330.17;11/2/20, 3:20 PM;;$1.03;1.0;
10;MacdPerfect;Sell to Close;-1.0;$329.41;11/2/20, 3:35 PM;($0.76);$0.35;0.0;
11;MacdPerfect;Buy to Open;1.0;$333.59;11/3/20, 9:40 AM;;$0.77;1.0;
12;MacdPerfect;Sell to Close;-1.0;$337.40;11/3/20, 10:30 AM;$3.81;$4.16;0.0;
13;MacdPerfect;Buy to Open;1.0;$340.96;11/4/20, 9:45 AM;;$4.31;1.0;
14;MacdPerfect;Sell to Close;-1.0;$345.11;11/4/20, 10:30 AM;$4.15;$8.31;0.0;
15;MacdPerfect;Buy to Open;1.0;$362.77;11/9/20, 10:05 AM;;$6.87;1.0;
16;MacdPerfect;Sell to Close;-1.0;$361.33;11/9/20, 10:10 AM;($1.44);$6.87;0.0;
17;MacdPerfect;Buy to Open;1.0;$361.44;11/9/20, 12:35 PM;;$6.92;1.0;
18;MacdPerfect;Sell to Close;-1.0;$360.80;11/9/20, 12:55 PM;($0.64);$6.23;0.0;
19;MacdPerfect;Buy to Open;1.0;$361.52;11/9/20, 1:00 PM;;$6.24;1.0;
20;MacdPerfect;Sell to Close;-1.0;$361.52;11/9/20, 1:25 PM;$0.00;$6.23;0.0;
21;MacdPerfect;Buy to Open;1.0;$356.29;11/11/20, 9:45 AM;;$6.28;1.0;
22;MacdPerfect;Sell to Close;-1.0;$355.31;11/11/20, 10:00 AM;($0.98);$5.25;0.0;
23;MacdPerfect;Buy to Open;1.0;$355.85;11/13/20, 10:30 AM;;$5.10;1.0;
24;MacdPerfect;Sell to Close;-1.0;$355.71;11/13/20, 10:35 AM;($0.15);$5.10;0.0;
25;MacdPerfect;Buy to Open;1.0;$360.83;11/16/20, 9:40 AM;;$4.89;1.0;
26;MacdPerfect;Sell to Close;-1.0;$359.72;11/16/20, 9:55 AM;($1.11);$3.99;0.0;
27;MacdPerfect;Buy to Open;1.0;$360.52;11/16/20, 10:05 AM;;$4.12;1.0;
28;MacdPerfect;Sell to Close;-1.0;$361.48;11/16/20, 10:40 AM;$0.96;$4.95;0.0;
29;MacdPerfect;Buy to Open;1.0;$361.17;11/16/20, 3:25 PM;;$4.65;1.0;
30;MacdPerfect;Sell to Close;-1.0;$360.86;11/16/20, 3:30 PM;($0.31);$4.64;0.0;
31;MacdPerfect;Buy to Open;1.0;$361.09;11/16/20, 3:35 PM;;$4.52;1.0;
32;MacdPerfect;Sell to Close;-1.0;$361.40;11/16/20, 3:55 PM;$0.31;$4.95;0.0;
33;MacdPerfect;Buy to Open;1.0;$357.65;11/23/20, 9:40 AM;;$5.08;1.0;
34;MacdPerfect;Sell to Close;-1.0;$357.51;11/23/20, 10:10 AM;($0.14);$4.81;0.0;
35;MacdPerfect;Buy to Open;1.0;$356.66;11/23/20, 1:00 PM;;$4.89;1.0;
36;MacdPerfect;Sell to Close;-1.0;$356.63;11/23/20, 1:30 PM;($0.02);$4.79;0.0;
37;MacdPerfect;Buy to Open;1.0;$356.65;11/23/20, 1:35 PM;;$4.90;1.0;
38;MacdPerfect;Sell to Close;-1.0;$356.48;11/23/20, 1:45 PM;($0.17);$4.62;0.0;
39;MacdPerfect;Buy to Open;1.0;$356.71;11/23/20, 1:50 PM;;$4.66;1.0;
40;MacdPerfect;Sell to Close;-1.0;$356.69;11/23/20, 2:05 PM;($0.02);$4.60;0.0;
41;MacdPerfect;Buy to Open;1.0;$360.04;11/24/20, 9:55 AM;;$4.88;1.0;
42;MacdPerfect;Sell to Close;-1.0;$360.62;11/24/20, 10:25 AM;$0.58;$5.18;0.0;
43;MacdPerfect;Buy to Open;1.0;$364.10;11/27/20, 9:40 AM;;$4.97;1.0;
44;MacdPerfect;Sell to Close;-1.0;$363.90;11/27/20, 9:45 AM;($0.21);$4.97;0.0;
45;MacdPerfect;Buy to Open;1.0;$363.95;11/27/20, 10:15 AM;;$4.83;1.0;
46;MacdPerfect;Sell to Close;-1.0;$363.81;11/27/20, 10:20 AM;($0.14);$4.83;0.0;
47;MacdPerfect;Buy to Open;1.0;$364.10;11/27/20, 10:25 AM;;$4.73;1.0;
48;MacdPerfect;Sell to Close;-1.0;$364.01;11/27/20, 10:30 AM;($0.09);$4.74;0.0;
49;MacdPerfect;Buy to Open;1.0;$363.59;11/27/20, 1:20 PM;;$4.81;1.0;
50;MacdPerfect;Sell to Close;-1.0;$363.90;11/27/20, 2:05 PM;$0.31;$5.05;0.0;
51;MacdPerfect;Buy to Open;1.0;$365.66;12/1/20, 9:40 AM;;$5.25;1.0;
52;MacdPerfect;Sell to Close;-1.0;$366.98;12/1/20, 10:30 AM;$1.32;$6.37;0.0;
53;MacdPerfect;Buy to Open;1.0;$367.00;12/3/20, 10:00 AM;;$6.68;1.0;
54;MacdPerfect;Sell to Close;-1.0;$367.57;12/3/20, 10:30 AM;$0.57;$6.94;0.0;
55;MacdPerfect;Buy to Open;1.0;$367.44;12/3/20, 1:00 PM;;$6.87;1.0;
56;MacdPerfect;Sell to Close;-1.0;$367.06;12/3/20, 1:10 PM;($0.38);$6.56;0.0;
57;MacdPerfect;Buy to Open;1.0;$367.32;12/3/20, 2:50 PM;;$6.71;1.0;
58;MacdPerfect;Sell to Close;-1.0;$367.38;12/3/20, 3:10 PM;$0.06;$6.63;0.0;
59;MacdPerfect;Buy to Open;1.0;$368.96;12/7/20, 3:35 PM;;$6.38;1.0;
60;MacdPerfect;Sell to Close;-1.0;$368.71;12/7/20, 3:40 PM;($0.25);$6.38;0.0;
61;MacdPerfect;Buy to Open;1.0;$370.81;12/9/20, 9:40 AM;;$6.57;1.0;
62;MacdPerfect;Sell to Close;-1.0;$370.56;12/9/20, 10:05 AM;($0.25);$6.12;0.0;
63;MacdPerfect;Buy to Open;1.0;$367.22;12/15/20, 11:45 AM;;$5.82;1.0;
64;MacdPerfect;Sell to Close;-1.0;$366.93;12/15/20, 11:50 AM;($0.29);$5.83;0.0;
65;MacdPerfect;Buy to Open;1.0;$369.55;12/16/20, 10:00 AM;;$5.78;1.0;
66;MacdPerfect;Sell to Close;-1.0;$369.91;12/16/20, 10:50 AM;$0.36;$6.19;0.0;
67;MacdPerfect;Buy to Open;1.0;$371.80;12/17/20, 1:05 PM;;$6.24;1.0;
68;MacdPerfect;Sell to Close;-1.0;$371.86;12/17/20, 1:35 PM;$0.06;$6.25;0.0;
69;MacdPerfect;Buy to Open;1.0;$367.54;12/22/20, 1:05 PM;;$6.28;1.0;
70;MacdPerfect;Sell to Close;-1.0;$367.87;12/22/20, 1:45 PM;$0.33;$6.58;0.0;
71;MacdPerfect;Buy to Open;1.0;$369.01;12/23/20, 3:45 PM;;$6.39;1.0;
72;MacdPerfect;Sell to Close;-1.0;$368.82;12/23/20, 3:50 PM;($0.19);$6.39;0.0;
73;MacdPerfect;Buy to Open;1.0;$371.43;12/28/20, 9:45 AM;;$6.54;1.0;
74;MacdPerfect;Sell to Close;-1.0;$371.33;12/28/20, 10:10 AM;($0.10);$6.29;0.0;
75;MacdPerfect;Buy to Open;1.0;$371.53;12/28/20, 10:15 AM;;$6.23;1.0;
76;MacdPerfect;Sell to Close;-1.0;$372.14;12/28/20, 10:40 AM;$0.61;$6.90;0.0;
77;MacdPerfect;Buy to Open;1.0;$372.79;12/29/20, 11:40 AM;;$6.76;1.0;
78;MacdPerfect;Sell to Close;-1.0;$372.44;12/29/20, 11:55 AM;($0.35);$6.55;0.0;
79;MacdPerfect;Buy to Open;1.0;$372.59;12/30/20, 9:40 AM;;$6.68;1.0;
80;MacdPerfect;Sell to Close;-1.0;$372.72;12/30/20, 10:10 AM;$0.13;$6.68;0.0;
81;MacdPerfect;Buy to Open;1.0;$372.71;12/30/20, 10:25 AM;;$6.70;1.0;
82;MacdPerfect;Sell to Close;-1.0;$372.29;12/30/20, 10:40 AM;($0.42);$6.26;0.0;
83;MacdPerfect;Buy to Open;1.0;$381.01;1/8/21, 9:45 AM;;$5.79;1.0;
84;MacdPerfect;Sell to Close;-1.0;$380.56;1/8/21, 9:50 AM;($0.44);$5.82;0.0;
85;MacdPerfect;Buy to Open;1.0;$380.96;1/8/21, 10:05 AM;;$5.62;1.0;
86;MacdPerfect;Sell to Close;-1.0;$380.76;1/8/21, 10:10 AM;($0.20);$5.62;0.0;
