Strategy report
Symbol: SPY
Work Time: 10/23/20, 9:35 AM - 7/6/21, 2:15 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$345.56;10/23/20, 9:35 AM;;($0.13);1.0;
2;MacdPerfect;Sell to Close;-1.0;$345.33;10/23/20, 9:45 AM;($0.23);($0.23);0.0;
3;MacdPerfect;Buy to Open;1.0;$345.01;10/23/20, 9:50 AM;;$0.07;1.0;
4;MacdPerfect;Sell to Close;-1.0;$344.82;10/23/20, 10:05 AM;($0.19);($0.42);0.0;
5;MacdPerfect;Buy to Open;1.0;$344.54;10/23/20, 1:35 PM;;($0.50);1.0;
6;MacdPerfect;Sell to Close;-1.0;$344.85;10/23/20, 2:40 PM;$0.31;($0.11);0.0;
7;MacdPerfect;Buy to Open;1.0;$338.60;10/26/20, 2:30 PM;;($0.34);1.0;
8;MacdPerfect;Sell to Close;-1.0;$338.09;10/26/20, 2:40 PM;($0.51);($0.62);0.0;
9;MacdPerfect;Buy to Open;1.0;$338.10;10/26/20, 2:45 PM;;($1.01);1.0;
10;MacdPerfect;Sell to Close;-1.0;$337.72;10/26/20, 2:50 PM;($0.38);($1.00);0.0;
11;MacdPerfect;Buy to Open;1.0;$338.11;10/26/20, 2:55 PM;;($0.93);1.0;
12;MacdPerfect;Sell to Close;-1.0;$338.04;10/26/20, 3:05 PM;($0.07);($1.06);0.0;
13;MacdPerfect;Buy to Open;1.0;$337.75;10/26/20, 3:10 PM;;($1.29);1.0;
14;MacdPerfect;Sell to Close;-1.0;$337.51;10/26/20, 3:15 PM;($0.24);($1.30);0.0;
15;MacdPerfect;Buy to Open;1.0;$338.14;10/26/20, 3:25 PM;;($1.07);1.0;
16;MacdPerfect;Sell to Close;-1.0;$338.30;10/26/20, 3:45 PM;$0.16;($1.14);0.0;
17;MacdPerfect;Buy to Open;1.0;$339.75;10/27/20, 9:30 AM;;($1.82);1.0;
18;MacdPerfect;Sell to Close;-1.0;$339.07;10/27/20, 9:35 AM;($0.68);($1.82);0.0;
19;MacdPerfect;Buy to Open;1.0;$339.53;10/27/20, 9:40 AM;;($1.92);1.0;
20;MacdPerfect;Sell to Close;-1.0;$339.06;10/27/20, 9:50 AM;($0.47);($2.29);0.0;
21;MacdPerfect;Buy to Open;1.0;$339.65;10/27/20, 9:55 AM;;($2.25);1.0;
22;MacdPerfect;Sell to Close;-1.0;$339.35;10/27/20, 10:05 AM;($0.29);($2.59);0.0;
23;MacdPerfect;Buy to Open;1.0;$339.82;10/27/20, 10:10 AM;;($2.94);1.0;
24;MacdPerfect;Sell to Close;-1.0;$339.47;10/27/20, 10:15 AM;($0.35);($2.94);0.0;
25;MacdPerfect;Buy to Open;1.0;$329.18;10/28/20, 3:25 PM;;($3.17);1.0;
