Strategy report
Symbol: SPY
Work Time: 10/29/20, 9:50 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$326.62;10/29/20, 9:50 AM;;$1.03;1.0;
2;MacdPerfect;Sell to Close;-1.0;$329.19;10/29/20, 10:55 AM;$2.57;$2.57;0.0;
3;MacdPerfect;Buy to Open;1.0;$329.70;11/2/20, 9:35 AM;;$2.64;1.0;
4;MacdPerfect;Sell to Close;-1.0;$331.47;11/2/20, 10:05 AM;$1.77;$4.34;0.0;
5;MacdPerfect;Buy to Open;1.0;$333.41;11/3/20, 9:35 AM;;$4.52;1.0;
6;MacdPerfect;Sell to Close;-1.0;$336.19;11/3/20, 10:10 AM;$2.78;$7.12;0.0;
7;MacdPerfect;Buy to Open;1.0;$341.45;11/4/20, 9:35 AM;;$5.58;1.0;
8;MacdPerfect;Sell to Close;-1.0;$344.08;11/4/20, 10:10 AM;$2.63;$9.75;0.0;
9;MacdPerfect;Buy to Open;1.0;$349.33;11/5/20, 9:35 AM;;$10.11;1.0;
10;MacdPerfect;Sell to Close;-1.0;$350.40;11/5/20, 10:05 AM;$1.07;$10.82;0.0;
11;MacdPerfect;Buy to Open;1.0;$363.16;11/9/20, 9:35 AM;;$10.32;1.0;
12;MacdPerfect;Sell to Close;-1.0;$362.77;11/9/20, 10:05 AM;($0.39);$10.43;0.0;
13;MacdPerfect;Buy to Open;1.0;$353.58;11/10/20, 10:00 AM;;$11.31;1.0;
14;MacdPerfect;Sell to Close;-1.0;$352.49;11/10/20, 10:30 AM;($1.09);$9.34;0.0;
15;MacdPerfect;Buy to Open;1.0;$355.86;11/11/20, 9:35 AM;;$9.47;1.0;
16;MacdPerfect;Sell to Close;-1.0;$355.31;11/11/20, 10:00 AM;($0.55);$8.79;0.0;
17;MacdPerfect;Buy to Open;1.0;$355.65;11/13/20, 9:35 AM;;$9.03;1.0;
18;MacdPerfect;Sell to Close;-1.0;$356.03;11/13/20, 10:00 AM;$0.38;$9.17;0.0;
19;MacdPerfect;Buy to Open;1.0;$360.26;11/16/20, 9:35 AM;;$9.72;1.0;
20;MacdPerfect;Sell to Close;-1.0;$360.52;11/16/20, 10:05 AM;$0.26;$9.43;0.0;
21;MacdPerfect;Buy to Open;1.0;$355.95;11/19/20, 9:50 AM;;$9.77;1.0;
22;MacdPerfect;Sell to Close;-1.0;$355.04;11/19/20, 10:25 AM;($0.91);$8.52;0.0;
23;MacdPerfect;Buy to Open;1.0;$357.63;11/20/20, 9:45 AM;;$8.36;1.0;
24;MacdPerfect;Sell to Close;-1.0;$357.46;11/20/20, 11:40 AM;($0.17);$8.35;0.0;
25;MacdPerfect;Buy to Open;1.0;$357.44;11/23/20, 9:35 AM;;$8.54;1.0;
26;MacdPerfect;Sell to Close;-1.0;$358.04;11/23/20, 10:05 AM;$0.60;$8.95;0.0;
27;MacdPerfect;Buy to Open;1.0;$359.71;11/24/20, 9:35 AM;;$8.82;1.0;
28;MacdPerfect;Sell to Close;-1.0;$360.66;11/24/20, 10:10 AM;$0.96;$9.90;0.0;
29;MacdPerfect;Buy to Open;1.0;$363.70;11/27/20, 9:35 AM;;$10.30;1.0;
30;MacdPerfect;Sell to Close;-1.0;$363.72;11/27/20, 10:05 AM;$0.01;$9.92;0.0;
31;MacdPerfect;Buy to Open;1.0;$362.54;11/30/20, 9:55 AM;;$9.65;1.0;
32;MacdPerfect;Sell to Close;-1.0;$361.68;11/30/20, 10:25 AM;($0.86);$9.06;0.0;
