Strategy report
Symbol: SPY
Work Time: 11/2/20, 9:35 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$329.70;11/2/20, 9:35 AM;;$0.07;1.0;
2;MacdPerfect;Sell to Close;-1.0;$331.47;11/2/20, 10:05 AM;$1.77;$1.77;0.0;
3;MacdPerfect;Buy to Open;1.0;$333.41;11/3/20, 9:35 AM;;$1.95;1.0;
4;MacdPerfect;Sell to Close;-1.0;$336.19;11/3/20, 10:10 AM;$2.78;$4.55;0.0;
5;MacdPerfect;Buy to Open;1.0;$341.45;11/4/20, 9:35 AM;;$3.01;1.0;
6;MacdPerfect;Sell to Close;-1.0;$344.08;11/4/20, 10:10 AM;$2.63;$7.18;0.0;
7;MacdPerfect;Buy to Open;1.0;$349.33;11/5/20, 9:35 AM;;$7.54;1.0;
8;MacdPerfect;Sell to Close;-1.0;$350.40;11/5/20, 10:05 AM;$1.07;$8.25;0.0;
9;MacdPerfect;Buy to Open;1.0;$363.16;11/9/20, 9:35 AM;;$7.75;1.0;
10;MacdPerfect;Sell to Close;-1.0;$362.77;11/9/20, 10:05 AM;($0.39);$7.86;0.0;
11;MacdPerfect;Buy to Open;1.0;$355.86;11/11/20, 9:35 AM;;$7.99;1.0;
12;MacdPerfect;Sell to Close;-1.0;$355.31;11/11/20, 10:00 AM;($0.55);$7.31;0.0;
13;MacdPerfect;Buy to Open;1.0;$355.65;11/13/20, 9:35 AM;;$7.55;1.0;
14;MacdPerfect;Sell to Close;-1.0;$356.03;11/13/20, 10:00 AM;$0.38;$7.69;0.0;
15;MacdPerfect;Buy to Open;1.0;$360.26;11/16/20, 9:35 AM;;$8.24;1.0;
16;MacdPerfect;Sell to Close;-1.0;$360.52;11/16/20, 10:05 AM;$0.26;$7.95;0.0;
17;MacdPerfect;Buy to Open;1.0;$357.44;11/23/20, 9:35 AM;;$8.14;1.0;
18;MacdPerfect;Sell to Close;-1.0;$358.04;11/23/20, 10:05 AM;$0.60;$8.55;0.0;
19;MacdPerfect;Buy to Open;1.0;$359.71;11/24/20, 9:35 AM;;$8.42;1.0;
20;MacdPerfect;Sell to Close;-1.0;$360.66;11/24/20, 10:10 AM;$0.96;$9.50;0.0;
21;MacdPerfect;Buy to Open;1.0;$363.70;11/27/20, 9:35 AM;;$9.90;1.0;
22;MacdPerfect;Sell to Close;-1.0;$363.72;11/27/20, 10:05 AM;$0.01;$9.52;0.0;
23;MacdPerfect;Buy to Open;1.0;$365.06;12/1/20, 9:35 AM;;$10.14;1.0;
24;MacdPerfect;Sell to Close;-1.0;$366.58;12/1/20, 10:05 AM;$1.52;$11.04;0.0;
25;MacdPerfect;Buy to Open;1.0;$366.96;12/3/20, 9:35 AM;;$11.09;1.0;
26;MacdPerfect;Sell to Close;-1.0;$367.80;12/3/20, 10:40 AM;$0.84;$11.88;0.0;
27;MacdPerfect;Buy to Open;1.0;$367.93;12/4/20, 9:40 AM;;$12.11;1.0;
28;MacdPerfect;Sell to Close;-1.0;$368.53;12/4/20, 10:10 AM;$0.60;$12.48;0.0;
29;MacdPerfect;Sell to Close;-1.0;$369.04;12/7/20, 9:35 AM;$0.00;$12.46;-1.0;
30;MacdPerfect;Buy to Open;1.0;$369.04;12/7/20, 9:35 AM;;$12.48;0.0;
