Strategy report
Symbol: SPY
Work Time: 10/27/20, 9:35 AM - 7/9/21, 9:45 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$339.07;10/27/20, 9:35 AM;;$0.45;1.0;
2;AAA;Sell to Close;-1.0;$339.43;10/27/20, 9:45 AM;$0.36;$0.36;0.0;
3;AAA;Buy to Open;1.0;$329.70;11/2/20, 9:35 AM;;$0.43;1.0;
4;AAA;Sell to Close;-1.0;$329.15;11/2/20, 9:45 AM;($0.55);($0.19);0.0;
5;AAA;Buy to Open;1.0;$333.41;11/3/20, 9:35 AM;;($0.01);1.0;
6;AAA;Sell to Close;-1.0;$334.64;11/3/20, 9:50 AM;$1.22;$1.03;0.0;
7;AAA;Buy to Open;1.0;$341.45;11/4/20, 9:35 AM;;($0.51);1.0;
8;AAA;Sell to Close;-1.0;$341.11;11/4/20, 9:50 AM;($0.34);$0.69;0.0;
9;AAA;Buy to Open;1.0;$349.33;11/5/20, 9:35 AM;;$1.06;1.0;
10;AAA;Sell to Close;-1.0;$350.10;11/5/20, 9:50 AM;$0.77;$1.47;0.0;
11;AAA;Buy to Open;1.0;$363.16;11/9/20, 9:35 AM;;$0.97;1.0;
12;AAA;Sell to Close;-1.0;$362.01;11/9/20, 9:45 AM;($1.15);$0.31;0.0;
13;AAA;Buy to Open;1.0;$355.65;11/13/20, 9:35 AM;;$0.56;1.0;
14;AAA;Sell to Close;-1.0;$355.92;11/13/20, 9:45 AM;$0.27;$0.58;0.0;
15;AAA;Buy to Open;1.0;$360.26;11/16/20, 9:35 AM;;$1.13;1.0;
16;AAA;Sell to Close;-1.0;$360.94;11/16/20, 9:50 AM;$0.68;$1.26;0.0;
17;AAA;Buy to Open;1.0;$357.44;11/23/20, 9:35 AM;;$1.45;1.0;
18;AAA;Sell to Close;-1.0;$358.45;11/23/20, 9:50 AM;$1.01;$2.27;0.0;
19;AAA;Buy to Open;1.0;$363.70;11/27/20, 9:35 AM;;$2.67;1.0;
20;AAA;Sell to Close;-1.0;$363.92;11/27/20, 9:50 AM;$0.22;$2.49;0.0;
21;AAA;Buy to Open;1.0;$365.06;12/1/20, 9:35 AM;;$3.11;1.0;
22;AAA;Sell to Close;-1.0;$365.95;12/1/20, 9:50 AM;$0.89;$3.38;0.0;
23;AAA;Buy to Open;1.0;$366.96;12/3/20, 9:35 AM;;$3.43;1.0;
24;AAA;Sell to Close;-1.0;$367.03;12/3/20, 9:45 AM;$0.07;$3.45;0.0;
25;AAA;Buy to Open;1.0;$367.93;12/4/20, 9:40 AM;;$3.68;1.0;
26;AAA;Sell to Close;-1.0;$368.26;12/4/20, 9:50 AM;$0.33;$3.78;0.0;
27;AAA;Buy to Open;1.0;$369.04;12/7/20, 9:35 AM;;$3.79;1.0;
28;AAA;Sell to Close;-1.0;$369.38;12/7/20, 10:15 AM;$0.34;$4.11;0.0;
29;AAA;Buy to Open;1.0;$368.70;12/14/20, 9:35 AM;;$4.79;1.0;
30;AAA;Sell to Close;-1.0;$369.38;12/14/20, 9:50 AM;$0.68;$4.79;0.0;
31;AAA;Buy to Open;1.0;$367.43;12/15/20, 9:35 AM;;$4.93;1.0;
32;AAA;Sell to Close;-1.0;$367.25;12/15/20, 9:50 AM;($0.18);$4.61;0.0;
33;AAA;Sell to Close;-1.0;$369.66;12/16/20, 9:35 AM;$0.00;$5.22;-1.0;
34;AAA;Buy to Open;1.0;$369.66;12/16/20, 9:35 AM;;$4.61;0.0;
35;AAA;Buy to Open;1.0;$372.32;12/17/20, 9:35 AM;;$4.58;1.0;
36;AAA;Sell to Close;-1.0;$372.03;12/17/20, 9:50 AM;($0.29);$4.32;0.0;
37;AAA;Buy to Open;1.0;$368.89;12/23/20, 9:40 AM;;$4.13;1.0;
38;AAA;Sell to Close;-1.0;$368.71;12/23/20, 9:45 AM;($0.18);$4.14;0.0;
39;AAA;Buy to Open;1.0;$368.47;12/24/20, 9:35 AM;;$4.03;1.0;
40;AAA;Sell to Close;-1.0;$368.19;12/24/20, 9:50 AM;($0.28);$3.86;0.0;
41;AAA;Buy to Open;1.0;$371.28;12/28/20, 9:35 AM;;$3.80;1.0;
42;AAA;Sell to Close;-1.0;$371.56;12/28/20, 9:50 AM;$0.28;$4.14;0.0;
43;AAA;Buy to Open;1.0;$373.85;12/29/20, 9:35 AM;;$3.89;1.0;
44;AAA;Sell to Close;-1.0;$373.59;12/29/20, 9:45 AM;($0.26);$3.88;0.0;
45;AAA;Buy to Open;1.0;$372.37;12/30/20, 9:35 AM;;$4.09;1.0;
46;AAA;Sell to Close;-1.0;$372.76;12/30/20, 9:50 AM;$0.39;$4.27;0.0;
47;AAA;Buy to Open;1.0;$374.53;1/4/21, 9:35 AM;;$3.73;1.0;
48;AAA;Sell to Close;-1.0;$373.98;1/4/21, 9:40 AM;($0.55);$3.72;0.0;
49;AAA;Buy to Open;1.0;$369.25;1/5/21, 9:35 AM;;$4.56;1.0;
50;AAA;Sell to Close;-1.0;$370.28;1/5/21, 9:50 AM;$1.03;$4.75;0.0;
51;AAA;Buy to Open;1.0;$370.94;1/6/21, 9:40 AM;;$4.91;1.0;
52;AAA;Sell to Close;-1.0;$372.36;1/6/21, 10:05 AM;$1.42;$6.17;0.0;
53;AAA;Buy to Open;1.0;$380.70;1/8/21, 9:35 AM;;$5.99;1.0;
54;AAA;Sell to Close;-1.0;$380.56;1/8/21, 9:50 AM;($0.14);$6.03;0.0;
