Strategy report
Symbol: SPY
Work Time: 1/16/20, 9:35 AM - 10/1/20, 9:55 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$329.85;1/16/20, 9:35 AM;;($0.04);1.0;
2;MacdPerfect;Sell to Close;-1.0;$329.67;1/16/20, 10:00 AM;($0.18);($0.18);0.0;
3;MacdPerfect;Buy to Open;1.0;$331.39;1/17/20, 9:35 AM;;($0.30);1.0;
4;MacdPerfect;Sell to Close;-1.0;$331.67;1/17/20, 10:00 AM;$0.28;$0.11;0.0;
5;MacdPerfect;Buy to Open;1.0;$332.36;1/22/20, 9:35 AM;;$0.36;1.0;
6;MacdPerfect;Sell to Close;-1.0;$332.53;1/22/20, 10:05 AM;$0.16;$0.27;0.0;
7;MacdPerfect;Buy to Open;1.0;$332.16;1/24/20, 9:40 AM;;$0.30;1.0;
8;MacdPerfect;Sell to Close;-1.0;$332.22;1/24/20, 10:00 AM;$0.06;$0.33;0.0;
9;MacdPerfect;Buy to Open;1.0;$324.97;1/28/20, 9:35 AM;;$0.06;1.0;
10;MacdPerfect;Sell to Close;-1.0;$326.57;1/28/20, 10:40 AM;$1.60;$1.93;0.0;
11;MacdPerfect;Buy to Open;1.0;$328.27;1/29/20, 9:35 AM;;$1.69;1.0;
12;MacdPerfect;Sell to Close;-1.0;$327.63;1/29/20, 9:55 AM;($0.64);$1.29;0.0;
13;MacdPerfect;Buy to Open;1.0;$326.50;1/31/20, 9:35 AM;;$1.37;1.0;
14;MacdPerfect;Sell to Close;-1.0;$324.85;1/31/20, 10:35 AM;($1.65);($0.36);0.0;
15;MacdPerfect;Buy to Open;1.0;$323.85;2/3/20, 9:35 AM;;($0.01);1.0;
16;MacdPerfect;Sell to Close;-1.0;$325.39;2/3/20, 10:10 AM;$1.54;$1.18;0.0;
17;MacdPerfect;Buy to Open;1.0;$328.05;2/4/20, 9:35 AM;;$0.91;1.0;
18;MacdPerfect;Sell to Close;-1.0;$328.63;2/4/20, 10:05 AM;$0.58;$1.76;0.0;
19;MacdPerfect;Buy to Open;1.0;$331.99;2/5/20, 9:35 AM;;$1.44;1.0;
20;MacdPerfect;Sell to Close;-1.0;$332.08;2/5/20, 10:05 AM;$0.09;$1.85;0.0;
21;MacdPerfect;Buy to Open;1.0;$333.42;2/6/20, 9:35 AM;;$1.53;1.0;
22;MacdPerfect;Sell to Close;-1.0;$333.75;2/6/20, 10:15 AM;$0.33;$2.18;0.0;
23;MacdPerfect;Buy to Open;1.0;$335.73;2/11/20, 9:35 AM;;$2.09;1.0;
24;MacdPerfect;Sell to Close;-1.0;$336.50;2/11/20, 10:05 AM;$0.77;$2.96;0.0;
25;MacdPerfect;Buy to Open;1.0;$337.17;2/12/20, 9:35 AM;;$2.99;1.0;
26;MacdPerfect;Sell to Close;-1.0;$337.01;2/12/20, 10:00 AM;($0.16);$2.80;0.0;
27;MacdPerfect;Buy to Open;1.0;$337.58;2/14/20, 9:35 AM;;$2.50;1.0;
28;MacdPerfect;Sell to Close;-1.0;$337.21;2/14/20, 9:55 AM;($0.37);$2.43;0.0;
29;MacdPerfect;Sell to Close;-1.0;$336.92;2/18/20, 9:35 AM;$0.00;$2.76;-1.0;
30;MacdPerfect;Buy to Open;1.0;$336.92;2/18/20, 9:35 AM;;$2.43;0.0;
31;MacdPerfect;Buy to Open;1.0;$337.77;2/19/20, 9:35 AM;;$2.63;1.0;
32;MacdPerfect;Sell to Close;-1.0;$338.07;2/19/20, 10:05 AM;$0.30;$2.73;0.0;
33;MacdPerfect;Buy to Open;1.0;$297.36;3/2/20, 9:35 AM;;$1.35;1.0;
34;MacdPerfect;Sell to Close;-1.0;$297.67;3/2/20, 9:55 AM;$0.31;$3.04;0.0;
35;MacdPerfect;Buy to Open;1.0;$307.71;3/3/20, 9:35 AM;;$2.66;1.0;
36;MacdPerfect;Sell to Close;-1.0;$307.34;3/3/20, 9:40 AM;($0.37);$2.67;0.0;
37;MacdPerfect;Buy to Open;1.0;$284.62;3/10/20, 9:35 AM;;$1.16;1.0;
38;MacdPerfect;Sell to Close;-1.0;$284.02;3/10/20, 10:10 AM;($0.60);$2.07;0.0;
39;MacdPerfect;Buy to Open;1.0;$261.32;3/13/20, 9:35 AM;;($0.13);1.0;
40;MacdPerfect;Sell to Close;-1.0;$256.56;3/13/20, 10:00 AM;($4.76);($2.69);0.0;
41;MacdPerfect;Buy to Open;1.0;$244.78;3/17/20, 9:35 AM;;($5.94);1.0;
42;MacdPerfect;Sell to Close;-1.0;$240.90;3/17/20, 9:50 AM;($3.88);($6.57);0.0;
43;MacdPerfect;Buy to Open;1.0;$235.72;3/19/20, 9:35 AM;;($7.89);1.0;
44;MacdPerfect;Sell to Close;-1.0;$234.45;3/19/20, 9:40 AM;($1.27);($7.84);0.0;
45;MacdPerfect;Buy to Open;1.0;$242.58;3/20/20, 9:35 AM;;($10.54);1.0;
46;MacdPerfect;Sell to Close;-1.0;$244.05;3/20/20, 11:00 AM;$1.47;($6.37);0.0;
47;MacdPerfect;Buy to Open;1.0;$236.68;3/24/20, 9:35 AM;;($6.86);1.0;
48;MacdPerfect;Sell to Close;-1.0;$235.50;3/24/20, 10:00 AM;($1.18);($7.56);0.0;
49;MacdPerfect;Buy to Open;1.0;$246.65;3/25/20, 9:35 AM;;($5.06);1.0;
50;MacdPerfect;Sell to Close;-1.0;$243.44;3/25/20, 9:55 AM;($3.21);($10.77);0.0;
51;MacdPerfect;Buy to Open;1.0;$250.87;3/26/20, 9:35 AM;;($9.58);1.0;
52;MacdPerfect;Sell to Close;-1.0;$257.27;3/26/20, 10:35 AM;$6.39;($4.37);0.0;
53;MacdPerfect;Buy to Open;1.0;$256.61;3/30/20, 9:35 AM;;($6.18);1.0;
54;MacdPerfect;Sell to Close;-1.0;$258.40;3/30/20, 10:50 AM;$1.79;($2.58);0.0;
55;MacdPerfect;Buy to Open;1.0;$251.55;4/3/20, 9:35 AM;;($1.95);1.0;
56;MacdPerfect;Sell to Close;-1.0;$252.12;4/3/20, 9:50 AM;$0.57;($2.01);0.0;
57;MacdPerfect;Buy to Open;1.0;$257.06;4/6/20, 9:35 AM;;($1.96);1.0;
58;MacdPerfect;Sell to Close;-1.0;$259.93;4/6/20, 10:05 AM;$2.87;$0.86;0.0;
59;MacdPerfect;Buy to Open;1.0;$273.69;4/7/20, 9:35 AM;;($0.81);1.0;
