Strategy report
Symbol: SPY
Work Time: 10/23/20, 9:35 AM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$345.50;10/23/20, 9:35 AM;;($0.06);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$344.86;10/23/20, 10:05 AM;($0.64);($0.64);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$345.08;10/23/20, 10:35 AM;;($0.70);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$344.62;10/23/20, 10:55 AM;($0.46);($1.10);0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$344.84;10/23/20, 11:05 AM;;($1.10);1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$344.32;10/23/20, 11:25 AM;($0.51);($1.61);0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$344.21;10/23/20, 12:00 PM;;($1.54);1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$343.54;10/23/20, 12:20 PM;($0.67);($2.29);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$343.73;10/23/20, 12:35 PM;;($2.27);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$343.75;10/23/20, 1:00 PM;$0.02;($2.27);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$344.50;10/23/20, 1:35 PM;;($2.31);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$344.78;10/23/20, 2:40 PM;$0.27;($1.99);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$344.81;10/23/20, 2:45 PM;;($1.88);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$344.76;10/23/20, 2:55 PM;($0.05);($2.04);0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$345.28;10/23/20, 3:15 PM;;($2.09);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$345.11;10/23/20, 3:35 PM;($0.18);($2.22);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$345.49;10/23/20, 3:45 PM;;($2.16);1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$345.67;10/23/20, 3:55 PM;$0.18;($2.04);0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$342.25;10/26/20, 9:30 AM;;($1.92);1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$342.47;10/26/20, 9:35 AM;$0.22;($1.82);0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$329.74;11/2/20, 9:35 AM;;($1.78);1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$331.71;11/2/20, 10:25 AM;$1.97;$0.16;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$331.35;11/2/20, 10:30 AM;;($0.08);1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$330.45;11/2/20, 10:40 AM;($0.90);($0.74);0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$330.92;11/2/20, 11:45 AM;;($0.84);1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$330.22;11/2/20, 12:15 PM;($0.70);($1.44);0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$330.51;11/2/20, 12:30 PM;;($1.66);1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$329.50;11/2/20, 12:40 PM;($1.02);($2.46);0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$328.32;11/2/20, 1:35 PM;;($2.64);1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$327.43;11/2/20, 1:55 PM;($0.89);($3.35);0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$327.77;11/2/20, 2:05 PM;;($3.20);1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$329.31;11/2/20, 3:35 PM;$1.54;($1.82);0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$328.91;11/2/20, 3:40 PM;;($2.11);1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$328.93;11/2/20, 3:45 PM;$0.02;($1.80);0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$333.56;11/3/20, 9:30 AM;;($1.93);1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$337.17;11/3/20, 10:30 AM;$3.61;$1.81;0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$337.00;11/3/20, 10:35 AM;;$1.87;1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$337.38;11/3/20, 10:50 AM;$0.37;$2.18;0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$336.21;11/3/20, 1:35 PM;;$2.00;1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$335.41;11/3/20, 1:50 PM;($0.80);$1.38;0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$335.93;11/3/20, 2:15 PM;;$1.27;1.0;
42;MacdPerfect(SELL);Sell to Close;-1.0;$335.70;11/3/20, 3:05 PM;($0.23);$1.15;0.0;
43;MacdPerfect(BUY);Buy to Open;1.0;$337.17;11/3/20, 3:35 PM;;$1.16;1.0;
44;MacdPerfect(SELL);Sell to Close;-1.0;$336.95;11/3/20, 3:55 PM;($0.21);$0.94;0.0;
45;MacdPerfect(BUY);Buy to Open;1.0;$341.14;11/4/20, 9:30 AM;;$1.22;1.0;
46;MacdPerfect(SELL);Sell to Close;-1.0;$345.10;11/4/20, 10:30 AM;$3.97;$4.90;0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$344.65;11/4/20, 10:35 AM;;$4.46;1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$345.27;11/4/20, 10:50 AM;$0.62;$5.52;0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$346.84;11/4/20, 12:00 PM;;$5.68;1.0;
50;MacdPerfect(SELL);Sell to Close;-1.0;$345.71;11/4/20, 1:45 PM;($1.13);$4.39;0.0;
51;MacdPerfect(BUY);Buy to Open;1.0;$346.05;11/4/20, 2:10 PM;;$4.45;1.0;
52;MacdPerfect(SELL);Sell to Close;-1.0;$345.36;11/4/20, 2:40 PM;($0.69);$3.70;0.0;
53;MacdPerfect(BUY);Buy to Open;1.0;$345.45;11/4/20, 2:55 PM;;$3.57;1.0;
54;MacdPerfect(SELL);Sell to Close;-1.0;$344.71;11/4/20, 3:05 PM;($0.74);$2.96;0.0;
55;MacdPerfect(BUY);Buy to Open;1.0;$344.10;11/4/20, 3:35 PM;;$2.81;1.0;
56;MacdPerfect(SELL);Sell to Close;-1.0;$344.01;11/4/20, 3:55 PM;($0.09);$2.87;0.0;
57;MacdPerfect(BUY);Buy to Open;1.0;$349.51;11/5/20, 9:35 AM;;$3.05;1.0;
58;MacdPerfect(SELL);Sell to Close;-1.0;$350.96;11/5/20, 10:30 AM;$1.45;$4.32;0.0;
59;MacdPerfect(BUY);Buy to Open;1.0;$350.92;11/5/20, 10:35 AM;;$4.21;1.0;
60;MacdPerfect(SELL);Sell to Close;-1.0;$351.31;11/5/20, 10:45 AM;$0.39;$4.70;0.0;
61;MacdPerfect(BUY);Buy to Open;1.0;$349.83;11/5/20, 12:40 PM;;$4.77;1.0;
62;MacdPerfect(SELL);Sell to Close;-1.0;$351.08;11/5/20, 2:10 PM;$1.25;$5.95;0.0;
63;MacdPerfect(BUY);Buy to Open;1.0;$351.14;11/5/20, 2:15 PM;;$6.02;1.0;
64;MacdPerfect(SELL);Sell to Close;-1.0;$351.47;11/5/20, 2:50 PM;$0.33;$6.28;0.0;
65;MacdPerfect(BUY);Buy to Open;1.0;$351.68;11/5/20, 3:00 PM;;$6.24;1.0;
66;MacdPerfect(SELL);Sell to Close;-1.0;$351.46;11/5/20, 3:05 PM;($0.22);$6.07;0.0;
67;MacdPerfect(BUY);Buy to Open;1.0;$350.41;11/5/20, 3:55 PM;;$5.87;1.0;
68;MacdPerfect(SELL);Sell to Close;-1.0;$349.45;11/6/20, 9:30 AM;($0.95);$5.11;0.0;
69;MacdPerfect(BUY);Buy to Open;1.0;$349.31;11/6/20, 10:10 AM;;$5.23;1.0;
70;MacdPerfect(SELL);Sell to Close;-1.0;$349.42;11/6/20, 11:00 AM;$0.12;$5.23;0.0;
71;MacdPerfect(BUY);Buy to Open;1.0;$350.21;11/6/20, 11:10 AM;;$4.88;1.0;
72;MacdPerfect(SELL);Sell to Close;-1.0;$349.95;11/6/20, 11:15 AM;($0.25);$4.97;0.0;
73;MacdPerfect(BUY);Buy to Open;1.0;$349.89;11/6/20, 11:20 AM;;$4.85;1.0;
74;MacdPerfect(SELL);Sell to Close;-1.0;$349.92;11/6/20, 11:25 AM;$0.03;$5.00;0.0;
75;MacdPerfect(BUY);Buy to Open;1.0;$350.11;11/6/20, 11:30 AM;;$5.05;1.0;
76;MacdPerfect(SELL);Sell to Close;-1.0;$350.26;11/6/20, 12:10 PM;$0.15;$5.15;0.0;
77;MacdPerfect(BUY);Buy to Open;1.0;$350.06;11/6/20, 12:15 PM;;$5.04;1.0;
78;MacdPerfect(SELL);Sell to Close;-1.0;$349.92;11/6/20, 12:20 PM;($0.14);$5.02;0.0;
79;MacdPerfect(BUY);Buy to Open;1.0;$350.37;11/6/20, 1:05 PM;;$5.02;1.0;
80;MacdPerfect(SELL);Sell to Close;-1.0;$350.47;11/6/20, 1:55 PM;$0.10;$5.12;0.0;
81;MacdPerfect(BUY);Buy to Open;1.0;$349.70;11/6/20, 3:15 PM;;$5.01;1.0;
82;MacdPerfect(SELL);Sell to Close;-1.0;$350.61;11/6/20, 3:55 PM;$0.90;$6.02;0.0;
83;MacdPerfect(BUY);Buy to Open;1.0;$363.56;11/9/20, 9:30 AM;;$5.61;1.0;
84;MacdPerfect(SELL);Sell to Close;-1.0;$361.79;11/9/20, 9:50 AM;($1.77);$4.25;0.0;
85;MacdPerfect(BUY);Buy to Open;1.0;$360.91;11/9/20, 9:55 AM;;$3.89;1.0;
86;MacdPerfect(SELL);Sell to Close;-1.0;$361.66;11/9/20, 10:00 AM;$0.76;$5.01;0.0;
87;MacdPerfect(BUY);Buy to Open;1.0;$362.05;11/9/20, 10:05 AM;;$4.29;1.0;
88;MacdPerfect(SELL);Sell to Close;-1.0;$361.28;11/9/20, 10:10 AM;($0.77);$4.24;0.0;
89;MacdPerfect(BUY);Buy to Open;1.0;$361.84;11/9/20, 10:15 AM;;$4.81;1.0;
90;MacdPerfect(SELL);Sell to Close;-1.0;$360.90;11/9/20, 10:35 AM;($0.94);$3.30;0.0;
91;MacdPerfect(BUY);Buy to Open;1.0;$360.07;11/9/20, 12:10 PM;;$3.06;1.0;
92;MacdPerfect(SELL);Sell to Close;-1.0;$361.14;11/9/20, 12:55 PM;$1.07;$4.37;0.0;
93;MacdPerfect(BUY);Buy to Open;1.0;$361.53;11/9/20, 1:00 PM;;$4.38;1.0;
94;MacdPerfect(SELL);Sell to Close;-1.0;$361.51;11/9/20, 1:25 PM;($0.01);$4.36;0.0;
95;MacdPerfect(BUY);Buy to Open;1.0;$359.80;11/9/20, 2:40 PM;;$4.48;1.0;
96;MacdPerfect(SELL);Sell to Close;-1.0;$358.63;11/9/20, 3:25 PM;($1.17);$3.19;0.0;
97;MacdPerfect(BUY);Buy to Open;1.0;$358.64;11/9/20, 3:40 PM;;$2.83;1.0;
