Strategy report
Symbol: SPY
Work Time: 10/8/20, 2:15 PM - 6/24/21, 3:05 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$343.30;10/8/20, 2:15 PM;;$0.09;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$343.58;10/8/20, 2:55 PM;$0.27;$0.27;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$343.60;10/8/20, 3:35 PM;;$0.25;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$343.58;10/8/20, 3:50 PM;($0.02);$0.25;0.0;
5;MacdPerfect(SELL);Sell to Close;-1.0;$343.68;10/9/20, 9:30 AM;($1.89);($2.04);-1.0;
6;MacdPerfect(BUY);Buy to Open;1.0;$345.57;10/9/20, 9:30 AM;;($1.64);0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$345.97;10/9/20, 9:35 AM;;($1.99);1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$345.60;10/9/20, 10:10 AM;($0.37);($2.01);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$347.08;10/9/20, 11:55 AM;;($2.12);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$347.28;10/9/20, 12:15 PM;$0.20;($1.81);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$346.78;10/9/20, 3:25 PM;;($1.69);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$346.43;10/9/20, 3:40 PM;($0.35);($2.16);0.0;
13;MacdPerfect(SELL);Sell to Close;-1.0;$346.46;10/12/20, 9:30 AM;($3.12);($5.03);-1.0;
14;MacdPerfect(BUY);Buy to Open;1.0;$349.57;10/12/20, 9:30 AM;;($5.27);0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$349.33;10/12/20, 9:35 AM;;($4.98);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$350.17;10/12/20, 10:35 AM;$0.84;($4.43);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$351.34;10/12/20, 11:10 AM;;($4.27);1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$351.81;10/12/20, 11:30 AM;$0.47;($3.96);0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$353.25;10/12/20, 12:50 PM;;($4.26);1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$353.25;10/12/20, 12:55 PM;$0.00;($3.96);0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$350.02;10/13/20, 3:00 PM;;($3.60);1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$351.13;10/13/20, 3:50 PM;$1.11;($2.85);0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$351.01;10/14/20, 9:40 AM;;($2.37);1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$351.73;10/14/20, 10:05 AM;$0.72;($2.13);0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$348.81;10/14/20, 3:10 PM;;($1.79);1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$349.06;10/14/20, 3:40 PM;$0.25;($1.88);0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$346.10;10/15/20, 11:55 AM;;($2.41);1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$346.10;10/15/20, 12:00 PM;$0.00;($1.88);0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$345.87;10/15/20, 1:00 PM;;($1.94);1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$346.75;10/15/20, 1:50 PM;$0.88;($1.00);0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$346.52;10/15/20, 2:00 PM;;($0.77);1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$346.86;10/15/20, 2:25 PM;$0.34;($0.66);0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$346.94;10/15/20, 2:35 PM;;($1.03);1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$346.94;10/15/20, 2:40 PM;$0.00;($0.66);0.0;
