Strategy report
Symbol: SPY
Work Time: 10/23/20, 9:35 AM - 7/6/21, 2:15 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$345.50;10/23/20, 9:35 AM;;($0.06);1.0;
2;MacdPerfect;Sell to Close;-1.0;$345.17;10/23/20, 9:45 AM;($0.33);($0.33);0.0;
3;MacdPerfect;Buy to Open;1.0;$345.16;10/23/20, 9:50 AM;;($0.18);1.0;
4;MacdPerfect;Sell to Close;-1.0;$344.86;10/23/20, 10:05 AM;($0.30);($0.63);0.0;
5;MacdPerfect;Buy to Open;1.0;$345.08;10/23/20, 10:35 AM;;($0.69);1.0;
6;MacdPerfect;Sell to Close;-1.0;$344.82;10/23/20, 10:45 AM;($0.26);($0.89);0.0;
7;MacdPerfect;Buy to Open;1.0;$344.84;10/23/20, 11:05 AM;;($0.89);1.0;
8;MacdPerfect;Sell to Close;-1.0;$344.59;10/23/20, 11:20 AM;($0.25);($1.14);0.0;
9;MacdPerfect;Buy to Open;1.0;$344.21;10/23/20, 12:00 PM;;($1.07);1.0;
10;MacdPerfect;Sell to Close;-1.0;$343.92;10/23/20, 12:15 PM;($0.30);($1.44);0.0;
11;MacdPerfect;Buy to Open;1.0;$343.73;10/23/20, 12:35 PM;;($1.43);1.0;
12;MacdPerfect;Sell to Close;-1.0;$343.75;10/23/20, 1:00 PM;$0.02;($1.42);0.0;
13;MacdPerfect;Buy to Open;1.0;$344.50;10/23/20, 1:35 PM;;($1.46);1.0;
14;MacdPerfect;Sell to Close;-1.0;$344.78;10/23/20, 2:40 PM;$0.27;($1.15);0.0;
15;MacdPerfect;Buy to Open;1.0;$342.25;10/26/20, 9:30 AM;;($1.03);1.0;
16;MacdPerfect;Sell to Close;-1.0;$342.47;10/26/20, 9:35 AM;$0.22;($0.93);0.0;
17;MacdPerfect;Buy to Open;1.0;$329.74;11/2/20, 9:35 AM;;($0.89);1.0;
18;MacdPerfect;Sell to Close;-1.0;$331.71;11/2/20, 10:25 AM;$1.97;$1.05;0.0;
19;MacdPerfect;Buy to Open;1.0;$330.92;11/2/20, 11:45 AM;;$0.95;1.0;
20;MacdPerfect;Sell to Close;-1.0;$330.45;11/2/20, 12:00 PM;($0.47);$0.57;0.0;
21;MacdPerfect;Buy to Open;1.0;$330.51;11/2/20, 12:30 PM;;$0.35;1.0;
22;MacdPerfect;Sell to Close;-1.0;$330.00;11/2/20, 12:35 PM;($0.51);$0.06;0.0;
23;MacdPerfect;Buy to Open;1.0;$328.32;11/2/20, 1:35 PM;;($0.12);1.0;
24;MacdPerfect;Sell to Close;-1.0;$327.77;11/2/20, 1:50 PM;($0.55);($0.49);0.0;
25;MacdPerfect;Buy to Open;1.0;$327.77;11/2/20, 2:05 PM;;($0.34);1.0;
26;MacdPerfect;Sell to Close;-1.0;$329.31;11/2/20, 3:35 PM;$1.54;$1.05;0.0;
27;MacdPerfect;Buy to Open;1.0;$328.91;11/2/20, 3:40 PM;;$0.76;1.0;
28;MacdPerfect;Sell to Close;-1.0;$328.93;11/2/20, 3:45 PM;$0.02;$1.06;0.0;
29;MacdPerfect;Buy to Open;1.0;$333.50;11/3/20, 9:35 AM;;$1.15;1.0;
30;MacdPerfect;Sell to Close;-1.0;$337.17;11/3/20, 10:30 AM;$3.67;$4.73;0.0;
31;MacdPerfect;Buy to Open;1.0;$336.21;11/3/20, 1:35 PM;;$4.56;1.0;
32;MacdPerfect;Sell to Close;-1.0;$335.90;11/3/20, 1:45 PM;($0.32);$4.42;0.0;
33;MacdPerfect;Buy to Open;1.0;$335.93;11/3/20, 2:15 PM;;$4.31;1.0;
34;MacdPerfect;Sell to Close;-1.0;$335.68;11/3/20, 2:25 PM;($0.25);$4.16;0.0;
35;MacdPerfect;Buy to Open;1.0;$336.41;11/3/20, 2:55 PM;;$4.11;1.0;
36;MacdPerfect;Sell to Close;-1.0;$336.08;11/3/20, 3:00 PM;($0.32);$3.84;0.0;
37;MacdPerfect;Buy to Open;1.0;$337.17;11/3/20, 3:35 PM;;$3.84;1.0;
38;MacdPerfect;Sell to Close;-1.0;$336.95;11/3/20, 3:55 PM;($0.21);$3.62;0.0;
39;MacdPerfect;Buy to Open;1.0;$340.68;11/4/20, 9:35 AM;;$2.85;1.0;
40;MacdPerfect;Sell to Close;-1.0;$345.10;11/4/20, 10:30 AM;$4.42;$8.05;0.0;
