Strategy report
Symbol: SPY
Work Time: 5/17/21, 9:50 AM - 6/28/21, 3:36 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;vwapbands(Buy);Buy to Open;10.0;$415.11;5/17/21, 9:50 AM;;($0.90);10.0;
2;vwapbands(SEll);Sell to Close;-10.0;$414.92;5/17/21, 10:00 AM;($1.90);($1.90);0.0;
3;vwapbands(Buy);Buy to Open;10.0;$414.43;5/17/21, 10:02 AM;;($2.90);10.0;
4;vwapbands(SEll);Sell to Close;-10.0;$415.38;5/17/21, 10:22 AM;$9.50;$7.60;0.0;
5;vwapbands(Buy);Buy to Open;10.0;$414.05;5/17/21, 10:34 AM;;$7.10;10.0;
6;vwapbands(SEll);Sell to Close;-10.0;$414.76;5/17/21, 10:37 AM;$7.10;$14.70;0.0;
7;vwapbands(Buy);Buy to Open;10.0;$413.61;5/17/21, 1:41 PM;;$13.45;10.0;
8;vwapbands(SEll);Sell to Close;-10.0;$414.61;5/17/21, 2:31 PM;$10.00;$24.70;0.0;
9;vwapbands(Buy);Buy to Open;10.0;$415.90;5/18/21, 9:31 AM;;$23.05;10.0;
10;vwapbands(SEll);Sell to Close;-10.0;$415.50;5/18/21, 9:33 AM;($3.95);$20.75;0.0;
11;vwapbands(Buy);Buy to Open;10.0;$415.17;5/18/21, 9:34 AM;;$19.55;10.0;
12;vwapbands(SEll);Sell to Close;-10.0;$414.71;5/18/21, 10:03 AM;($4.60);$16.15;0.0;
13;vwapbands(Buy);Buy to Open;10.0;$414.63;5/18/21, 10:04 AM;;$17.25;10.0;
14;vwapbands(SEll);Sell to Close;-10.0;$415.60;5/18/21, 10:27 AM;$9.70;$25.85;0.0;
15;vwapbands(Buy);Buy to Open;10.0;$414.72;5/18/21, 2:22 PM;;$24.57;10.0;
16;vwapbands(SEll);Sell to Close;-10.0;$414.34;5/18/21, 2:33 PM;($3.77);$22.08;0.0;
17;vwapbands(Buy);Buy to Open;10.0;$414.16;5/18/21, 2:34 PM;;$18.68;10.0;
18;vwapbands(SEll);Sell to Close;-10.0;$413.78;5/18/21, 2:41 PM;($3.80);$18.28;0.0;
19;vwapbands(Buy);Buy to Open;10.0;$413.46;5/18/21, 2:42 PM;;$16.78;10.0;
20;vwapbands(SEll);Sell to Close;-10.0;$414.44;5/18/21, 3:34 PM;$9.85;$28.13;0.0;
21;vwapbands(Buy);Buy to Open;10.0;$413.46;5/18/21, 3:49 PM;;$27.93;10.0;
22;vwapbands(SEll);Sell to Close;-10.0;$413.11;5/18/21, 3:51 PM;($3.55);$24.58;0.0;
23;vwapbands(Buy);Buy to Open;10.0;$413.16;5/18/21, 3:52 PM;;$24.13;10.0;
24;vwapbands(SEll);Sell to Close;-10.0;$413.15;5/18/21, 3:53 PM;($0.10);$24.48;0.0;
25;vwapbands(Buy);Buy to Open;10.0;$412.85;5/18/21, 3:54 PM;;$21.78;10.0;
26;vwapbands(SEll);Sell to Close;-10.0;$412.59;5/18/21, 3:55 PM;($2.60);$21.88;0.0;
27;vwapbands(Buy);Buy to Open;10.0;$412.57;5/18/21, 3:56 PM;;$22.38;10.0;
28;vwapbands(SEll);Sell to Close;-10.0;$412.62;5/18/21, 3:57 PM;$0.50;$22.38;0.0;
29;vwapbands(Buy);Buy to Open;10.0;$412.39;5/18/21, 3:58 PM;;$22.68;10.0;
30;vwapbands(SEll);Sell to Close;-10.0;$412.41;5/18/21, 3:59 PM;$0.20;$22.58;0.0;
31;vwapbands(Buy);Buy to Open;10.0;$406.92;5/19/21, 9:30 AM;;$18.58;10.0;
32;vwapbands(SEll);Sell to Close;-10.0;$406.84;5/19/21, 9:37 AM;($0.80);$21.78;0.0;
33;vwapbands(Buy);Buy to Open;10.0;$406.31;5/19/21, 9:40 AM;;$19.18;10.0;
34;vwapbands(SEll);Sell to Close;-10.0;$406.75;5/19/21, 9:56 AM;$4.40;$26.18;0.0;
35;vwapbands(Buy);Buy to Open;10.0;$406.25;5/19/21, 10:03 AM;;$23.33;10.0;
36;vwapbands(SEll);Sell to Close;-10.0;$405.75;5/19/21, 10:09 AM;($5.00);$21.18;0.0;
37;vwapbands(Buy);Buy to Open;10.0;$417.01;5/21/21, 10:21 AM;;$20.03;10.0;
38;vwapbands(SEll);Sell to Close;-10.0;$416.54;5/21/21, 10:45 AM;($4.70);$16.48;0.0;
39;vwapbands(Buy);Buy to Open;10.0;$416.41;5/21/21, 10:46 AM;;$17.48;10.0;
40;vwapbands(SEll);Sell to Close;-10.0;$416.03;5/21/21, 11:56 AM;($3.80);$12.68;0.0;
41;vwapbands(Buy);Buy to Open;10.0;$415.90;5/21/21, 11:57 AM;;$12.38;10.0;
42;vwapbands(SEll);Sell to Close;-10.0;$415.46;5/21/21, 12:09 PM;($4.40);$8.28;0.0;
43;vwapbands(Buy);Buy to Open;10.0;$415.16;5/21/21, 12:10 PM;;$9.58;10.0;
44;vwapbands(SEll);Sell to Close;-10.0;$414.72;5/21/21, 12:55 PM;($4.40);$3.88;0.0;
45;vwapbands(Buy);Buy to Open;10.0;$414.54;5/21/21, 12:56 PM;;$4.68;10.0;
46;vwapbands(SEll);Sell to Close;-10.0;$415.45;5/21/21, 1:30 PM;$9.10;$12.98;0.0;
47;vwapbands(Buy);Buy to Open;10.0;$417.20;5/24/21, 9:31 AM;;$15.38;10.0;
48;vwapbands(SEll);Sell to Close;-10.0;$418.07;5/24/21, 9:59 AM;$8.70;$21.68;0.0;
49;vwapbands(Buy);Buy to Open;10.0;$420.15;5/25/21, 9:45 AM;;$18.40;10.0;
50;vwapbands(SEll);Sell to Close;-10.0;$419.70;5/25/21, 9:49 AM;($4.50);$17.18;0.0;
51;vwapbands(Buy);Buy to Open;10.0;$419.63;5/25/21, 9:50 AM;;$15.38;10.0;
52;vwapbands(SEll);Sell to Close;-10.0;$419.16;5/25/21, 10:34 AM;($4.70);$12.48;0.0;
53;vwapbands(Buy);Buy to Open;10.0;$418.56;5/25/21, 11:27 AM;;$11.83;10.0;
54;vwapbands(SEll);Sell to Close;-10.0;$418.37;5/25/21, 11:33 AM;($1.90);$10.58;0.0;
55;vwapbands(Buy);Buy to Open;10.0;$417.96;5/25/21, 11:34 AM;;$12.35;10.0;
56;vwapbands(SEll);Sell to Close;-10.0;$418.85;5/25/21, 12:07 PM;$8.88;$19.46;0.0;
57;vwapbands(Buy);Buy to Open;10.0;$418.70;5/26/21, 9:37 AM;;$18.26;10.0;
58;vwapbands(SEll);Sell to Close;-10.0;$418.30;5/26/21, 9:46 AM;($4.00);$15.46;0.0;
59;vwapbands(Buy);Buy to Open;10.0;$418.19;5/26/21, 9:47 AM;;$15.86;10.0;
60;vwapbands(SEll);Sell to Close;-10.0;$419.12;5/26/21, 11:05 AM;$9.30;$24.76;0.0;
61;vwapbands(Buy);Buy to Open;10.0;$420.15;5/27/21, 9:47 AM;;$22.71;10.0;
62;vwapbands(SEll);Sell to Close;-10.0;$419.90;5/27/21, 1:37 PM;($2.50);$22.26;0.0;
63;vwapbands(Buy);Buy to Open;10.0;$419.44;5/27/21, 1:38 PM;;$24.46;10.0;
64;vwapbands(SEll);Sell to Close;-10.0;$419.56;5/27/21, 3:51 PM;$1.18;$23.44;0.0;
65;vwapbands(Buy);Buy to Open;10.0;$420.81;5/28/21, 9:31 AM;;$22.24;10.0;
66;vwapbands(SEll);Sell to Close;-10.0;$420.33;5/28/21, 10:20 AM;($4.80);$18.64;0.0;
67;vwapbands(Buy);Buy to Open;10.0;$420.31;5/28/21, 10:21 AM;;$18.64;10.0;
68;vwapbands(SEll);Sell to Close;-10.0;$420.66;5/28/21, 3:51 PM;$3.50;$22.14;0.0;
69;vwapbands(Buy);Buy to Open;10.0;$420.32;5/28/21, 3:55 PM;;$18.54;10.0;
70;vwapbands(SEll);Sell to Close;-10.0;$419.96;5/28/21, 3:56 PM;($3.60);$18.54;0.0;
71;vwapbands(Buy);Buy to Open;10.0;$420.16;5/28/21, 3:57 PM;;$18.44;10.0;
72;vwapbands(SEll);Sell to Close;-10.0;$420.15;5/28/21, 3:58 PM;($0.10);$18.44;0.0;
73;vwapbands(Buy);Buy to Open;10.0;$419.98;5/28/21, 3:59 PM;;$18.94;10.0;
74;vwapbands(SEll);Sell to Close;-10.0;$422.57;6/1/21, 9:30 AM;$25.90;$44.34;0.0;
75;vwapbands(Buy);Buy to Open;10.0;$422.68;6/1/21, 9:31 AM;;$42.69;10.0;
76;vwapbands(SEll);Sell to Close;-10.0;$422.25;6/1/21, 9:36 AM;($4.25);$40.09;0.0;
77;vwapbands(Buy);Buy to Open;10.0;$422.01;6/1/21, 9:37 AM;;$38.59;10.0;
78;vwapbands(SEll);Sell to Close;-10.0;$421.52;6/1/21, 9:48 AM;($4.95);$35.14;0.0;
79;vwapbands(Buy);Buy to Open;10.0;$420.74;6/1/21, 10:14 AM;;$32.49;10.0;
80;vwapbands(SEll);Sell to Close;-10.0;$420.48;6/1/21, 10:15 AM;($2.55);$32.59;0.0;
81;vwapbands(Buy);Buy to Open;10.0;$420.14;6/1/21, 10:16 AM;;$32.04;10.0;
82;vwapbands(SEll);Sell to Close;-10.0;$419.68;6/1/21, 10:55 AM;($4.55);$28.04;0.0;
83;vwapbands(Buy);Buy to Open;10.0;$420.13;6/2/21, 9:31 AM;;$26.34;10.0;
84;vwapbands(SEll);Sell to Close;-10.0;$419.68;6/2/21, 9:38 AM;($4.50);$23.54;0.0;
85;vwapbands(Buy);Buy to Open;10.0;$419.80;6/2/21, 1:24 PM;;$22.28;10.0;
86;vwapbands(SEll);Sell to Close;-10.0;$420.19;6/2/21, 3:51 PM;$3.90;$27.44;0.0;
87;vwapbands(Buy);Buy to Open;10.0;$417.87;6/3/21, 9:30 AM;;$29.14;10.0;
88;vwapbands(SEll);Sell to Close;-10.0;$417.61;6/3/21, 9:38 AM;($2.60);$24.84;0.0;
89;vwapbands(Buy);Buy to Open;10.0;$417.33;6/3/21, 9:39 AM;;$24.29;10.0;
90;vwapbands(SEll);Sell to Close;-10.0;$416.89;6/3/21, 9:44 AM;($4.40);$20.44;0.0;
91;vwapbands(Buy);Buy to Open;10.0;$422.60;6/7/21, 9:31 AM;;$19.54;10.0;
92;vwapbands(SEll);Sell to Close;-10.0;$422.30;6/7/21, 9:52 AM;($3.00);$17.44;0.0;
93;vwapbands(Buy);Buy to Open;10.0;$422.06;6/7/21, 9:53 AM;;$17.04;10.0;
94;vwapbands(SEll);Sell to Close;-10.0;$421.62;6/7/21, 10:19 AM;($4.40);$13.04;0.0;
95;vwapbands(Buy);Buy to Open;10.0;$421.49;6/7/21, 10:20 AM;;$13.82;10.0;
96;vwapbands(SEll);Sell to Close;-10.0;$422.11;6/7/21, 3:51 PM;$6.20;$19.24;0.0;
97;vwapbands(Buy);Buy to Open;10.0;$423.06;6/8/21, 9:31 AM;;$18.14;10.0;
98;vwapbands(SEll);Sell to Close;-10.0;$422.55;6/8/21, 9:49 AM;($5.12);$14.12;0.0;
99;vwapbands(Buy);Buy to Open;10.0;$422.48;6/8/21, 9:50 AM;;$12.92;10.0;
100;vwapbands(SEll);Sell to Close;-10.0;$422.22;6/8/21, 9:52 AM;($2.60);$11.52;0.0;
101;vwapbands(Buy);Buy to Open;10.0;$421.89;6/8/21, 9:53 AM;;$11.32;10.0;
102;vwapbands(SEll);Sell to Close;-10.0;$421.49;6/8/21, 11:18 AM;($4.05);$7.47;0.0;
103;vwapbands(Buy);Buy to Open;10.0;$421.30;6/8/21, 11:19 AM;;$4.87;10.0;
104;vwapbands(SEll);Sell to Close;-10.0;$420.84;6/8/21, 11:21 AM;($4.60);$2.87;0.0;
105;vwapbands(Buy);Buy to Open;10.0;$420.59;6/8/21, 11:22 AM;;$2.62;10.0;
106;vwapbands(SEll);Sell to Close;-10.0;$421.55;6/8/21, 11:43 AM;$9.60;$12.47;0.0;
107;vwapbands(Buy);Buy to Open;10.0;$423.17;6/9/21, 9:31 AM;;$10.57;10.0;
108;vwapbands(SEll);Sell to Close;-10.0;$422.71;6/9/21, 9:40 AM;($4.60);$7.87;0.0;
109;vwapbands(Buy);Buy to Open;10.0;$422.64;6/9/21, 9:41 AM;;$7.17;10.0;
110;vwapbands(SEll);Sell to Close;-10.0;$422.15;6/9/21, 3:25 PM;($4.95);$2.92;0.0;
111;vwapbands(Buy);Buy to Open;10.0;$422.11;6/9/21, 3:26 PM;;$1.47;10.0;
112;vwapbands(SEll);Sell to Close;-10.0;$421.67;6/9/21, 3:51 PM;($4.40);($1.48);0.0;
113;vwapbands(Buy);Buy to Open;10.0;$422.99;6/10/21, 10:45 AM;;($5.42);10.0;
114;vwapbands(SEll);Sell to Close;-10.0;$422.54;6/10/21, 10:49 AM;($4.49);($5.97);0.0;
115;vwapbands(Buy);Buy to Open;10.0;$422.33;6/10/21, 10:50 AM;;($6.07);10.0;
116;vwapbands(SEll);Sell to Close;-10.0;$422.25;6/10/21, 10:54 AM;($0.80);($6.77);0.0;
117;vwapbands(Buy);Buy to Open;10.0;$421.73;6/10/21, 10:55 AM;;($5.97);10.0;
118;vwapbands(SEll);Sell to Close;-10.0;$422.67;6/10/21, 11:13 AM;$9.35;$2.58;0.0;
119;vwapbands(Buy);Buy to Open;10.0;$423.97;6/11/21, 9:31 AM;;$3.58;10.0;
120;vwapbands(SEll);Sell to Close;-10.0;$423.52;6/11/21, 10:25 AM;($4.46);($1.88);0.0;
121;vwapbands(Buy);Buy to Open;10.0;$423.46;6/11/21, 10:26 AM;;($1.03);10.0;
122;vwapbands(SEll);Sell to Close;-10.0;$423.02;6/11/21, 12:35 PM;($4.40);($6.28);0.0;
123;vwapbands(Buy);Buy to Open;10.0;$424.19;6/14/21, 9:31 AM;;($8.28);10.0;
124;vwapbands(SEll);Sell to Close;-10.0;$423.74;6/14/21, 10:01 AM;($4.48);($10.77);0.0;
125;vwapbands(Buy);Buy to Open;10.0;$423.66;6/14/21, 10:02 AM;;($12.07);10.0;
126;vwapbands(SEll);Sell to Close;-10.0;$423.19;6/14/21, 12:53 PM;($4.75);($15.52);0.0;
127;vwapbands(Buy);Buy to Open;10.0;$425.18;6/15/21, 9:31 AM;;($17.92);10.0;
128;vwapbands(SEll);Sell to Close;-10.0;$424.69;6/15/21, 9:56 AM;($4.90);($20.42);0.0;
129;vwapbands(Buy);Buy to Open;10.0;$423.68;6/15/21, 11:39 AM;;($20.68);10.0;
130;vwapbands(SEll);Sell to Close;-10.0;$424.65;6/15/21, 1:57 PM;$9.73;($10.68);0.0;
131;vwapbands(Buy);Buy to Open;10.0;$424.59;6/16/21, 9:32 AM;;($12.98);10.0;
132;vwapbands(SEll);Sell to Close;-10.0;$424.14;6/16/21, 10:41 AM;($4.55);($15.23);0.0;
133;vwapbands(Buy);Buy to Open;10.0;$423.97;6/16/21, 12:07 PM;;($14.33);10.0;
134;vwapbands(SEll);Sell to Close;-10.0;$423.63;6/16/21, 12:24 PM;($3.39);($18.62);0.0;
135;vwapbands(Buy);Buy to Open;10.0;$423.45;6/16/21, 12:25 PM;;($19.43);10.0;
136;vwapbands(SEll);Sell to Close;-10.0;$422.96;6/16/21, 1:49 PM;($4.90);($23.52);0.0;
137;vwapbands(Buy);Buy to Open;10.0;$422.88;6/16/21, 1:50 PM;;($26.17);10.0;
138;vwapbands(SEll);Sell to Close;-10.0;$423.13;6/16/21, 2:00 PM;$2.50;($21.02);0.0;
139;vwapbands(Buy);Buy to Open;10.0;$420.73;6/16/21, 2:01 PM;;($18.12);10.0;
140;vwapbands(SEll);Sell to Close;-10.0;$421.19;6/16/21, 2:06 PM;$4.60;($16.42);0.0;
141;vwapbands(Buy);Buy to Open;10.0;$421.38;6/17/21, 10:08 AM;;($16.92);10.0;
142;vwapbands(SEll);Sell to Close;-10.0;$422.31;6/17/21, 10:34 AM;$9.30;($7.12);0.0;
143;vwapbands(Buy);Buy to Open;10.0;$421.17;6/17/21, 12:07 PM;;($8.62);10.0;
144;vwapbands(SEll);Sell to Close;-10.0;$420.72;6/17/21, 12:17 PM;($4.50);($11.62);0.0;
145;vwapbands(Buy);Buy to Open;10.0;$420.56;6/17/21, 12:18 PM;;($13.77);10.0;
146;vwapbands(SEll);Sell to Close;-10.0;$420.23;6/17/21, 12:20 PM;($3.30);($14.92);0.0;
147;vwapbands(Buy);Buy to Open;10.0;$419.87;6/17/21, 12:21 PM;;($13.42);10.0;
148;vwapbands(SEll);Sell to Close;-10.0;$420.85;6/17/21, 12:55 PM;$9.80;($5.12);0.0;
149;vwapbands(Buy);Buy to Open;10.0;$417.08;6/18/21, 9:30 AM;;($8.32);10.0;
150;vwapbands(SEll);Sell to Close;-10.0;$416.88;6/18/21, 9:51 AM;($2.00);($7.12);0.0;
151;vwapbands(Buy);Buy to Open;10.0;$416.49;6/18/21, 9:52 AM;;($7.35);10.0;
152;vwapbands(SEll);Sell to Close;-10.0;$416.26;6/18/21, 10:53 AM;($2.30);($9.42);0.0;
153;vwapbands(Buy);Buy to Open;10.0;$415.98;6/18/21, 10:54 AM;;($9.64);10.0;
154;vwapbands(SEll);Sell to Close;-10.0;$416.92;6/18/21, 12:07 PM;$9.39;($0.04);0.0;
155;vwapbands(Buy);Buy to Open;10.0;$415.80;6/18/21, 2:58 PM;;($0.14);10.0;
156;vwapbands(SEll);Sell to Close;-10.0;$416.73;6/18/21, 3:23 PM;$9.30;$9.26;0.0;
157;vwapbands(Buy);Buy to Open;10.0;$415.72;6/18/21, 3:59 PM;;$2.16;10.0;
