Strategy report
Symbol: T
Work Time: 10/20/20, 12:20 PM - 7/6/21, 3:50 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$26.85;10/20/20, 12:20 PM;;$0.00;1.0;
2;MacdPerfect;Sell to Close;-1.0;$26.88;10/20/20, 12:30 PM;$0.03;$0.03;0.0;
3;MacdPerfect;Buy to Open;1.0;$26.93;10/20/20, 12:35 PM;;$0.03;1.0;
4;MacdPerfect;Sell to Close;-1.0;$26.94;10/20/20, 1:10 PM;$0.01;$0.04;0.0;
5;MacdPerfect;Buy to Open;1.0;$26.83;10/20/20, 3:25 PM;;$0.06;1.0;
6;MacdPerfect;Sell to Close;-1.0;$26.79;10/20/20, 3:55 PM;($0.04);$0.00;0.0;
7;MacdPerfect;Buy to Open;1.0;$28.06;10/22/20, 9:35 AM;;$0.00;1.0;
8;MacdPerfect;Sell to Close;-1.0;$28.08;10/22/20, 10:05 AM;$0.02;$0.02;0.0;
9;MacdPerfect;Buy to Open;1.0;$28.17;10/22/20, 10:10 AM;;$0.06;1.0;
10;MacdPerfect;Sell to Close;-1.0;$28.18;10/22/20, 10:20 AM;$0.02;$0.04;0.0;
11;MacdPerfect;Buy to Open;1.0;$28.18;10/22/20, 10:25 AM;;$0.05;1.0;
12;MacdPerfect;Sell to Close;-1.0;$28.33;10/22/20, 10:40 AM;$0.14;$0.18;0.0;
13;MacdPerfect;Buy to Open;1.0;$28.10;10/22/20, 12:50 PM;;$0.18;1.0;
14;MacdPerfect;Sell to Close;-1.0;$28.04;10/22/20, 1:00 PM;($0.06);$0.12;0.0;
15;MacdPerfect;Buy to Open;1.0;$28.12;10/22/20, 1:10 PM;;$0.15;1.0;
16;MacdPerfect;Sell to Close;-1.0;$28.30;10/22/20, 2:15 PM;$0.18;$0.30;0.0;
17;MacdPerfect;Buy to Open;1.0;$27.90;10/23/20, 1:20 PM;;$0.32;1.0;
