Strategy report
Symbol: TSLA
Work Time: 10/27/20, 9:35 AM - 7/9/21, 10:20 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$420.51;10/27/20, 9:35 AM;;$6.43;1.0;
2;MacdPerfect;Sell to Close;-1.0;$426.50;10/27/20, 10:00 AM;$5.99;$5.99;0.0;
3;MacdPerfect;Buy to Open;1.0;$407.46;11/3/20, 9:35 AM;;$9.35;1.0;
4;MacdPerfect;Sell to Close;-1.0;$422.69;11/3/20, 10:30 AM;$15.24;$21.22;0.0;
5;MacdPerfect;Buy to Open;1.0;$433.99;11/4/20, 9:35 AM;;$14.94;1.0;
6;MacdPerfect;Sell to Close;-1.0;$427.93;11/4/20, 9:40 AM;($6.06);$15.16;0.0;
7;MacdPerfect;Buy to Open;1.0;$428.77;11/4/20, 9:45 AM;;$10.85;1.0;
8;MacdPerfect;Sell to Close;-1.0;$424.14;11/4/20, 9:50 AM;($4.63);$10.53;0.0;
9;MacdPerfect;Buy to Open;1.0;$429.00;11/5/20, 9:35 AM;;$13.73;1.0;
10;MacdPerfect;Sell to Close;-1.0;$434.94;11/5/20, 10:15 AM;$5.94;$16.47;0.0;
11;MacdPerfect;Buy to Open;1.0;$432.37;11/9/20, 9:35 AM;;$19.83;1.0;
12;MacdPerfect;Sell to Close;-1.0;$448.46;11/9/20, 10:15 AM;$16.09;$32.56;0.0;
13;MacdPerfect;Buy to Open;1.0;$451.22;11/17/20, 9:35 AM;;$37.13;1.0;
14;MacdPerfect;Sell to Close;-1.0;$447.97;11/17/20, 10:00 AM;($3.25);$29.30;0.0;
15;MacdPerfect;Buy to Open;1.0;$449.59;11/18/20, 9:40 AM;;$29.70;1.0;
16;MacdPerfect;Sell to Close;-1.0;$454.79;11/18/20, 10:30 AM;$5.20;$34.50;0.0;
17;MacdPerfect;Buy to Open;1.0;$492.40;11/19/20, 9:35 AM;;$34.12;1.0;
18;MacdPerfect;Sell to Close;-1.0;$500.20;11/19/20, 10:25 AM;$7.80;$42.30;0.0;
19;MacdPerfect;Buy to Open;1.0;$513.50;11/23/20, 9:35 AM;;$42.37;1.0;
20;MacdPerfect;Sell to Close;-1.0;$517.25;11/23/20, 10:10 AM;$3.75;$46.05;0.0;
21;MacdPerfect;Buy to Open;1.0;$538.00;11/24/20, 9:35 AM;;$43.92;1.0;
22;MacdPerfect;Sell to Close;-1.0;$532.91;11/24/20, 9:45 AM;($5.09);$40.96;0.0;
23;MacdPerfect;Buy to Open;1.0;$530.34;11/24/20, 9:50 AM;;$45.78;1.0;
24;MacdPerfect;Sell to Close;-1.0;$537.48;11/24/20, 10:15 AM;$7.14;$48.10;0.0;
25;MacdPerfect;Buy to Open;1.0;$588.00;11/27/20, 9:35 AM;;$47.21;1.0;
26;MacdPerfect;Sell to Close;-1.0;$593.69;11/27/20, 10:10 AM;$5.69;$53.79;0.0;
27;MacdPerfect;Buy to Open;1.0;$600.88;11/30/20, 9:35 AM;;$48.48;1.0;
28;MacdPerfect;Sell to Close;-1.0;$595.67;11/30/20, 9:40 AM;($5.21);$48.58;0.0;
