Strategy report
Symbol: TSLA
Work Time: 10/29/20, 9:35 AM - 7/9/21, 10:45 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$409.59;10/29/20, 9:35 AM;;($1.37);1.0;
2;MacdPerfect;Sell to Close;-1.0;$413.83;10/29/20, 12:20 PM;$4.24;$4.24;0.0;
3;MacdPerfect;Buy to Open;1.0;$393.22;11/2/20, 9:35 AM;;$9.60;1.0;
4;MacdPerfect;Sell to Close;-1.0;$399.76;11/2/20, 11:00 AM;$6.54;$10.78;0.0;
5;MacdPerfect;Buy to Open;1.0;$407.46;11/3/20, 9:35 AM;;$14.15;1.0;
6;MacdPerfect;Sell to Close;-1.0;$422.85;11/3/20, 11:45 AM;$15.39;$26.17;0.0;
7;MacdPerfect;Buy to Open;1.0;$433.99;11/4/20, 9:35 AM;;$19.89;1.0;
8;MacdPerfect;Sell to Close;-1.0;$421.38;11/4/20, 10:00 AM;($12.61);$13.56;0.0;
9;MacdPerfect;Buy to Open;1.0;$429.00;11/5/20, 9:35 AM;;$16.76;1.0;
10;MacdPerfect;Sell to Close;-1.0;$434.10;11/5/20, 11:05 AM;$5.10;$18.66;0.0;
11;MacdPerfect;Buy to Open;1.0;$432.37;11/9/20, 9:35 AM;;$22.02;1.0;
12;MacdPerfect;Sell to Close;-1.0;$440.39;11/9/20, 11:00 AM;$8.02;$26.68;0.0;
13;MacdPerfect;Buy to Open;1.0;$413.05;11/11/20, 9:35 AM;;$27.28;1.0;
14;MacdPerfect;Sell to Close;-1.0;$414.67;11/11/20, 11:00 AM;$1.62;$28.30;0.0;
15;MacdPerfect;Buy to Open;1.0;$406.70;11/16/20, 9:35 AM;;$27.97;1.0;
16;MacdPerfect;Sell to Close;-1.0;$406.07;11/16/20, 10:05 AM;($0.63);$27.67;0.0;
17;MacdPerfect;Buy to Open;1.0;$451.22;11/17/20, 9:35 AM;;$32.25;1.0;
18;MacdPerfect;Sell to Close;-1.0;$444.22;11/17/20, 11:00 AM;($7.00);$20.67;0.0;
19;MacdPerfect;Buy to Open;1.0;$449.59;11/18/20, 9:40 AM;;$21.07;1.0;
20;MacdPerfect;Sell to Close;-1.0;$487.36;11/18/20, 3:50 PM;$37.77;$58.44;0.0;
21;MacdPerfect;Buy to Open;1.0;$492.40;11/19/20, 9:35 AM;;$58.06;1.0;
22;MacdPerfect;Sell to Close;-1.0;$502.00;11/19/20, 11:45 AM;$9.60;$68.04;0.0;
23;MacdPerfect;Buy to Open;1.0;$513.50;11/23/20, 9:35 AM;;$68.11;1.0;
24;MacdPerfect;Sell to Close;-1.0;$517.84;11/23/20, 11:10 AM;$4.34;$72.37;0.0;
25;MacdPerfect;Buy to Open;1.0;$538.00;11/24/20, 9:35 AM;;$70.24;1.0;
26;MacdPerfect;Sell to Close;-1.0;$542.43;11/24/20, 11:50 AM;$4.43;$76.80;0.0;
27;MacdPerfect;Buy to Open;1.0;$588.00;11/27/20, 9:35 AM;;$75.91;1.0;
28;MacdPerfect;Sell to Close;-1.0;$594.54;11/27/20, 11:20 AM;$6.53;$83.34;0.0;
29;MacdPerfect;Buy to Open;1.0;$600.88;11/30/20, 9:35 AM;;$78.03;1.0;
30;MacdPerfect;Sell to Close;-1.0;$587.48;11/30/20, 10:20 AM;($13.40);$69.94;0.0;
31;MacdPerfect;Buy to Open;1.0;$588.53;12/1/20, 9:35 AM;;$67.98;1.0;
32;MacdPerfect;Sell to Close;-1.0;$577.14;12/1/20, 10:35 AM;($11.39);$58.54;0.0;
33;MacdPerfect;Buy to Open;1.0;$586.02;12/3/20, 9:35 AM;;$66.26;1.0;
34;MacdPerfect;Sell to Close;-1.0;$587.67;12/3/20, 11:05 AM;$1.65;$60.19;0.0;
35;MacdPerfect;Buy to Open;1.0;$591.72;12/4/20, 9:40 AM;;$58.62;1.0;
36;MacdPerfect;Sell to Close;-1.0;$592.19;12/4/20, 10:50 AM;$0.47;$60.66;0.0;
37;MacdPerfect;Buy to Open;1.0;$615.68;12/7/20, 9:35 AM;;$60.78;1.0;
38;MacdPerfect;Sell to Close;-1.0;$627.27;12/7/20, 12:00 PM;$11.59;$72.26;0.0;
39;MacdPerfect;Buy to Open;1.0;$623.45;12/14/20, 9:35 AM;;$73.50;1.0;
40;MacdPerfect;Sell to Close;-1.0;$639.60;12/14/20, 1:40 PM;$16.14;$88.40;0.0;
41;MacdPerfect;Buy to Open;1.0;$639.13;12/15/20, 9:40 AM;;$91.82;1.0;
42;MacdPerfect;Sell to Close;-1.0;$639.19;12/15/20, 11:00 AM;$0.06;$88.46;0.0;
43;MacdPerfect;Buy to Open;1.0;$626.05;12/17/20, 9:35 AM;;$86.17;1.0;
44;MacdPerfect;Sell to Close;-1.0;$623.77;12/17/20, 9:40 AM;($2.28);$86.17;0.0;
45;MacdPerfect;Buy to Open;1.0;$679.15;12/18/20, 9:35 AM;;$90.02;1.0;
46;MacdPerfect;Sell to Close;-1.0;$667.86;12/18/20, 10:55 AM;($11.29);$74.88;0.0;
47;MacdPerfect;Buy to Open;1.0;$646.42;12/24/20, 9:40 AM;;$73.39;1.0;
