Strategy report
Symbol: TSLA
Work Time: 1/17/20, 9:35 AM - 10/1/20, 10:00 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$102.40;1/17/20, 9:35 AM;;$0.31;1.0;
2;MacdPerfect;Sell to Close;-1.0;$102.77;1/17/20, 9:40 AM;$0.37;$0.37;0.0;
3;MacdPerfect;Buy to Open;1.0;$107.48;1/21/20, 9:35 AM;;$0.13;1.0;
4;MacdPerfect;Sell to Close;-1.0;$108.53;1/21/20, 10:05 AM;$1.05;$1.42;0.0;
5;MacdPerfect;Buy to Open;1.0;$113.80;1/22/20, 9:35 AM;;$0.60;1.0;
6;MacdPerfect;Sell to Close;-1.0;$114.87;1/22/20, 10:05 AM;$1.07;$2.49;0.0;
7;MacdPerfect;Buy to Open;1.0;$114.88;1/28/20, 9:35 AM;;$1.86;1.0;
8;MacdPerfect;Sell to Close;-1.0;$113.85;1/28/20, 10:00 AM;($1.03);$1.46;0.0;
9;MacdPerfect;Buy to Open;1.0;$114.69;1/29/20, 9:35 AM;;$0.83;1.0;
10;MacdPerfect;Sell to Close;-1.0;$114.29;1/29/20, 10:00 AM;($0.41);$1.05;0.0;
11;MacdPerfect;Buy to Open;1.0;$126.32;1/30/20, 9:35 AM;;$2.43;1.0;
12;MacdPerfect;Sell to Close;-1.0;$129.02;1/30/20, 10:05 AM;$2.70;$3.75;0.0;
13;MacdPerfect;Buy to Open;1.0;$128.90;1/31/20, 9:40 AM;;$3.78;1.0;
14;MacdPerfect;Sell to Close;-1.0;$127.03;1/31/20, 10:55 AM;($1.87);$1.88;0.0;
15;MacdPerfect;Buy to Open;1.0;$136.92;2/3/20, 9:35 AM;;$4.34;1.0;
16;MacdPerfect;Sell to Close;-1.0;$143.21;2/3/20, 10:10 AM;$6.29;$8.17;0.0;
17;MacdPerfect;Buy to Open;1.0;$169.23;2/4/20, 9:35 AM;;$12.67;1.0;
18;MacdPerfect;Sell to Close;-1.0;$181.37;2/4/20, 10:05 AM;$12.13;$20.31;0.0;
19;MacdPerfect;Buy to Open;1.0;$161.00;2/10/20, 9:35 AM;;$22.35;1.0;
20;MacdPerfect;Sell to Close;-1.0;$159.00;2/10/20, 10:00 AM;($2.00);$18.31;0.0;
21;MacdPerfect;Buy to Open;1.0;$156.72;2/12/20, 9:35 AM;;$19.14;1.0;
22;MacdPerfect;Sell to Close;-1.0;$156.03;2/12/20, 9:55 AM;($0.69);$17.62;0.0;
23;MacdPerfect;Buy to Open;1.0;$169.70;2/18/20, 9:35 AM;;$15.34;1.0;
24;MacdPerfect;Sell to Close;-1.0;$170.59;2/18/20, 10:05 AM;$0.89;$18.51;0.0;
25;MacdPerfect;Buy to Open;1.0;$183.25;2/19/20, 9:35 AM;;$18.19;1.0;
26;MacdPerfect;Sell to Close;-1.0;$182.80;2/19/20, 10:05 AM;($0.46);$18.05;0.0;
27;MacdPerfect;Sell to Close;-1.0;$180.60;2/21/20, 9:35 AM;$0.00;$18.35;-1.0;
28;MacdPerfect;Buy to Open;1.0;$180.60;2/21/20, 9:35 AM;;$18.05;0.0;
29;MacdPerfect;Buy to Open;1.0;$180.24;2/21/20, 9:40 AM;;$16.84;1.0;
30;MacdPerfect;Sell to Close;-1.0;$180.15;2/21/20, 11:40 AM;($0.09);$17.96;0.0;
31;MacdPerfect;Buy to Open;1.0;$169.51;2/25/20, 9:35 AM;;$18.01;1.0;
32;MacdPerfect;Sell to Close;-1.0;$168.59;2/25/20, 9:55 AM;($0.93);$17.03;0.0;
33;MacdPerfect;Buy to Open;1.0;$141.03;3/2/20, 9:35 AM;;$16.13;1.0;
34;MacdPerfect;Sell to Close;-1.0;$140.94;3/2/20, 10:00 AM;($0.09);$16.94;0.0;
35;MacdPerfect;Buy to Open;1.0;$156.41;3/3/20, 9:35 AM;;$17.44;1.0;
36;MacdPerfect;Sell to Close;-1.0;$154.57;3/3/20, 10:00 AM;($1.83);$15.10;0.0;
37;MacdPerfect;Buy to Open;1.0;$130.27;3/10/20, 9:35 AM;;$13.45;1.0;
38;MacdPerfect;Sell to Close;-1.0;$130.42;3/10/20, 10:05 AM;$0.15;$15.25;0.0;
39;MacdPerfect;Buy to Open;1.0;$117.61;3/13/20, 9:35 AM;;$12.18;1.0;
40;MacdPerfect;Sell to Close;-1.0;$113.64;3/13/20, 9:50 AM;($3.97);$11.28;0.0;
41;MacdPerfect;Buy to Open;1.0;$74.50;3/19/20, 9:35 AM;;$9.78;1.0;
42;MacdPerfect;Sell to Close;-1.0;$83.19;3/19/20, 10:25 AM;$8.69;$19.97;0.0;
43;MacdPerfect;Buy to Open;1.0;$87.95;3/20/20, 9:35 AM;;$21.07;1.0;
44;MacdPerfect;Sell to Close;-1.0;$94.64;3/20/20, 11:00 AM;$6.70;$26.66;0.0;
45;MacdPerfect;Buy to Open;1.0;$96.12;3/24/20, 9:35 AM;;$26.74;1.0;
46;MacdPerfect;Sell to Close;-1.0;$96.68;3/24/20, 10:05 AM;$0.55;$27.22;0.0;
47;MacdPerfect;Buy to Open;1.0;$109.18;3/25/20, 9:35 AM;;$27.43;1.0;
48;MacdPerfect;Sell to Close;-1.0;$102.79;3/25/20, 9:55 AM;($6.38);$20.83;0.0;
49;MacdPerfect;Buy to Open;1.0;$110.97;3/26/20, 9:40 AM;;$19.37;1.0;
50;MacdPerfect;Sell to Close;-1.0;$110.53;3/26/20, 10:10 AM;($0.44);$20.39;0.0;
51;MacdPerfect;Buy to Open;1.0;$101.66;3/31/20, 9:40 AM;;$20.95;1.0;
52;MacdPerfect;Sell to Close;-1.0;$106.68;3/31/20, 10:30 AM;$5.02;$25.41;0.0;
53;MacdPerfect;Buy to Open;1.0;$101.37;4/3/20, 9:35 AM;;$24.71;1.0;
