Strategy report
Symbol: TSLA
Work Time: 10/29/20, 9:35 AM - 7/9/21, 10:30 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$409.59;10/29/20, 9:35 AM;;($1.37);1.0;
2;MacdPerfect;Sell to Close;-1.0;$410.45;10/29/20, 10:30 AM;$0.86;$0.86;0.0;
3;MacdPerfect;Buy to Open;1.0;$393.22;11/2/20, 9:35 AM;;$6.22;1.0;
4;MacdPerfect;Sell to Close;-1.0;$402.67;11/2/20, 10:05 AM;$9.45;$10.31;0.0;
5;MacdPerfect;Buy to Open;1.0;$407.46;11/3/20, 9:35 AM;;$13.68;1.0;
6;MacdPerfect;Sell to Close;-1.0;$416.30;11/3/20, 10:05 AM;$8.85;$19.16;0.0;
7;MacdPerfect;Buy to Open;1.0;$433.99;11/4/20, 9:35 AM;;$12.88;1.0;
8;MacdPerfect;Sell to Close;-1.0;$424.14;11/4/20, 9:50 AM;($9.85);$9.30;0.0;
9;MacdPerfect;Buy to Open;1.0;$429.00;11/5/20, 9:35 AM;;$12.50;1.0;
10;MacdPerfect;Sell to Close;-1.0;$437.44;11/5/20, 10:10 AM;$8.44;$17.74;0.0;
11;MacdPerfect;Buy to Open;1.0;$432.37;11/9/20, 9:35 AM;;$21.10;1.0;
12;MacdPerfect;Sell to Close;-1.0;$448.46;11/9/20, 10:15 AM;$16.09;$33.83;0.0;
13;MacdPerfect;Buy to Open;1.0;$413.05;11/11/20, 9:35 AM;;$34.44;1.0;
14;MacdPerfect;Sell to Close;-1.0;$415.90;11/11/20, 10:05 AM;$2.85;$36.68;0.0;
15;MacdPerfect;Buy to Open;1.0;$415.50;11/12/20, 9:55 AM;;$37.87;1.0;
16;MacdPerfect;Sell to Close;-1.0;$420.58;11/12/20, 10:35 AM;$5.07;$41.76;0.0;
17;MacdPerfect;Buy to Open;1.0;$406.70;11/16/20, 9:35 AM;;$41.43;1.0;
18;MacdPerfect;Sell to Close;-1.0;$408.80;11/16/20, 10:50 AM;$2.10;$43.86;0.0;
19;MacdPerfect;Buy to Open;1.0;$451.22;11/17/20, 9:35 AM;;$48.44;1.0;
20;MacdPerfect;Sell to Close;-1.0;$447.97;11/17/20, 10:00 AM;($3.25);$40.61;0.0;
21;MacdPerfect;Buy to Open;1.0;$449.59;11/18/20, 9:40 AM;;$41.01;1.0;
22;MacdPerfect;Sell to Close;-1.0;$453.91;11/18/20, 10:10 AM;$4.32;$44.93;0.0;
23;MacdPerfect;Buy to Open;1.0;$492.40;11/19/20, 9:35 AM;;$44.55;1.0;
24;MacdPerfect;Sell to Close;-1.0;$504.31;11/19/20, 10:20 AM;$11.91;$56.84;0.0;
25;MacdPerfect;Buy to Open;1.0;$500.19;11/20/20, 9:45 AM;;$56.88;1.0;
26;MacdPerfect;Sell to Close;-1.0;$500.18;11/20/20, 10:20 AM;($0.01);$56.83;0.0;
27;MacdPerfect;Buy to Open;1.0;$513.50;11/23/20, 9:35 AM;;$56.90;1.0;
28;MacdPerfect;Sell to Close;-1.0;$521.39;11/23/20, 10:05 AM;$7.89;$64.72;0.0;
29;MacdPerfect;Buy to Open;1.0;$538.00;11/24/20, 9:35 AM;;$62.59;1.0;
30;MacdPerfect;Sell to Close;-1.0;$540.75;11/24/20, 10:10 AM;$2.75;$67.47;0.0;
31;MacdPerfect;Buy to Open;1.0;$588.00;11/27/20, 9:35 AM;;$66.58;1.0;
32;MacdPerfect;Sell to Close;-1.0;$594.84;11/27/20, 10:05 AM;$6.84;$74.31;0.0;
33;MacdPerfect;Buy to Open;1.0;$600.88;11/30/20, 9:35 AM;;$69.00;1.0;
34;MacdPerfect;Sell to Close;-1.0;$591.05;11/30/20, 9:55 AM;($9.83);$64.48;0.0;
35;MacdPerfect;Buy to Open;1.0;$590.35;11/30/20, 10:00 AM;;$61.54;1.0;
36;MacdPerfect;Sell to Close;-1.0;$578.87;11/30/20, 11:30 AM;($11.49);$52.99;0.0;
37;MacdPerfect;Buy to Open;1.0;$588.53;12/1/20, 9:35 AM;;$51.03;1.0;
38;MacdPerfect;Sell to Close;-1.0;$585.56;12/1/20, 10:10 AM;($2.97);$50.02;0.0;
39;MacdPerfect;Buy to Open;1.0;$558.72;12/2/20, 10:00 AM;;$52.67;1.0;
40;MacdPerfect;Sell to Close;-1.0;$565.25;12/2/20, 10:40 AM;$6.53;$56.55;0.0;
41;MacdPerfect;Buy to Open;1.0;$586.02;12/3/20, 9:35 AM;;$64.27;1.0;
42;MacdPerfect;Sell to Close;-1.0;$589.16;12/3/20, 10:00 AM;$3.14;$59.69;0.0;
43;MacdPerfect;Buy to Open;1.0;$591.72;12/4/20, 9:40 AM;;$58.12;1.0;
44;MacdPerfect;Sell to Close;-1.0;$593.78;12/4/20, 10:25 AM;$2.05;$61.75;0.0;
45;MacdPerfect;Buy to Open;1.0;$615.68;12/7/20, 9:35 AM;;$61.87;1.0;
46;MacdPerfect;Sell to Close;-1.0;$621.64;12/7/20, 10:05 AM;$5.96;$67.71;0.0;
47;MacdPerfect;Buy to Open;1.0;$634.97;12/8/20, 10:00 AM;;$62.61;1.0;
48;MacdPerfect;Sell to Close;-1.0;$624.95;12/8/20, 11:30 AM;($10.02);$57.69;0.0;
49;MacdPerfect;Buy to Open;1.0;$644.61;12/9/20, 9:45 AM;;$52.18;1.0;
50;MacdPerfect;Sell to Close;-1.0;$638.79;12/9/20, 11:00 AM;($5.82);$51.87;0.0;
51;MacdPerfect;Buy to Open;1.0;$623.45;12/14/20, 9:35 AM;;$53.11;1.0;
52;MacdPerfect;Sell to Close;-1.0;$618.91;12/14/20, 10:00 AM;($4.54);$47.32;0.0;
53;MacdPerfect;Buy to Open;1.0;$639.13;12/15/20, 9:40 AM;;$50.74;1.0;
54;MacdPerfect;Sell to Close;-1.0;$644.44;12/15/20, 10:35 AM;$5.31;$52.63;0.0;
55;MacdPerfect;Buy to Open;1.0;$626.59;12/16/20, 9:55 AM;;$49.17;1.0;
56;MacdPerfect;Sell to Close;-1.0;$617.17;12/16/20, 10:15 AM;($9.42);$43.21;0.0;
57;MacdPerfect;Buy to Open;1.0;$626.05;12/17/20, 9:35 AM;;$40.93;1.0;
58;MacdPerfect;Sell to Close;-1.0;$623.77;12/17/20, 9:40 AM;($2.28);$40.92;0.0;
59;MacdPerfect;Buy to Open;1.0;$626.08;12/17/20, 9:50 AM;;$43.61;1.0;
60;MacdPerfect;Sell to Close;-1.0;$634.93;12/17/20, 10:25 AM;$8.85;$49.77;0.0;
61;MacdPerfect;Buy to Open;1.0;$679.15;12/18/20, 9:35 AM;;$53.62;1.0;
62;MacdPerfect;Sell to Close;-1.0;$672.02;12/18/20, 9:55 AM;($7.13);$42.64;0.0;
63;MacdPerfect;Buy to Open;1.0;$664.04;12/18/20, 10:00 AM;;$38.22;1.0;
64;MacdPerfect;Sell to Close;-1.0;$670.88;12/18/20, 10:45 AM;$6.84;$49.48;0.0;
65;MacdPerfect;Buy to Open;1.0;$633.92;12/23/20, 10:00 AM;;$50.62;1.0;
66;MacdPerfect;Sell to Close;-1.0;$650.41;12/23/20, 10:40 AM;$16.50;$65.97;0.0;
67;MacdPerfect;Buy to Open;1.0;$646.42;12/24/20, 9:40 AM;;$64.48;1.0;
68;MacdPerfect;Sell to Close;-1.0;$664.68;12/24/20, 10:40 AM;$18.26;$84.23;0.0;
69;MacdPerfect;Buy to Open;1.0;$676.95;12/28/20, 9:35 AM;;$82.68;1.0;
70;MacdPerfect;Sell to Close;-1.0;$676.57;12/28/20, 10:05 AM;($0.38);$83.85;0.0;
71;MacdPerfect;Buy to Open;1.0;$666.01;12/29/20, 9:45 AM;;$85.18;1.0;
72;MacdPerfect;Sell to Close;-1.0;$661.35;12/29/20, 10:05 AM;($4.66);$79.20;0.0;
73;MacdPerfect;Buy to Open;1.0;$672.72;12/30/20, 9:35 AM;;$76.19;1.0;
