Strategy report
Symbol: TSLA
Work Time: 10/8/20, 1:00 PM - 6/24/21, 10:35 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$434.20;10/8/20, 1:00 PM;;($0.69);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$434.20;10/8/20, 1:05 PM;$0.00;$0.00;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$428.00;10/9/20, 9:35 AM;;($0.82);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$430.24;10/9/20, 10:15 AM;$2.24;$2.24;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$431.28;10/9/20, 10:40 AM;;$1.60;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$431.28;10/9/20, 10:45 AM;$0.00;$2.24;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$431.28;10/9/20, 10:55 AM;;$2.82;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$433.22;10/9/20, 11:20 AM;$1.94;$4.18;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$433.38;10/9/20, 11:40 AM;;$4.14;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$434.39;10/9/20, 11:55 AM;$1.01;$5.20;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$433.30;10/9/20, 1:40 PM;;$5.08;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$433.52;10/9/20, 2:05 PM;$0.22;$5.42;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$433.39;10/9/20, 3:30 PM;;$5.17;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$433.10;10/9/20, 3:55 PM;($0.28);$5.13;0.0;
15;MacdPerfect(SELL);Sell to Close;-1.0;$433.28;10/12/20, 9:30 AM;($8.71);($3.78);-1.0;
16;MacdPerfect(BUY);Buy to Open;1.0;$441.99;10/12/20, 9:30 AM;;($3.58);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$442.11;10/12/20, 9:35 AM;;($0.27);1.0;
