Strategy report
Symbol: TSLA
Work Time: 10/22/20, 9:35 AM - 7/6/21, 9:30 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$437.57;10/22/20, 9:35 AM;;($0.89);1.0;
2;MacdPerfect;Sell to Close;-1.0;$434.37;10/22/20, 9:50 AM;($3.20);($3.20);0.0;
3;MacdPerfect;Buy to Open;1.0;$433.52;10/22/20, 9:55 AM;;($3.02);1.0;
4;MacdPerfect;Sell to Close;-1.0;$429.73;10/22/20, 10:05 AM;($3.79);($7.00);0.0;
5;MacdPerfect;Buy to Open;1.0;$429.64;10/22/20, 10:10 AM;;($6.13);1.0;
6;MacdPerfect;Sell to Close;-1.0;$429.39;10/22/20, 10:15 AM;($0.26);($7.25);0.0;
7;MacdPerfect;Buy to Open;1.0;$429.25;10/22/20, 11:05 AM;;($8.44);1.0;
8;MacdPerfect;Sell to Close;-1.0;$429.64;10/22/20, 11:10 AM;$0.40;($6.85);0.0;
9;MacdPerfect;Buy to Open;1.0;$431.07;10/22/20, 11:15 AM;;($6.78);1.0;
10;MacdPerfect;Sell to Close;-1.0;$431.71;10/22/20, 12:05 PM;$0.64;($6.21);0.0;
11;MacdPerfect;Buy to Open;1.0;$430.34;10/22/20, 12:50 PM;;($6.40);1.0;
12;MacdPerfect;Sell to Close;-1.0;$432.06;10/22/20, 1:40 PM;$1.72;($4.49);0.0;
13;MacdPerfect;Buy to Open;1.0;$432.05;10/22/20, 1:45 PM;;($5.15);1.0;
14;MacdPerfect;Sell to Close;-1.0;$431.62;10/22/20, 1:50 PM;($0.43);($4.93);0.0;
15;MacdPerfect;Buy to Open;1.0;$429.55;10/22/20, 2:40 PM;;($4.59);1.0;
16;MacdPerfect;Sell to Close;-1.0;$430.55;10/22/20, 3:00 PM;$1.00;($3.93);0.0;
17;MacdPerfect;Buy to Open;1.0;$423.73;10/27/20, 9:35 AM;;($0.71);1.0;
18;MacdPerfect;Sell to Close;-1.0;$425.76;10/27/20, 10:00 AM;$2.04;($1.89);0.0;
