Strategy report
Symbol: TSLA
Work Time: 10/22/20, 9:35 AM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$437.57;10/22/20, 9:35 AM;;($0.89);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$433.52;10/22/20, 9:55 AM;($4.06);($4.06);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$432.14;10/22/20, 10:00 AM;;($5.55);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$429.73;10/22/20, 10:05 AM;($2.41);($6.47);0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$429.64;10/22/20, 10:10 AM;;($5.61);1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$429.39;10/22/20, 10:15 AM;($0.26);($6.73);0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$429.25;10/22/20, 11:05 AM;;($7.92);1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$429.64;10/22/20, 11:10 AM;$0.40;($6.33);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$431.07;10/22/20, 11:15 AM;;($6.26);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$431.71;10/22/20, 12:05 PM;$0.64;($5.69);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$430.34;10/22/20, 12:50 PM;;($5.88);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$432.06;10/22/20, 1:40 PM;$1.72;($3.97);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$432.05;10/22/20, 1:45 PM;;($4.63);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$431.62;10/22/20, 1:50 PM;($0.43);($4.40);0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$429.55;10/22/20, 2:40 PM;;($4.07);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$430.55;10/22/20, 3:00 PM;$1.00;($3.40);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$423.73;10/27/20, 9:35 AM;;($0.19);1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$425.76;10/27/20, 10:00 AM;$2.04;($1.37);0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$425.09;10/27/20, 10:05 AM;;($1.30);1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$424.68;10/27/20, 10:15 AM;($0.41);($1.78);0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$426.11;10/27/20, 11:55 AM;;($2.17);1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$423.07;10/27/20, 12:20 PM;($3.04);($4.82);0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$423.60;10/27/20, 12:40 PM;;($4.88);1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$423.58;10/27/20, 1:10 PM;($0.02);($4.84);0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$422.25;10/27/20, 2:25 PM;;($4.69);1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$422.76;10/27/20, 3:10 PM;$0.51;($4.33);0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$424.69;10/27/20, 3:50 PM;;($4.08);1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$424.74;10/27/20, 3:55 PM;$0.05;($4.27);0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$414.37;10/28/20, 9:30 AM;;($6.39);1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$413.20;10/28/20, 9:35 AM;($1.17);($5.44);0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$396.97;11/2/20, 2:50 PM;;($5.87);1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$397.08;11/2/20, 2:55 PM;$0.11;($5.33);0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$397.71;11/2/20, 3:00 PM;;($5.13);1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$398.02;11/2/20, 3:35 PM;$0.31;($5.02);0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$397.73;11/2/20, 3:40 PM;;($5.13);1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$398.61;11/2/20, 3:45 PM;$0.88;($4.14);0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$400.03;11/2/20, 3:50 PM;;($3.79);1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$400.35;11/2/20, 3:55 PM;$0.32;($3.82);0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$408.61;11/3/20, 9:30 AM;;($4.97);1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$422.99;11/3/20, 10:30 AM;$14.38;$10.56;0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$422.77;11/3/20, 10:35 AM;;$9.96;1.0;
42;MacdPerfect(SELL);Sell to Close;-1.0;$425.40;11/3/20, 10:55 AM;$2.63;$13.19;0.0;
43;MacdPerfect(BUY);Buy to Open;1.0;$426.81;11/3/20, 11:00 AM;;$12.60;1.0;
44;MacdPerfect(SELL);Sell to Close;-1.0;$425.83;11/3/20, 11:05 AM;($0.97);$12.22;0.0;
45;MacdPerfect(BUY);Buy to Open;1.0;$423.42;11/3/20, 12:50 PM;;$11.99;1.0;
46;MacdPerfect(SELL);Sell to Close;-1.0;$421.04;11/3/20, 2:00 PM;($2.38);$9.83;0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$422.33;11/3/20, 2:15 PM;;$10.31;1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$422.94;11/3/20, 3:05 PM;$0.62;$10.45;0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$423.99;11/3/20, 3:15 PM;;$10.33;1.0;
50;MacdPerfect(SELL);Sell to Close;-1.0;$422.96;11/3/20, 3:20 PM;($1.03);$9.42;0.0;
51;MacdPerfect(BUY);Buy to Open;1.0;$423.96;11/3/20, 3:55 PM;;$9.20;1.0;
52;MacdPerfect(SELL);Sell to Close;-1.0;$432.31;11/4/20, 9:30 AM;$8.34;$17.76;0.0;
53;MacdPerfect(BUY);Buy to Open;1.0;$430.85;11/4/20, 9:35 AM;;$14.62;1.0;
54;MacdPerfect(SELL);Sell to Close;-1.0;$428.35;11/4/20, 9:40 AM;($2.50);$15.26;0.0;
55;MacdPerfect(BUY);Buy to Open;1.0;$426.62;11/4/20, 9:45 AM;;$13.10;1.0;
56;MacdPerfect(SELL);Sell to Close;-1.0;$422.81;11/4/20, 9:50 AM;($3.81);$11.45;0.0;
57;MacdPerfect(BUY);Buy to Open;1.0;$423.35;11/4/20, 10:10 AM;;$11.83;1.0;
58;MacdPerfect(SELL);Sell to Close;-1.0;$423.17;11/4/20, 10:40 AM;($0.18);$11.27;0.0;
59;MacdPerfect(BUY);Buy to Open;1.0;$424.65;11/4/20, 10:50 AM;;$10.91;1.0;
60;MacdPerfect(SELL);Sell to Close;-1.0;$423.41;11/4/20, 10:55 AM;($1.24);$10.02;0.0;
