Strategy report
Symbol: V
Work Time: 10/21/20, 10:15 AM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$200.07;10/21/20, 10:15 AM;;$0.05;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$199.87;10/21/20, 10:30 AM;($0.20);($0.20);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$199.76;10/21/20, 10:35 AM;;($0.24);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$199.28;10/21/20, 10:50 AM;($0.48);($0.68);0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$199.00;10/21/20, 12:25 PM;;($0.74);1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$198.51;10/21/20, 12:50 PM;($0.49);($1.17);0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$199.08;10/21/20, 2:05 PM;;($1.09);1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$199.48;10/21/20, 3:05 PM;$0.40;($0.77);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$199.53;10/21/20, 3:10 PM;;($0.67);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$199.59;10/21/20, 3:20 PM;$0.06;($0.71);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$198.82;10/22/20, 9:35 AM;;($0.83);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$198.23;10/22/20, 10:10 AM;($0.59);($1.30);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$184.28;11/2/20, 9:35 AM;;($1.06);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$185.46;11/2/20, 10:10 AM;$1.18;($0.12);0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$186.15;11/2/20, 10:15 AM;;$0.24;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$186.32;11/2/20, 10:30 AM;$0.17;$0.05;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$186.22;11/2/20, 10:35 AM;;$0.04;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$186.34;11/2/20, 10:45 AM;$0.12;$0.17;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$186.33;11/2/20, 11:45 AM;;$0.03;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$185.76;11/2/20, 12:45 PM;($0.57);($0.41);0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$185.46;11/2/20, 1:25 PM;;($0.32);1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$184.92;11/2/20, 1:50 PM;($0.55);($0.95);0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$185.08;11/2/20, 2:10 PM;;($1.04);1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$185.43;11/2/20, 2:55 PM;$0.34;($0.61);0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$185.40;11/2/20, 3:30 PM;;($0.82);1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$185.08;11/2/20, 3:35 PM;($0.32);($0.93);0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$187.09;11/3/20, 9:40 AM;;($0.71);1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$188.46;11/3/20, 10:30 AM;$1.38;$0.44;0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$188.23;11/3/20, 10:35 AM;;$0.38;1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$188.28;11/3/20, 10:45 AM;$0.05;$0.50;0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$188.00;11/3/20, 12:30 PM;;$0.50;1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$187.71;11/3/20, 12:40 PM;($0.29);$0.21;0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$187.60;11/3/20, 1:10 PM;;$0.13;1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$187.26;11/3/20, 1:50 PM;($0.34);($0.14);0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$187.45;11/3/20, 2:05 PM;;($0.17);1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$187.87;11/3/20, 3:05 PM;$0.42;$0.28;0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$188.09;11/3/20, 3:10 PM;;$0.45;1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$188.77;11/3/20, 3:55 PM;$0.68;$0.96;0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$192.78;11/4/20, 9:35 AM;;$0.40;1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$195.04;11/4/20, 10:30 AM;$2.26;$3.22;0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$194.64;11/4/20, 10:35 AM;;$2.96;1.0;
42;MacdPerfect(SELL);Sell to Close;-1.0;$194.22;11/4/20, 10:45 AM;($0.41);$2.80;0.0;
43;MacdPerfect(BUY);Buy to Open;1.0;$195.48;11/4/20, 11:55 AM;;$2.91;1.0;
44;MacdPerfect(SELL);Sell to Close;-1.0;$196.42;11/4/20, 12:30 PM;$0.94;$3.74;0.0;
45;MacdPerfect(BUY);Buy to Open;1.0;$196.59;11/4/20, 12:35 PM;;$3.79;1.0;
46;MacdPerfect(SELL);Sell to Close;-1.0;$196.46;11/4/20, 12:45 PM;($0.13);$3.61;0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$196.53;11/4/20, 1:35 PM;;$3.58;1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$195.79;11/4/20, 1:45 PM;($0.74);$2.87;0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$196.18;11/4/20, 2:10 PM;;$2.85;1.0;
50;MacdPerfect(SELL);Sell to Close;-1.0;$195.56;11/4/20, 3:00 PM;($0.63);$2.24;0.0;
51;MacdPerfect(BUY);Buy to Open;1.0;$194.48;11/4/20, 3:35 PM;;$2.06;1.0;
52;MacdPerfect(SELL);Sell to Close;-1.0;$194.39;11/4/20, 3:55 PM;($0.09);$2.15;0.0;
53;MacdPerfect(BUY);Buy to Open;1.0;$199.52;11/5/20, 9:35 AM;;$2.17;1.0;
54;MacdPerfect(SELL);Sell to Close;-1.0;$199.57;11/5/20, 10:30 AM;$0.05;$2.20;0.0;
55;MacdPerfect(BUY);Buy to Open;1.0;$199.60;11/5/20, 10:35 AM;;$2.35;1.0;
56;MacdPerfect(SELL);Sell to Close;-1.0;$199.62;11/5/20, 10:40 AM;$0.03;$2.22;0.0;
57;MacdPerfect(BUY);Buy to Open;1.0;$197.90;11/5/20, 12:40 PM;;$2.23;1.0;
58;MacdPerfect(SELL);Sell to Close;-1.0;$198.21;11/5/20, 1:50 PM;$0.31;$2.54;0.0;
59;MacdPerfect(BUY);Buy to Open;1.0;$198.69;11/5/20, 2:05 PM;;$2.51;1.0;
60;MacdPerfect(SELL);Sell to Close;-1.0;$198.62;11/5/20, 2:35 PM;($0.07);$2.47;0.0;
61;MacdPerfect(BUY);Buy to Open;1.0;$198.71;11/5/20, 2:40 PM;;$2.66;1.0;
62;MacdPerfect(SELL);Sell to Close;-1.0;$198.67;11/5/20, 2:50 PM;($0.04);$2.43;0.0;
63;MacdPerfect(BUY);Buy to Open;1.0;$198.71;11/5/20, 2:55 PM;;$2.49;1.0;
64;MacdPerfect(SELL);Sell to Close;-1.0;$198.47;11/5/20, 3:05 PM;($0.25);$2.19;0.0;
65;MacdPerfect(BUY);Buy to Open;1.0;$197.71;11/5/20, 3:55 PM;;$2.05;1.0;
66;MacdPerfect(SELL);Sell to Close;-1.0;$196.83;11/6/20, 9:30 AM;($0.88);$1.30;0.0;
67;MacdPerfect(BUY);Buy to Open;1.0;$196.23;11/6/20, 9:55 AM;;$1.16;1.0;
68;MacdPerfect(SELL);Sell to Close;-1.0;$198.58;11/6/20, 11:00 AM;$2.35;$3.65;0.0;
69;MacdPerfect(BUY);Buy to Open;1.0;$199.11;11/6/20, 11:05 AM;;$3.92;1.0;
70;MacdPerfect(SELL);Sell to Close;-1.0;$199.10;11/6/20, 11:15 AM;($0.01);$3.64;0.0;
71;MacdPerfect(BUY);Buy to Open;1.0;$199.10;11/6/20, 11:20 AM;;$3.55;1.0;
72;MacdPerfect(SELL);Sell to Close;-1.0;$199.17;11/6/20, 11:25 AM;$0.06;$3.70;0.0;
73;MacdPerfect(BUY);Buy to Open;1.0;$199.29;11/6/20, 11:30 AM;;$3.71;1.0;
74;MacdPerfect(SELL);Sell to Close;-1.0;$199.20;11/6/20, 11:45 AM;($0.09);$3.62;0.0;
75;MacdPerfect(BUY);Buy to Open;1.0;$199.15;11/6/20, 11:50 AM;;$3.64;1.0;
76;MacdPerfect(SELL);Sell to Close;-1.0;$199.22;11/6/20, 11:55 AM;$0.08;$3.69;0.0;
77;MacdPerfect(BUY);Buy to Open;1.0;$198.79;11/6/20, 12:45 PM;;$3.70;1.0;
78;MacdPerfect(SELL);Sell to Close;-1.0;$198.68;11/6/20, 1:40 PM;($0.10);$3.59;0.0;
79;MacdPerfect(BUY);Buy to Open;1.0;$199.44;11/6/20, 2:10 PM;;$3.59;1.0;
80;MacdPerfect(SELL);Sell to Close;-1.0;$198.83;11/6/20, 2:40 PM;($0.61);$2.98;0.0;
81;MacdPerfect(BUY);Buy to Open;1.0;$198.66;11/6/20, 3:15 PM;;$2.91;1.0;
82;MacdPerfect(SELL);Sell to Close;-1.0;$198.80;11/6/20, 3:55 PM;$0.14;$3.12;0.0;
83;MacdPerfect(BUY);Buy to Open;1.0;$216.19;11/9/20, 9:35 AM;;$3.23;1.0;
84;MacdPerfect(SELL);Sell to Close;-1.0;$214.49;11/9/20, 9:50 AM;($1.70);$1.42;0.0;
85;MacdPerfect(BUY);Buy to Open;1.0;$212.97;11/9/20, 9:55 AM;;$0.81;1.0;
86;MacdPerfect(SELL);Sell to Close;-1.0;$213.32;11/9/20, 10:00 AM;$0.36;$1.77;0.0;
87;MacdPerfect(BUY);Buy to Open;1.0;$214.06;11/9/20, 10:05 AM;;$1.58;1.0;
88;MacdPerfect(SELL);Sell to Close;-1.0;$213.80;11/9/20, 10:10 AM;($0.26);$1.51;0.0;
89;MacdPerfect(BUY);Buy to Open;1.0;$214.29;11/9/20, 10:15 AM;;$1.95;1.0;
90;MacdPerfect(SELL);Sell to Close;-1.0;$214.21;11/9/20, 10:40 AM;($0.08);$1.43;0.0;
91;MacdPerfect(BUY);Buy to Open;1.0;$214.50;11/9/20, 11:45 AM;;$1.25;1.0;
92;MacdPerfect(SELL);Sell to Close;-1.0;$216.62;11/9/20, 12:45 PM;$2.12;$3.55;0.0;
93;MacdPerfect(BUY);Buy to Open;1.0;$215.97;11/9/20, 1:50 PM;;$3.20;1.0;
94;MacdPerfect(SELL);Sell to Close;-1.0;$215.21;11/9/20, 2:00 PM;($0.75);$2.80;0.0;
95;MacdPerfect(BUY);Buy to Open;1.0;$215.06;11/9/20, 2:40 PM;;$2.90;1.0;
96;MacdPerfect(SELL);Sell to Close;-1.0;$215.03;11/9/20, 3:10 PM;($0.03);$2.77;0.0;
97;MacdPerfect(BUY);Buy to Open;1.0;$215.05;11/9/20, 3:45 PM;;$2.29;1.0;
