Strategy report
Symbol: V
Work Time: 10/22/20, 1:10 PM - 7/6/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$197.66;10/22/20, 1:10 PM;;$0.47;1.0;
2;MacdPerfect;Sell to Close;-1.0;$198.40;10/22/20, 2:00 PM;$0.74;$0.74;0.0;
3;MacdPerfect;Buy to Open;1.0;$196.94;10/23/20, 1:40 PM;;$0.67;1.0;
4;MacdPerfect;Sell to Close;-1.0;$196.93;10/23/20, 2:15 PM;($0.01);$0.73;0.0;
5;MacdPerfect;Buy to Open;1.0;$196.97;10/23/20, 2:20 PM;;$0.92;1.0;
6;MacdPerfect;Sell to Close;-1.0;$197.16;10/23/20, 2:40 PM;$0.19;$0.92;0.0;
7;MacdPerfect;Buy to Open;1.0;$192.55;10/26/20, 2:25 PM;;$1.25;1.0;
8;MacdPerfect;Sell to Close;-1.0;$192.75;10/26/20, 3:05 PM;$0.20;$1.12;0.0;
9;MacdPerfect;Buy to Open;1.0;$192.52;10/26/20, 3:10 PM;;$1.02;1.0;
10;MacdPerfect;Sell to Close;-1.0;$192.39;10/26/20, 3:15 PM;($0.13);$1.00;0.0;
11;MacdPerfect;Buy to Open;1.0;$193.25;10/27/20, 9:40 AM;;$0.96;1.0;
12;MacdPerfect;Sell to Close;-1.0;$192.43;10/27/20, 9:50 AM;($0.82);$0.17;0.0;
13;MacdPerfect;Buy to Open;1.0;$190.15;10/27/20, 3:55 PM;;$0.12;1.0;
14;MacdPerfect;Sell to Close;-1.0;$183.98;10/28/20, 9:30 AM;($6.17);($6.00);0.0;
15;MacdPerfect;Buy to Open;1.0;$181.10;10/28/20, 2:00 PM;;($6.12);1.0;
16;MacdPerfect;Sell to Close;-1.0;$180.75;10/28/20, 2:15 PM;($0.35);($6.35);0.0;
17;MacdPerfect;Buy to Open;1.0;$180.78;10/28/20, 2:20 PM;;($5.66);1.0;
18;MacdPerfect;Sell to Close;-1.0;$181.20;10/28/20, 2:50 PM;$0.42;($5.94);0.0;
19;MacdPerfect;Buy to Open;1.0;$182.01;10/29/20, 9:35 AM;;($7.41);1.0;
20;MacdPerfect;Sell to Close;-1.0;$180.50;10/29/20, 9:40 AM;($1.51);($7.44);0.0;
21;MacdPerfect;Buy to Open;1.0;$182.76;10/29/20, 9:55 AM;;($7.35);1.0;
22;MacdPerfect;Sell to Close;-1.0;$182.37;10/29/20, 10:15 AM;($0.39);($7.83);0.0;
23;MacdPerfect;Buy to Open;1.0;$180.37;10/30/20, 3:20 PM;;($7.46);1.0;
24;MacdPerfect;Sell to Close;-1.0;$180.13;10/30/20, 3:35 PM;($0.24);($8.07);0.0;
25;MacdPerfect;Buy to Open;1.0;$180.31;10/30/20, 3:40 PM;;($7.23);1.0;
26;MacdPerfect;Sell to Close;-1.0;$180.64;10/30/20, 3:50 PM;$0.33;($7.75);0.0;
27;MacdPerfect;Buy to Open;1.0;$180.84;10/30/20, 3:55 PM;;($6.87);1.0;
28;MacdPerfect;Sell to Close;-1.0;$184.51;11/2/20, 9:30 AM;$3.67;($4.08);0.0;
29;MacdPerfect;Buy to Open;1.0;$184.04;11/2/20, 9:35 AM;;($3.59);1.0;
30;MacdPerfect;Sell to Close;-1.0;$185.14;11/2/20, 10:10 AM;$1.10;($2.98);0.0;
31;MacdPerfect;Buy to Open;1.0;$185.79;11/2/20, 10:15 AM;;($2.26);1.0;
32;MacdPerfect;Sell to Close;-1.0;$186.41;11/2/20, 10:30 AM;$0.62;($2.36);0.0;
33;MacdPerfect;Buy to Open;1.0;$185.61;11/2/20, 3:30 PM;;($2.78);1.0;
34;MacdPerfect;Sell to Close;-1.0;$185.21;11/2/20, 3:35 PM;($0.40);($2.76);0.0;
35;MacdPerfect;Buy to Open;1.0;$186.86;11/3/20, 9:40 AM;;($2.31);1.0;
36;MacdPerfect;Sell to Close;-1.0;$188.67;11/3/20, 10:30 AM;$1.81;($0.95);0.0;
37;MacdPerfect;Buy to Open;1.0;$188.20;11/3/20, 2:35 PM;;($0.96);1.0;
38;MacdPerfect;Sell to Close;-1.0;$187.81;11/3/20, 3:05 PM;($0.39);($1.34);0.0;
39;MacdPerfect;Buy to Open;1.0;$193.33;11/4/20, 9:35 AM;;($2.45);1.0;
40;MacdPerfect;Sell to Close;-1.0;$192.36;11/4/20, 9:40 AM;($0.97);($2.31);0.0;
41;MacdPerfect;Buy to Open;1.0;$192.77;11/4/20, 9:45 AM;;($2.88);1.0;
42;MacdPerfect;Sell to Close;-1.0;$192.13;11/4/20, 9:50 AM;($0.64);($2.94);0.0;
43;MacdPerfect;Buy to Open;1.0;$192.17;11/4/20, 9:55 AM;;($2.64);1.0;
44;MacdPerfect;Sell to Close;-1.0;$195.17;11/4/20, 10:30 AM;$3.00;$0.06;0.0;
45;MacdPerfect;Buy to Open;1.0;$199.51;11/5/20, 9:35 AM;;$0.09;1.0;
46;MacdPerfect;Sell to Close;-1.0;$198.90;11/5/20, 9:50 AM;($0.61);($0.55);0.0;
47;MacdPerfect;Buy to Open;1.0;$199.78;11/5/20, 9:55 AM;;($0.80);1.0;
48;MacdPerfect;Sell to Close;-1.0;$199.67;11/5/20, 10:30 AM;($0.11);($0.66);0.0;
49;MacdPerfect;Buy to Open;1.0;$198.72;11/5/20, 2:05 PM;;($0.72);1.0;
50;MacdPerfect;Sell to Close;-1.0;$198.73;11/5/20, 2:35 PM;$0.01;($0.65);0.0;
51;MacdPerfect;Buy to Open;1.0;$198.52;11/5/20, 2:40 PM;;($0.28);1.0;
52;MacdPerfect;Sell to Close;-1.0;$198.66;11/5/20, 2:50 PM;$0.14;($0.51);0.0;
53;MacdPerfect;Buy to Open;1.0;$198.65;11/5/20, 2:55 PM;;($0.39);1.0;
54;MacdPerfect;Sell to Close;-1.0;$198.57;11/5/20, 3:05 PM;($0.08);($0.59);0.0;
55;MacdPerfect;Buy to Open;1.0;$216.08;11/9/20, 9:35 AM;;($0.37);1.0;
56;MacdPerfect;Sell to Close;-1.0;$213.57;11/9/20, 9:55 AM;($2.51);($3.10);0.0;
57;MacdPerfect;Buy to Open;1.0;$212.44;11/9/20, 10:00 AM;;($1.34);1.0;
58;MacdPerfect;Sell to Close;-1.0;$213.77;11/9/20, 10:10 AM;$1.33;($1.77);0.0;
59;MacdPerfect;Buy to Open;1.0;$213.84;11/9/20, 10:15 AM;;($0.88);1.0;
60;MacdPerfect;Sell to Close;-1.0;$214.05;11/9/20, 10:40 AM;$0.21;($1.56);0.0;
61;MacdPerfect;Buy to Open;1.0;$214.85;11/9/20, 12:00 PM;;($1.32);1.0;
62;MacdPerfect;Sell to Close;-1.0;$216.66;11/9/20, 12:45 PM;$1.81;$0.25;0.0;
