Strategy report
Symbol: V
Work Time: 10/22/20, 1:10 PM - 7/6/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$197.66;10/22/20, 1:10 PM;;$0.47;1.0;
2;MacdPerfect;Sell to Close;-1.0;$198.40;10/22/20, 2:00 PM;$0.74;$0.74;0.0;
3;MacdPerfect;Buy to Open;1.0;$197.17;10/23/20, 2:25 PM;;$0.73;1.0;
4;MacdPerfect;Sell to Close;-1.0;$197.16;10/23/20, 2:40 PM;($0.01);$0.73;0.0;
5;MacdPerfect;Buy to Open;1.0;$193.25;10/27/20, 9:40 AM;;$0.69;1.0;
6;MacdPerfect;Sell to Close;-1.0;$192.43;10/27/20, 9:50 AM;($0.82);($0.10);0.0;
7;MacdPerfect;Buy to Open;1.0;$181.52;10/28/20, 2:25 PM;;($0.10);1.0;
8;MacdPerfect;Sell to Close;-1.0;$181.20;10/28/20, 2:50 PM;($0.32);($0.42);0.0;
9;MacdPerfect;Buy to Open;1.0;$182.76;10/29/20, 9:55 AM;;($0.33);1.0;
10;MacdPerfect;Sell to Close;-1.0;$182.37;10/29/20, 10:15 AM;($0.39);($0.81);0.0;
11;MacdPerfect;Buy to Open;1.0;$181.18;10/30/20, 3:45 PM;;($1.26);1.0;
12;MacdPerfect;Sell to Close;-1.0;$180.64;10/30/20, 3:50 PM;($0.54);($1.35);0.0;
13;MacdPerfect;Buy to Open;1.0;$180.84;10/30/20, 3:55 PM;;($0.47);1.0;
14;MacdPerfect;Sell to Close;-1.0;$184.51;11/2/20, 9:30 AM;$3.67;$2.32;0.0;
15;MacdPerfect;Buy to Open;1.0;$184.87;11/2/20, 9:50 AM;;$2.75;1.0;
16;MacdPerfect;Sell to Close;-1.0;$185.14;11/2/20, 10:10 AM;$0.27;$2.59;0.0;
17;MacdPerfect;Buy to Open;1.0;$185.61;11/2/20, 3:30 PM;;$2.16;1.0;
18;MacdPerfect;Sell to Close;-1.0;$185.21;11/2/20, 3:35 PM;($0.40);$2.19;0.0;
19;MacdPerfect;Buy to Open;1.0;$186.86;11/3/20, 9:40 AM;;$2.64;1.0;
20;MacdPerfect;Sell to Close;-1.0;$188.67;11/3/20, 10:30 AM;$1.81;$4.00;0.0;
21;MacdPerfect;Buy to Open;1.0;$188.20;11/3/20, 2:35 PM;;$3.99;1.0;
22;MacdPerfect;Sell to Close;-1.0;$187.81;11/3/20, 3:05 PM;($0.39);$3.61;0.0;
23;MacdPerfect;Buy to Open;1.0;$193.16;11/4/20, 10:05 AM;;$4.50;1.0;
24;MacdPerfect;Sell to Close;-1.0;$195.17;11/4/20, 10:30 AM;$2.01;$5.62;0.0;
25;MacdPerfect;Buy to Open;1.0;$199.78;11/5/20, 9:55 AM;;$5.37;1.0;
26;MacdPerfect;Sell to Close;-1.0;$199.67;11/5/20, 10:30 AM;($0.11);$5.51;0.0;
27;MacdPerfect;Buy to Open;1.0;$215.30;11/9/20, 10:35 AM;;$4.25;1.0;
28;MacdPerfect;Sell to Close;-1.0;$214.05;11/9/20, 10:40 AM;($1.25);$4.26;0.0;
29;MacdPerfect;Buy to Open;1.0;$214.85;11/9/20, 12:00 PM;;$4.50;1.0;
30;MacdPerfect;Sell to Close;-1.0;$216.66;11/9/20, 12:45 PM;$1.81;$6.07;0.0;
31;MacdPerfect;Buy to Open;1.0;$209.56;11/13/20, 9:45 AM;;$6.06;1.0;
32;MacdPerfect;Sell to Close;-1.0;$208.57;11/13/20, 9:55 AM;($0.99);$5.08;0.0;
33;MacdPerfect;Buy to Open;1.0;$205.74;11/20/20, 2:35 PM;;$4.95;1.0;
34;MacdPerfect;Sell to Close;-1.0;$205.43;11/20/20, 2:45 PM;($0.31);$4.77;0.0;
35;MacdPerfect;Buy to Open;1.0;$207.01;11/23/20, 9:35 AM;;$5.19;1.0;
36;MacdPerfect;Sell to Close;-1.0;$207.50;11/23/20, 10:15 AM;$0.49;$5.26;0.0;
37;MacdPerfect;Buy to Open;1.0;$207.11;11/23/20, 12:20 PM;;$5.39;1.0;
38;MacdPerfect;Sell to Close;-1.0;$207.59;11/23/20, 1:15 PM;$0.48;$5.74;0.0;
39;MacdPerfect;Buy to Open;1.0;$211.01;11/24/20, 9:50 AM;;$6.26;1.0;
40;MacdPerfect;Sell to Close;-1.0;$210.67;11/24/20, 10:05 AM;($0.34);$5.40;0.0;
41;MacdPerfect;Buy to Open;1.0;$211.73;11/24/20, 10:10 AM;;$5.56;1.0;
42;MacdPerfect;Sell to Close;-1.0;$211.78;11/24/20, 10:25 AM;$0.05;$5.45;0.0;
43;MacdPerfect;Buy to Open;1.0;$212.74;12/1/20, 10:05 AM;;$5.14;1.0;
44;MacdPerfect;Sell to Close;-1.0;$212.43;12/1/20, 10:10 AM;($0.31);$5.14;0.0;
45;MacdPerfect;Buy to Open;1.0;$212.30;12/1/20, 1:30 PM;;$5.09;1.0;
46;MacdPerfect;Sell to Close;-1.0;$212.28;12/1/20, 2:10 PM;($0.02);$5.12;0.0;
47;MacdPerfect;Buy to Open;1.0;$209.66;12/2/20, 2:45 PM;;$5.18;1.0;
48;MacdPerfect;Sell to Close;-1.0;$209.77;12/2/20, 3:20 PM;$0.11;$5.23;0.0;
49;MacdPerfect;Buy to Open;1.0;$209.52;12/3/20, 3:20 PM;;$5.30;1.0;
50;MacdPerfect;Sell to Close;-1.0;$209.19;12/3/20, 3:35 PM;($0.33);$4.90;0.0;
51;MacdPerfect;Buy to Open;1.0;$209.97;12/4/20, 9:45 AM;;$4.76;1.0;
52;MacdPerfect;Sell to Close;-1.0;$209.20;12/4/20, 10:00 AM;($0.77);$4.13;0.0;
53;MacdPerfect;Buy to Open;1.0;$209.84;12/4/20, 10:10 AM;;$4.01;1.0;
54;MacdPerfect;Sell to Close;-1.0;$209.67;12/4/20, 10:20 AM;($0.18);$3.95;0.0;
55;MacdPerfect;Buy to Open;1.0;$208.09;12/10/20, 3:45 PM;;$3.90;1.0;
56;MacdPerfect;Sell to Close;-1.0;$208.37;12/10/20, 3:55 PM;$0.28;$4.23;0.0;
57;MacdPerfect;Buy to Open;1.0;$205.73;12/11/20, 1:50 PM;;$4.80;1.0;
58;MacdPerfect;Sell to Close;-1.0;$205.91;12/11/20, 2:15 PM;$0.18;$4.41;0.0;
59;MacdPerfect;Buy to Open;1.0;$208.25;12/14/20, 9:40 AM;;$4.99;1.0;
60;MacdPerfect;Sell to Close;-1.0;$210.80;12/14/20, 10:35 AM;$2.55;$6.96;0.0;
61;MacdPerfect;Buy to Open;1.0;$207.49;12/15/20, 12:25 PM;;$6.86;1.0;
62;MacdPerfect;Sell to Close;-1.0;$208.71;12/15/20, 1:25 PM;$1.22;$8.18;0.0;
