Strategy report
Symbol: V
Work Time: 10/29/20, 9:35 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$182.01;10/29/20, 9:35 AM;;($1.47);1.0;
2;MacdPerfect;Sell to Close;-1.0;$183.14;10/29/20, 10:25 AM;$1.13;$1.13;0.0;
3;MacdPerfect;Buy to Open;1.0;$184.04;11/2/20, 9:35 AM;;$1.61;1.0;
4;MacdPerfect;Sell to Close;-1.0;$185.82;11/2/20, 10:05 AM;$1.78;$2.90;0.0;
5;MacdPerfect;Buy to Open;1.0;$186.86;11/3/20, 9:40 AM;;$3.35;1.0;
6;MacdPerfect;Sell to Close;-1.0;$188.06;11/3/20, 10:10 AM;$1.20;$4.10;0.0;
7;MacdPerfect;Buy to Open;1.0;$193.33;11/4/20, 9:35 AM;;$2.99;1.0;
8;MacdPerfect;Sell to Close;-1.0;$193.16;11/4/20, 10:05 AM;($0.17);$3.93;0.0;
9;MacdPerfect;Buy to Open;1.0;$199.51;11/5/20, 9:35 AM;;$3.96;1.0;
10;MacdPerfect;Sell to Close;-1.0;$199.97;11/5/20, 10:05 AM;$0.46;$4.39;0.0;
11;MacdPerfect;Buy to Open;1.0;$216.08;11/9/20, 9:35 AM;;$4.61;1.0;
12;MacdPerfect;Sell to Close;-1.0;$212.44;11/9/20, 10:00 AM;($3.64);$0.75;0.0;
13;MacdPerfect;Buy to Open;1.0;$212.95;11/11/20, 9:40 AM;;$1.28;1.0;
14;MacdPerfect;Sell to Close;-1.0;$213.54;11/11/20, 9:45 AM;$0.59;$1.33;0.0;
15;MacdPerfect;Buy to Open;1.0;$209.11;11/13/20, 9:40 AM;;$1.75;1.0;
16;MacdPerfect;Sell to Close;-1.0;$208.52;11/13/20, 10:00 AM;($0.59);$0.74;0.0;
17;MacdPerfect;Buy to Open;1.0;$213.54;11/16/20, 9:35 AM;;$0.95;1.0;
18;MacdPerfect;Sell to Close;-1.0;$213.29;11/16/20, 10:00 AM;($0.25);$0.49;0.0;
19;MacdPerfect;Buy to Open;1.0;$207.01;11/23/20, 9:35 AM;;$0.91;1.0;
20;MacdPerfect;Sell to Close;-1.0;$207.63;11/23/20, 10:05 AM;$0.62;$1.11;0.0;
21;MacdPerfect;Buy to Open;1.0;$210.93;11/24/20, 9:35 AM;;($0.33);1.0;
22;MacdPerfect;Sell to Close;-1.0;$211.73;11/24/20, 10:10 AM;$0.80;$1.91;0.0;
23;MacdPerfect;Buy to Open;1.0;$212.77;12/1/20, 9:35 AM;;$1.50;1.0;
24;MacdPerfect;Sell to Close;-1.0;$212.50;12/1/20, 10:00 AM;($0.27);$1.64;0.0;
25;MacdPerfect;Buy to Open;1.0;$210.07;12/3/20, 9:35 AM;;$1.97;1.0;
26;MacdPerfect;Sell to Close;-1.0;$210.79;12/3/20, 10:15 AM;$0.72;$2.36;0.0;
27;MacdPerfect;Buy to Open;1.0;$209.18;12/4/20, 9:35 AM;;$2.44;1.0;
28;MacdPerfect;Sell to Close;-1.0;$209.84;12/4/20, 10:10 AM;$0.66;$3.02;0.0;
29;MacdPerfect;Buy to Open;1.0;$212.63;12/7/20, 9:35 AM;;$3.60;1.0;
30;MacdPerfect;Sell to Close;-1.0;$213.98;12/7/20, 10:10 AM;$1.35;$4.38;0.0;
31;MacdPerfect;Buy to Open;1.0;$211.80;12/8/20, 9:40 AM;;$4.56;1.0;
32;MacdPerfect;Sell to Close;-1.0;$211.67;12/8/20, 10:20 AM;($0.13);$4.25;0.0;
33;MacdPerfect;Buy to Open;1.0;$208.59;12/10/20, 9:40 AM;;$3.93;1.0;
34;MacdPerfect;Sell to Close;-1.0;$207.97;12/10/20, 10:15 AM;($0.62);$3.63;0.0;
35;MacdPerfect;Buy to Open;1.0;$207.59;12/14/20, 9:35 AM;;$4.35;1.0;
36;MacdPerfect;Sell to Close;-1.0;$210.30;12/14/20, 10:10 AM;$2.70;$6.33;0.0;
37;MacdPerfect;Buy to Open;1.0;$208.54;12/15/20, 9:35 AM;;$6.14;1.0;
38;MacdPerfect;Sell to Close;-1.0;$207.43;12/15/20, 9:55 AM;($1.11);$5.22;0.0;
39;MacdPerfect;Buy to Open;1.0;$210.29;12/17/20, 9:35 AM;;$5.67;1.0;
40;MacdPerfect;Sell to Close;-1.0;$211.05;12/17/20, 10:10 AM;$0.76;$5.98;0.0;
