Strategy report
Symbol: V
Work Time: 1/16/20, 9:35 AM - 10/1/20, 10:00 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$200.91;1/16/20, 9:35 AM;;($1.10);1.0;
2;MacdPerfect;Sell to Close;-1.0;$200.36;1/16/20, 9:55 AM;($0.55);($0.55);0.0;
3;MacdPerfect;Sell to Close;-1.0;$204.40;1/21/20, 9:35 AM;$0.00;($0.47);-1.0;
4;MacdPerfect;Buy to Open;1.0;$204.40;1/21/20, 9:35 AM;;($0.55);0.0;
5;MacdPerfect;Buy to Open;1.0;$209.05;1/22/20, 9:40 AM;;($0.36);1.0;
6;MacdPerfect;Sell to Close;-1.0;$209.29;1/22/20, 10:05 AM;$0.24;($0.31);0.0;
7;MacdPerfect;Buy to Open;1.0;$207.52;1/24/20, 9:35 AM;;$0.02;1.0;
8;MacdPerfect;Sell to Close;-1.0;$207.77;1/24/20, 10:05 AM;$0.25;($0.06);0.0;
9;MacdPerfect;Buy to Open;1.0;$203.44;1/29/20, 9:35 AM;;($0.30);1.0;
10;MacdPerfect;Sell to Close;-1.0;$202.95;1/29/20, 10:00 AM;($0.49);($0.55);0.0;
11;MacdPerfect;Buy to Open;1.0;$205.02;1/30/20, 9:40 AM;;($0.82);1.0;
12;MacdPerfect;Sell to Close;-1.0;$204.01;1/30/20, 10:35 AM;($1.00);($1.55);0.0;
13;MacdPerfect;Buy to Open;1.0;$201.65;2/3/20, 9:40 AM;;($2.20);1.0;
14;MacdPerfect;Sell to Close;-1.0;$201.76;2/3/20, 10:05 AM;$0.11;($1.44);0.0;
15;MacdPerfect;Buy to Open;1.0;$203.31;2/4/20, 9:35 AM;;($2.47);1.0;
16;MacdPerfect;Sell to Close;-1.0;$203.25;2/4/20, 10:05 AM;($0.06);($1.50);0.0;
17;MacdPerfect;Buy to Open;1.0;$203.54;2/6/20, 9:40 AM;;($1.03);1.0;
18;MacdPerfect;Sell to Close;-1.0;$204.02;2/6/20, 10:10 AM;$0.48;($1.02);0.0;
19;MacdPerfect;Buy to Open;1.0;$205.92;2/11/20, 9:35 AM;;($0.78);1.0;
20;MacdPerfect;Sell to Close;-1.0;$205.45;2/11/20, 9:50 AM;($0.47);($1.49);0.0;
21;MacdPerfect;Buy to Open;1.0;$206.42;2/12/20, 9:35 AM;;($0.95);1.0;
22;MacdPerfect;Sell to Close;-1.0;$205.67;2/12/20, 10:00 AM;($0.75);($2.25);0.0;
23;MacdPerfect;Buy to Open;1.0;$209.24;2/14/20, 9:35 AM;;($2.66);1.0;
24;MacdPerfect;Sell to Close;-1.0;$209.04;2/14/20, 10:05 AM;($0.20);($2.45);0.0;
25;MacdPerfect;Buy to Open;1.0;$209.80;2/18/20, 9:35 AM;;($2.10);1.0;
26;MacdPerfect;Sell to Close;-1.0;$211.13;2/18/20, 10:25 AM;$1.33;($1.12);0.0;
27;MacdPerfect;Buy to Open;1.0;$212.18;2/19/20, 9:35 AM;;($0.76);1.0;
28;MacdPerfect;Sell to Close;-1.0;$213.21;2/19/20, 10:10 AM;$1.03;($0.09);0.0;
29;MacdPerfect;Buy to Open;1.0;$199.50;2/25/20, 9:40 AM;;($0.81);1.0;
30;MacdPerfect;Sell to Close;-1.0;$197.87;2/25/20, 10:10 AM;($1.63);($1.72);0.0;
31;MacdPerfect;Buy to Open;1.0;$192.13;2/26/20, 9:40 AM;;($1.33);1.0;
32;MacdPerfect;Sell to Close;-1.0;$191.38;2/26/20, 10:00 AM;($0.75);($2.47);0.0;
33;MacdPerfect;Buy to Open;1.0;$184.55;3/2/20, 9:35 AM;;($3.33);1.0;
34;MacdPerfect;Sell to Close;-1.0;$183.93;3/2/20, 10:00 AM;($0.62);($3.09);0.0;
35;MacdPerfect;Sell to Close;-1.0;$190.17;3/3/20, 9:35 AM;$0.00;($3.15);-1.0;
36;MacdPerfect;Buy to Open;1.0;$190.17;3/3/20, 9:35 AM;;($3.09);0.0;
37;MacdPerfect;Buy to Open;1.0;$190.30;3/3/20, 9:40 AM;;($3.42);1.0;
38;MacdPerfect;Sell to Close;-1.0;$191.93;3/3/20, 10:35 AM;$1.63;($1.46);0.0;
39;MacdPerfect;Buy to Open;1.0;$189.63;3/4/20, 9:35 AM;;($3.18);1.0;
40;MacdPerfect;Sell to Close;-1.0;$186.77;3/4/20, 10:00 AM;($2.86);($4.32);0.0;
41;MacdPerfect;Buy to Open;1.0;$179.15;3/10/20, 9:35 AM;;($6.13);1.0;
