Strategy report
Symbol: VTWO
Work Time: 11/2/20, 9:35 AM - 7/9/21, 10:10 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$62.40;11/2/20, 9:35 AM;;($0.05);1.0;
2;MacdPerfect;Sell to Close;-1.0;$62.75;11/2/20, 10:05 AM;$0.35;$0.35;0.0;
3;MacdPerfect;Buy to Open;1.0;$63.86;11/3/20, 9:35 AM;;$0.41;1.0;
4;MacdPerfect;Sell to Close;-1.0;$64.53;11/3/20, 10:05 AM;$0.67;$1.02;0.0;
5;MacdPerfect;Buy to Open;1.0;$65.69;11/5/20, 9:35 AM;;$1.03;1.0;
6;MacdPerfect;Sell to Close;-1.0;$66.06;11/5/20, 10:05 AM;$0.36;$1.38;0.0;
7;MacdPerfect;Buy to Open;1.0;$66.73;11/6/20, 9:35 AM;;$1.21;1.0;
8;MacdPerfect;Sell to Close;-1.0;$66.44;11/6/20, 9:50 AM;($0.30);$1.08;0.0;
9;MacdPerfect;Buy to Open;1.0;$70.56;11/9/20, 9:35 AM;;$0.94;1.0;
10;MacdPerfect;Sell to Close;-1.0;$69.80;11/9/20, 10:00 AM;($0.77);$0.32;0.0;
11;MacdPerfect;Buy to Open;1.0;$68.76;11/10/20, 9:35 AM;;$0.50;1.0;
12;MacdPerfect;Sell to Close;-1.0;$69.07;11/10/20, 10:25 AM;$0.32;$0.63;0.0;
13;MacdPerfect;Buy to Open;1.0;$69.83;11/11/20, 9:35 AM;;$0.55;1.0;
14;MacdPerfect;Sell to Close;-1.0;$69.57;11/11/20, 9:50 AM;($0.26);$0.37;0.0;
15;MacdPerfect;Buy to Open;1.0;$69.50;11/13/20, 9:35 AM;;$0.45;1.0;
16;MacdPerfect;Sell to Close;-1.0;$69.93;11/13/20, 10:05 AM;$0.43;$0.80;0.0;
17;MacdPerfect;Buy to Open;1.0;$71.44;11/16/20, 9:35 AM;;$0.83;1.0;
