Strategy report
Symbol: VTWO
Work Time: 1/16/20, 9:35 AM - 9/30/20, 10:20 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$67.83;1/16/20, 9:35 AM;;$0.06;1.0;
2;MacdPerfect;Sell to Close;-1.0;$67.97;1/16/20, 10:05 AM;$0.14;$0.14;0.0;
3;MacdPerfect;Buy to Open;1.0;$68.32;1/17/20, 9:35 AM;;$0.01;1.0;
4;MacdPerfect;Sell to Close;-1.0;$68.14;1/17/20, 9:55 AM;($0.18);($0.04);0.0;
5;MacdPerfect;Buy to Open;1.0;$67.63;1/22/20, 9:35 AM;;$0.02;1.0;
6;MacdPerfect;Sell to Close;-1.0;$67.54;1/22/20, 10:05 AM;($0.09);($0.13);0.0;
7;MacdPerfect;Buy to Open;1.0;$66.24;1/28/20, 9:35 AM;;($0.28);1.0;
8;MacdPerfect;Sell to Close;-1.0;$66.19;1/28/20, 10:10 AM;($0.05);($0.18);0.0;
9;MacdPerfect;Buy to Open;1.0;$66.39;1/29/20, 9:35 AM;;($0.25);1.0;
10;MacdPerfect;Sell to Close;-1.0;$66.32;1/29/20, 9:55 AM;($0.07);($0.25);0.0;
11;MacdPerfect;Buy to Open;1.0;$65.77;1/30/20, 9:40 AM;;($0.22);1.0;
12;MacdPerfect;Sell to Close;-1.0;$65.66;1/30/20, 10:15 AM;($0.11);($0.36);0.0;
13;MacdPerfect;Buy to Open;1.0;$65.60;1/31/20, 9:35 AM;;($0.43);1.0;
14;MacdPerfect;Sell to Close;-1.0;$64.77;1/31/20, 10:50 AM;($0.83);($1.19);0.0;
15;MacdPerfect;Buy to Open;1.0;$64.94;2/3/20, 9:35 AM;;($1.15);1.0;
16;MacdPerfect;Sell to Close;-1.0;$65.23;2/3/20, 10:05 AM;$0.29;($0.90);0.0;
17;MacdPerfect;Buy to Open;1.0;$66.05;2/4/20, 9:35 AM;;($1.02);1.0;
18;MacdPerfect;Sell to Close;-1.0;$66.05;2/4/20, 10:10 AM;$0.00;($0.91);0.0;
19;MacdPerfect;Buy to Open;1.0;$66.87;2/5/20, 9:35 AM;;($0.95);1.0;
20;MacdPerfect;Sell to Close;-1.0;$66.99;2/5/20, 10:05 AM;$0.12;($0.79);0.0;
21;MacdPerfect;Buy to Open;1.0;$67.39;2/6/20, 9:35 AM;;($0.87);1.0;
22;MacdPerfect;Sell to Close;-1.0;$67.19;2/6/20, 9:45 AM;($0.20);($0.99);0.0;
23;MacdPerfect;Buy to Open;1.0;$66.93;2/11/20, 9:35 AM;;($1.02);1.0;
24;MacdPerfect;Sell to Close;-1.0;$67.39;2/11/20, 10:20 AM;$0.45;($0.53);0.0;
25;MacdPerfect;Buy to Open;1.0;$67.58;2/12/20, 9:35 AM;;($0.61);1.0;
26;MacdPerfect;Sell to Close;-1.0;$67.36;2/12/20, 10:00 AM;($0.21);($0.74);0.0;
27;MacdPerfect;Buy to Open;1.0;$67.44;2/13/20, 9:40 AM;;($0.79);1.0;
28;MacdPerfect;Sell to Close;-1.0;$67.53;2/13/20, 10:50 AM;$0.08;($0.66);0.0;
29;MacdPerfect;Buy to Open;1.0;$67.72;2/14/20, 9:35 AM;;($0.80);1.0;
30;MacdPerfect;Sell to Close;-1.0;$67.61;2/14/20, 10:00 AM;($0.11);($0.77);0.0;
31;MacdPerfect;Buy to Open;1.0;$67.41;2/18/20, 9:35 AM;;($0.82);1.0;
32;MacdPerfect;Sell to Close;-1.0;$67.29;2/18/20, 10:25 AM;($0.11);($0.88);0.0;
