Strategy report
Symbol: VZ
Work Time: 10/23/20, 9:35 AM - 7/6/21, 2:10 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$57.68;10/23/20, 9:35 AM;;$0.11;1.0;
2;MacdPerfect;Sell to Close;-1.0;$57.61;10/23/20, 9:50 AM;($0.08);($0.08);0.0;
3;MacdPerfect;Buy to Open;1.0;$57.73;10/23/20, 9:55 AM;;($0.02);1.0;
4;MacdPerfect;Sell to Close;-1.0;$57.69;10/23/20, 10:10 AM;($0.04);($0.12);0.0;
5;MacdPerfect;Buy to Open;1.0;$57.65;10/23/20, 10:15 AM;;($0.28);1.0;
6;MacdPerfect;Sell to Close;-1.0;$57.50;10/23/20, 10:20 AM;($0.16);($0.28);0.0;
7;MacdPerfect;Buy to Open;1.0;$57.72;10/23/20, 11:40 AM;;($0.28);1.0;
8;MacdPerfect;Sell to Close;-1.0;$57.77;10/23/20, 12:15 PM;$0.05;($0.23);0.0;
9;MacdPerfect;Buy to Open;1.0;$57.74;10/23/20, 2:50 PM;;($0.21);1.0;
10;MacdPerfect;Sell to Close;-1.0;$57.72;10/23/20, 3:20 PM;($0.02);($0.25);0.0;
11;MacdPerfect;Buy to Open;1.0;$57.71;10/27/20, 9:35 AM;;($0.29);1.0;
12;MacdPerfect;Sell to Close;-1.0;$57.52;10/27/20, 9:45 AM;($0.20);($0.44);0.0;
13;MacdPerfect;Buy to Open;1.0;$57.63;10/27/20, 9:55 AM;;($0.44);1.0;
14;MacdPerfect;Sell to Close;-1.0;$57.58;10/27/20, 10:25 AM;($0.05);($0.49);0.0;
15;MacdPerfect;Buy to Open;1.0;$57.72;10/27/20, 12:05 PM;;($0.52);1.0;
16;MacdPerfect;Sell to Close;-1.0;$57.68;10/27/20, 12:25 PM;($0.04);($0.53);0.0;
17;MacdPerfect;Buy to Open;1.0;$56.51;10/28/20, 2:10 PM;;($0.58);1.0;
18;MacdPerfect;Sell to Close;-1.0;$56.45;10/28/20, 2:15 PM;($0.05);($0.59);0.0;
19;MacdPerfect;Buy to Open;1.0;$56.55;10/28/20, 2:25 PM;;($0.52);1.0;
20;MacdPerfect;Sell to Close;-1.0;$56.52;10/28/20, 2:40 PM;($0.04);($0.63);0.0;
21;MacdPerfect;Buy to Open;1.0;$56.57;10/28/20, 2:45 PM;;($0.54);1.0;
22;MacdPerfect;Sell to Close;-1.0;$56.57;10/28/20, 2:55 PM;$0.00;($0.63);0.0;
23;MacdPerfect;Buy to Open;1.0;$56.60;10/28/20, 3:00 PM;;($0.72);1.0;
24;MacdPerfect;Sell to Close;-1.0;$56.51;10/28/20, 3:05 PM;($0.09);($0.72);0.0;
25;MacdPerfect;Buy to Open;1.0;$56.53;10/28/20, 3:10 PM;;($0.74);1.0;
26;MacdPerfect;Sell to Close;-1.0;$56.50;10/28/20, 3:15 PM;($0.02);($0.74);0.0;
27;MacdPerfect;Buy to Open;1.0;$56.63;10/28/20, 3:35 PM;;($0.83);1.0;
28;MacdPerfect;Sell to Close;-1.0;$56.55;10/28/20, 3:40 PM;($0.09);($0.83);0.0;
29;MacdPerfect;Buy to Open;1.0;$57.48;11/2/20, 9:35 AM;;($1.17);1.0;
30;MacdPerfect;Sell to Close;-1.0;$57.14;11/2/20, 9:40 AM;($0.34);($1.17);0.0;
31;MacdPerfect;Buy to Open;1.0;$57.12;11/2/20, 9:45 AM;;($1.07);1.0;
32;MacdPerfect;Sell to Close;-1.0;$57.59;11/2/20, 10:30 AM;$0.48;($0.69);0.0;
33;MacdPerfect;Buy to Open;1.0;$57.97;11/3/20, 9:35 AM;;($0.71);1.0;
34;MacdPerfect;Sell to Close;-1.0;$57.91;11/3/20, 10:00 AM;($0.06);($0.75);0.0;
35;MacdPerfect;Buy to Open;1.0;$57.98;11/3/20, 10:05 AM;;($0.89);1.0;
36;MacdPerfect;Sell to Close;-1.0;$57.84;11/3/20, 10:10 AM;($0.14);($0.89);0.0;
37;MacdPerfect;Buy to Open;1.0;$57.97;11/3/20, 10:20 AM;;($0.78);1.0;
38;MacdPerfect;Sell to Close;-1.0;$58.18;11/3/20, 11:00 AM;$0.21;($0.68);0.0;
39;MacdPerfect;Buy to Open;1.0;$57.84;11/3/20, 3:35 PM;;($0.68);1.0;
