Strategy report
Symbol: WMT
Work Time: 10/22/20, 1:15 PM - 7/6/21, 1:40 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$143.56;10/22/20, 1:15 PM;;$0.12;1.0;
2;MacdPerfect;Sell to Close;-1.0;$144.11;10/22/20, 2:10 PM;$0.55;$0.55;0.0;
3;MacdPerfect;Buy to Open;1.0;$141.85;10/26/20, 2:20 PM;;$0.53;1.0;
4;MacdPerfect;Sell to Close;-1.0;$141.82;10/26/20, 2:40 PM;($0.03);$0.52;0.0;
5;MacdPerfect;Buy to Open;1.0;$141.78;10/26/20, 2:45 PM;;$0.40;1.0;
6;MacdPerfect;Sell to Close;-1.0;$141.68;10/26/20, 2:50 PM;($0.10);$0.42;0.0;
7;MacdPerfect;Buy to Open;1.0;$141.83;10/26/20, 2:55 PM;;$0.50;1.0;
8;MacdPerfect;Sell to Close;-1.0;$141.87;10/26/20, 3:05 PM;$0.04;$0.46;0.0;
9;MacdPerfect;Buy to Open;1.0;$141.79;10/26/20, 3:10 PM;;$0.48;1.0;
10;MacdPerfect;Sell to Close;-1.0;$141.95;10/26/20, 3:45 PM;$0.16;$0.62;0.0;
11;MacdPerfect;Buy to Open;1.0;$142.05;10/27/20, 9:30 AM;;$1.16;1.0;
12;MacdPerfect;Sell to Close;-1.0;$142.56;10/27/20, 9:50 AM;$0.51;$1.13;0.0;
13;MacdPerfect;Buy to Open;1.0;$142.87;10/27/20, 9:55 AM;;$1.34;1.0;
14;MacdPerfect;Sell to Close;-1.0;$142.63;10/27/20, 10:05 AM;($0.25);$0.88;0.0;
15;MacdPerfect;Buy to Open;1.0;$142.62;10/27/20, 10:10 AM;;$0.96;1.0;
16;MacdPerfect;Sell to Close;-1.0;$142.51;10/27/20, 10:20 AM;($0.11);$0.77;0.0;
17;MacdPerfect;Buy to Open;1.0;$141.02;10/28/20, 2:30 PM;;$0.65;1.0;
18;MacdPerfect;Sell to Close;-1.0;$140.90;10/28/20, 2:35 PM;($0.12);$0.65;0.0;
19;MacdPerfect;Buy to Open;1.0;$140.66;10/28/20, 2:40 PM;;$0.82;1.0;
20;MacdPerfect;Sell to Close;-1.0;$140.73;10/28/20, 2:55 PM;$0.07;$0.72;0.0;
21;MacdPerfect;Buy to Open;1.0;$141.05;10/28/20, 3:00 PM;;$0.54;1.0;
22;MacdPerfect;Sell to Close;-1.0;$140.85;10/28/20, 3:05 PM;($0.20);$0.52;0.0;
23;MacdPerfect;Buy to Open;1.0;$140.91;10/28/20, 3:10 PM;;$0.56;1.0;
