Strategy report
Symbol: WMT
Work Time: 11/2/20, 9:35 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$140.09;11/2/20, 9:35 AM;;($0.46);1.0;
2;MacdPerfect;Sell to Close;-1.0;$140.02;11/2/20, 10:00 AM;($0.07);($0.07);0.0;
3;MacdPerfect;Buy to Open;1.0;$142.56;11/3/20, 9:35 AM;;($0.27);1.0;
4;MacdPerfect;Sell to Close;-1.0;$143.20;11/3/20, 10:05 AM;$0.64;$0.57;0.0;
5;MacdPerfect;Buy to Open;1.0;$143.13;11/5/20, 9:35 AM;;$0.76;1.0;
6;MacdPerfect;Sell to Close;-1.0;$143.15;11/5/20, 10:05 AM;$0.03;$0.59;0.0;
7;MacdPerfect;Buy to Open;1.0;$144.45;11/6/20, 9:35 AM;;$0.28;1.0;
8;MacdPerfect;Sell to Close;-1.0;$145.71;11/6/20, 10:15 AM;$1.26;$1.86;0.0;
9;MacdPerfect;Buy to Open;1.0;$145.71;11/9/20, 9:35 AM;;$1.61;1.0;
10;MacdPerfect;Sell to Close;-1.0;$146.29;11/9/20, 10:05 AM;$0.58;$2.44;0.0;
11;MacdPerfect;Buy to Open;1.0;$144.10;11/10/20, 9:35 AM;;$2.19;1.0;
12;MacdPerfect;Sell to Close;-1.0;$145.42;11/10/20, 10:35 AM;$1.32;$3.76;0.0;
13;MacdPerfect;Buy to Open;1.0;$146.76;11/11/20, 9:35 AM;;$3.77;1.0;
14;MacdPerfect;Sell to Close;-1.0;$147.05;11/11/20, 10:05 AM;$0.29;$4.05;0.0;
15;MacdPerfect;Buy to Open;1.0;$148.45;11/12/20, 9:35 AM;;$4.03;1.0;
16;MacdPerfect;Sell to Close;-1.0;$148.43;11/12/20, 9:40 AM;($0.02);$4.02;0.0;
17;MacdPerfect;Buy to Open;1.0;$148.34;11/13/20, 9:35 AM;;$3.91;1.0;
18;MacdPerfect;Sell to Close;-1.0;$147.99;11/13/20, 9:55 AM;($0.35);$3.67;0.0;
