Strategy report
Symbol: XOM
Work Time: 10/23/20, 10:40 AM - 7/1/21, 3:35 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$34.66;10/23/20, 10:40 AM;;$0.00;1.0;
2;MacdPerfect;Sell to Close;-1.0;$34.57;10/23/20, 10:50 AM;($0.09);($0.09);0.0;
3;MacdPerfect;Buy to Open;1.0;$34.44;10/23/20, 11:30 AM;;($0.06);1.0;
4;MacdPerfect;Sell to Close;-1.0;$34.36;10/23/20, 11:40 AM;($0.08);($0.17);0.0;
5;MacdPerfect;Buy to Open;1.0;$34.17;10/23/20, 12:30 PM;;($0.15);1.0;
6;MacdPerfect;Sell to Close;-1.0;$34.12;10/23/20, 12:55 PM;($0.05);($0.22);0.0;
7;MacdPerfect;Buy to Open;1.0;$34.11;10/23/20, 3:30 PM;;($0.19);1.0;
8;MacdPerfect;Sell to Close;-1.0;$34.18;10/23/20, 3:55 PM;$0.07;($0.15);0.0;
9;MacdPerfect;Buy to Open;1.0;$33.55;10/26/20, 9:30 AM;;($0.21);1.0;
10;MacdPerfect;Sell to Close;-1.0;$33.43;10/26/20, 9:35 AM;($0.12);($0.27);0.0;
11;MacdPerfect;Buy to Open;1.0;$32.35;10/30/20, 10:40 AM;;($0.36);1.0;
12;MacdPerfect;Sell to Close;-1.0;$32.19;10/30/20, 10:45 AM;($0.16);($0.43);0.0;
13;MacdPerfect;Buy to Open;1.0;$32.19;10/30/20, 11:05 AM;;($0.47);1.0;
14;MacdPerfect;Sell to Close;-1.0;$32.30;10/30/20, 12:10 PM;$0.11;($0.31);0.0;
15;MacdPerfect;Buy to Open;1.0;$32.56;10/30/20, 2:05 PM;;($0.23);1.0;
16;MacdPerfect;Sell to Close;-1.0;$32.49;10/30/20, 2:15 PM;($0.08);($0.39);0.0;
17;MacdPerfect;Buy to Open;1.0;$32.79;11/2/20, 9:35 AM;;($0.44);1.0;
18;MacdPerfect;Sell to Close;-1.0;$32.66;11/2/20, 9:40 AM;($0.13);($0.52);0.0;
19;MacdPerfect;Buy to Open;1.0;$32.75;11/2/20, 9:45 AM;;($0.35);1.0;
20;MacdPerfect;Sell to Close;-1.0;$32.85;11/2/20, 9:55 AM;$0.10;($0.42);0.0;
21;MacdPerfect;Buy to Open;1.0;$33.02;11/2/20, 10:00 AM;;($0.32);1.0;
22;MacdPerfect;Sell to Close;-1.0;$33.19;11/2/20, 10:30 AM;$0.17;($0.25);0.0;
23;MacdPerfect;Buy to Open;1.0;$34.24;11/3/20, 9:40 AM;;($0.32);1.0;
24;MacdPerfect;Sell to Close;-1.0;$34.05;11/3/20, 10:10 AM;($0.19);($0.43);0.0;
25;MacdPerfect;Buy to Open;1.0;$34.24;11/3/20, 10:50 AM;;($0.38);1.0;
26;MacdPerfect;Sell to Close;-1.0;$34.13;11/3/20, 11:10 AM;($0.11);($0.55);0.0;
27;MacdPerfect;Buy to Open;1.0;$33.92;11/3/20, 11:45 AM;;($0.64);1.0;
28;MacdPerfect;Sell to Close;-1.0;$33.85;11/3/20, 12:00 PM;($0.07);($0.62);0.0;
29;MacdPerfect;Buy to Open;1.0;$33.91;11/3/20, 12:10 PM;;($0.62);1.0;
30;MacdPerfect;Sell to Close;-1.0;$33.83;11/3/20, 12:15 PM;($0.09);($0.70);0.0;
31;MacdPerfect;Buy to Open;1.0;$33.45;11/3/20, 1:05 PM;;($0.68);1.0;
32;MacdPerfect;Sell to Close;-1.0;$33.32;11/3/20, 1:35 PM;($0.13);($0.83);0.0;
33;MacdPerfect;Buy to Open;1.0;$33.56;11/3/20, 3:40 PM;;($0.83);1.0;
34;MacdPerfect;Sell to Close;-1.0;$33.52;11/3/20, 3:55 PM;($0.05);($0.88);0.0;
35;MacdPerfect;Buy to Open;1.0;$32.99;11/4/20, 9:30 AM;;($1.16);1.0;
36;MacdPerfect;Sell to Close;-1.0;$32.70;11/4/20, 9:35 AM;($0.29);($1.16);0.0;
37;MacdPerfect;Buy to Open;1.0;$37.59;11/9/20, 9:35 AM;;($1.51);1.0;
38;MacdPerfect;Sell to Close;-1.0;$36.84;11/9/20, 9:40 AM;($0.76);($1.92);0.0;
39;MacdPerfect;Buy to Open;1.0;$36.59;11/9/20, 9:45 AM;;($1.76);1.0;
40;MacdPerfect;Sell to Close;-1.0;$36.52;11/9/20, 10:00 AM;($0.07);($1.99);0.0;
41;MacdPerfect;Buy to Open;1.0;$36.51;11/9/20, 10:05 AM;;($2.08);1.0;
42;MacdPerfect;Sell to Close;-1.0;$36.45;11/9/20, 10:10 AM;($0.07);($2.05);0.0;
43;MacdPerfect;Buy to Open;1.0;$36.63;11/9/20, 10:15 AM;;($1.90);1.0;
44;MacdPerfect;Sell to Close;-1.0;$36.76;11/9/20, 10:35 AM;$0.13;($1.92);0.0;
45;MacdPerfect;Buy to Open;1.0;$36.76;11/9/20, 12:05 PM;;($1.85);1.0;
46;MacdPerfect;Sell to Close;-1.0;$37.10;11/9/20, 12:55 PM;$0.34;($1.58);0.0;
47;MacdPerfect;Buy to Open;1.0;$36.26;11/10/20, 1:30 PM;;($1.54);1.0;
48;MacdPerfect;Sell to Close;-1.0;$36.44;11/10/20, 2:40 PM;$0.17;($1.41);0.0;
49;MacdPerfect;Buy to Open;1.0;$36.37;11/10/20, 2:45 PM;;($1.45);1.0;
50;MacdPerfect;Sell to Close;-1.0;$36.42;11/10/20, 2:55 PM;$0.05;($1.36);0.0;
51;MacdPerfect;Buy to Open;1.0;$36.52;11/10/20, 3:00 PM;;($1.33);1.0;
52;MacdPerfect;Sell to Close;-1.0;$36.68;11/10/20, 3:40 PM;$0.16;($1.20);0.0;
53;MacdPerfect;Buy to Open;1.0;$36.99;11/11/20, 9:35 AM;;($1.26);1.0;
54;MacdPerfect;Sell to Close;-1.0;$36.83;11/11/20, 9:40 AM;($0.17);($1.37);0.0;
55;MacdPerfect;Buy to Open;1.0;$36.79;11/11/20, 9:45 AM;;($1.30);1.0;
56;MacdPerfect;Sell to Close;-1.0;$36.66;11/11/20, 10:00 AM;($0.13);($1.51);0.0;
57;MacdPerfect;Buy to Open;1.0;$36.78;11/11/20, 10:30 AM;;($1.46);1.0;
58;MacdPerfect;Sell to Close;-1.0;$36.70;11/11/20, 10:50 AM;($0.08);($1.58);0.0;
59;MacdPerfect;Buy to Open;1.0;$36.70;11/11/20, 11:10 AM;;($1.59);1.0;
60;MacdPerfect;Sell to Close;-1.0;$36.68;11/11/20, 11:35 AM;($0.02);($1.60);0.0;
61;MacdPerfect;Buy to Open;1.0;$36.73;11/11/20, 11:45 AM;;($1.66);1.0;
62;MacdPerfect;Sell to Close;-1.0;$36.66;11/11/20, 11:50 AM;($0.07);($1.67);0.0;
63;MacdPerfect;Buy to Open;1.0;$36.48;11/11/20, 12:50 PM;;($1.68);1.0;
64;MacdPerfect;Sell to Close;-1.0;$36.59;11/11/20, 2:10 PM;$0.11;($1.56);0.0;
65;MacdPerfect;Buy to Open;1.0;$36.57;11/11/20, 2:15 PM;;($1.59);1.0;
66;MacdPerfect;Sell to Close;-1.0;$36.47;11/11/20, 2:25 PM;($0.09);($1.65);0.0;
67;MacdPerfect;Buy to Open;1.0;$37.59;11/16/20, 9:35 AM;;($1.77);1.0;
68;MacdPerfect;Sell to Close;-1.0;$37.35;11/16/20, 9:40 AM;($0.24);($1.89);0.0;
69;MacdPerfect;Buy to Open;1.0;$37.21;11/16/20, 9:45 AM;;($1.91);1.0;
70;MacdPerfect;Sell to Close;-1.0;$37.66;11/16/20, 10:30 AM;$0.44;($1.45);0.0;
71;MacdPerfect;Buy to Open;1.0;$37.60;11/17/20, 10:10 AM;;($1.42);1.0;
72;MacdPerfect;Sell to Close;-1.0;$38.28;11/17/20, 11:40 AM;$0.68;($0.77);0.0;
73;MacdPerfect;Buy to Open;1.0;$38.81;11/18/20, 9:35 AM;;($0.74);1.0;
74;MacdPerfect;Sell to Close;-1.0;$38.97;11/18/20, 10:00 AM;$0.16;($0.61);0.0;
75;MacdPerfect;Buy to Open;1.0;$39.05;11/18/20, 10:05 AM;;($0.64);1.0;
76;MacdPerfect;Sell to Close;-1.0;$38.94;11/18/20, 10:10 AM;($0.11);($0.72);0.0;
77;MacdPerfect;Buy to Open;1.0;$38.74;11/18/20, 10:15 AM;;($0.82);1.0;
78;MacdPerfect;Sell to Close;-1.0;$38.62;11/18/20, 10:20 AM;($0.13);($0.85);0.0;
79;MacdPerfect;Buy to Open;1.0;$38.57;11/18/20, 11:05 AM;;($0.81);1.0;
80;MacdPerfect;Sell to Close;-1.0;$38.48;11/18/20, 12:10 PM;($0.09);($0.94);0.0;
81;MacdPerfect;Buy to Open;1.0;$38.32;11/18/20, 12:45 PM;;($0.97);1.0;
82;MacdPerfect;Sell to Close;-1.0;$38.24;11/18/20, 1:20 PM;($0.08);($1.02);0.0;
83;MacdPerfect;Buy to Open;1.0;$38.26;11/18/20, 1:35 PM;;($0.97);1.0;
84;MacdPerfect;Sell to Close;-1.0;$38.18;11/18/20, 1:50 PM;($0.09);($1.10);0.0;
85;MacdPerfect;Buy to Open;1.0;$37.90;11/18/20, 2:45 PM;;($1.14);1.0;
86;MacdPerfect;Sell to Close;-1.0;$37.83;11/18/20, 2:55 PM;($0.06);($1.17);0.0;
87;MacdPerfect;Buy to Open;1.0;$37.83;11/18/20, 3:10 PM;;($1.14);1.0;
88;MacdPerfect;Sell to Close;-1.0;$37.72;11/18/20, 3:20 PM;($0.10);($1.27);0.0;
89;MacdPerfect;Buy to Open;1.0;$37.53;11/23/20, 9:35 AM;;($1.22);1.0;
90;MacdPerfect;Sell to Close;-1.0;$38.04;11/23/20, 10:30 AM;$0.52;($0.75);0.0;
91;MacdPerfect;Buy to Open;1.0;$40.45;11/24/20, 9:35 AM;;($0.60);1.0;
92;MacdPerfect;Sell to Close;-1.0;$41.21;11/24/20, 10:25 AM;$0.76;$0.01;0.0;
93;MacdPerfect;Buy to Open;1.0;$40.87;11/25/20, 10:15 AM;;($0.02);1.0;
94;MacdPerfect;Sell to Close;-1.0;$41.03;11/25/20, 11:25 AM;$0.16;$0.17;0.0;
95;MacdPerfect;Buy to Open;1.0;$40.79;11/25/20, 12:40 PM;;$0.19;1.0;
96;MacdPerfect;Sell to Close;-1.0;$40.91;11/25/20, 2:05 PM;$0.11;$0.28;0.0;
97;MacdPerfect;Buy to Open;1.0;$40.99;11/25/20, 3:15 PM;;$0.28;1.0;
98;MacdPerfect;Sell to Close;-1.0;$40.93;11/25/20, 3:25 PM;($0.06);$0.22;0.0;
99;MacdPerfect;Buy to Open;1.0;$40.92;11/25/20, 3:30 PM;;$0.23;1.0;
100;MacdPerfect;Sell to Close;-1.0;$40.85;11/25/20, 3:40 PM;($0.07);$0.16;0.0;
101;MacdPerfect;Buy to Open;1.0;$39.90;12/3/20, 9:55 AM;;$0.16;1.0;
102;MacdPerfect;Sell to Close;-1.0;$39.81;12/3/20, 10:05 AM;($0.09);$0.06;0.0;
103;MacdPerfect;Buy to Open;1.0;$39.91;12/3/20, 10:15 AM;;$0.10;1.0;
104;MacdPerfect;Sell to Close;-1.0;$40.41;12/3/20, 11:15 AM;$0.51;$0.57;0.0;
105;MacdPerfect;Buy to Open;1.0;$41.02;12/4/20, 9:35 AM;;$0.53;1.0;
106;MacdPerfect;Sell to Close;-1.0;$41.64;12/4/20, 10:35 AM;$0.62;$1.19;0.0;
107;MacdPerfect;Buy to Open;1.0;$41.29;12/4/20, 12:50 PM;;$1.17;1.0;
108;MacdPerfect;Sell to Close;-1.0;$41.43;12/4/20, 2:35 PM;$0.14;$1.33;0.0;
109;MacdPerfect;Buy to Open;1.0;$40.90;12/7/20, 10:10 AM;;$1.29;1.0;
110;MacdPerfect;Sell to Close;-1.0;$41.21;12/7/20, 11:45 AM;$0.30;$1.64;0.0;
111;MacdPerfect;Buy to Open;1.0;$41.04;12/7/20, 2:05 PM;;$1.68;1.0;
112;MacdPerfect;Sell to Close;-1.0;$40.96;12/7/20, 2:15 PM;($0.08);$1.56;0.0;
113;MacdPerfect;Buy to Open;1.0;$41.60;12/8/20, 9:45 AM;;$1.67;1.0;
114;MacdPerfect;Sell to Close;-1.0;$42.34;12/8/20, 10:50 AM;$0.74;$2.30;0.0;
115;MacdPerfect;Buy to Open;1.0;$43.09;12/9/20, 9:35 AM;;$2.26;1.0;
116;MacdPerfect;Sell to Close;-1.0;$43.43;12/9/20, 10:15 AM;$0.34;$2.64;0.0;
117;MacdPerfect;Buy to Open;1.0;$43.04;12/9/20, 11:45 AM;;$2.74;1.0;
118;MacdPerfect;Sell to Close;-1.0;$43.32;12/9/20, 12:50 PM;$0.28;$2.92;0.0;
119;MacdPerfect;Buy to Open;1.0;$42.71;12/9/20, 2:10 PM;;$2.89;1.0;
120;MacdPerfect;Sell to Close;-1.0;$42.83;12/9/20, 3:55 PM;$0.12;$3.04;0.0;
121;MacdPerfect;Buy to Open;1.0;$43.21;12/10/20, 9:40 AM;;$3.06;1.0;
122;MacdPerfect;Sell to Close;-1.0;$44.14;12/10/20, 10:40 AM;$0.92;$3.96;0.0;
123;MacdPerfect;Buy to Open;1.0;$43.74;12/10/20, 1:15 PM;;$3.92;1.0;
124;MacdPerfect;Sell to Close;-1.0;$43.65;12/10/20, 1:25 PM;($0.09);$3.87;0.0;
125;MacdPerfect;Buy to Open;1.0;$43.78;12/10/20, 1:35 PM;;$3.87;1.0;
126;MacdPerfect;Sell to Close;-1.0;$43.68;12/10/20, 1:50 PM;($0.10);$3.77;0.0;
127;MacdPerfect;Buy to Open;1.0;$43.50;12/10/20, 2:10 PM;;$3.75;1.0;
128;MacdPerfect;Sell to Close;-1.0;$43.83;12/10/20, 3:40 PM;$0.34;$4.11;0.0;
129;MacdPerfect;Buy to Open;1.0;$43.39;12/11/20, 12:45 PM;;$4.16;1.0;
130;MacdPerfect;Sell to Close;-1.0;$43.49;12/11/20, 1:10 PM;$0.10;$4.21;0.0;
131;MacdPerfect;Buy to Open;1.0;$43.52;12/11/20, 1:40 PM;;$4.20;1.0;
132;MacdPerfect;Sell to Close;-1.0;$43.54;12/11/20, 1:50 PM;$0.02;$4.23;0.0;
133;MacdPerfect;Buy to Open;1.0;$43.63;12/11/20, 1:55 PM;;$4.24;1.0;
134;MacdPerfect;Sell to Close;-1.0;$43.62;12/11/20, 2:30 PM;($0.01);$4.22;0.0;
135;MacdPerfect;Buy to Open;1.0;$44.30;12/14/20, 9:35 AM;;$4.18;1.0;
136;MacdPerfect;Sell to Close;-1.0;$44.18;12/14/20, 9:45 AM;($0.12);$4.10;0.0;
137;MacdPerfect;Buy to Open;1.0;$43.98;12/14/20, 9:50 AM;;$4.02;1.0;
138;MacdPerfect;Sell to Close;-1.0;$43.83;12/14/20, 9:55 AM;($0.15);$3.95;0.0;
139;MacdPerfect;Buy to Open;1.0;$43.24;12/16/20, 9:35 AM;;$3.87;1.0;
140;MacdPerfect;Sell to Close;-1.0;$43.09;12/16/20, 9:40 AM;($0.15);$3.80;0.0;
141;MacdPerfect;Buy to Open;1.0;$43.29;12/16/20, 9:55 AM;;$3.97;1.0;
142;MacdPerfect;Sell to Close;-1.0;$43.24;12/16/20, 10:40 AM;($0.05);$3.75;0.0;
143;MacdPerfect;Buy to Open;1.0;$43.72;12/17/20, 10:30 AM;;$3.78;1.0;
144;MacdPerfect;Sell to Close;-1.0;$43.56;12/17/20, 10:40 AM;($0.16);$3.60;0.0;
145;MacdPerfect;Buy to Open;1.0;$43.70;12/17/20, 2:55 PM;;$3.62;1.0;
146;MacdPerfect;Sell to Close;-1.0;$43.66;12/17/20, 3:10 PM;($0.04);$3.56;0.0;
147;MacdPerfect;Buy to Open;1.0;$43.49;12/17/20, 3:55 PM;;$3.55;1.0;
148;MacdPerfect;Sell to Close;-1.0;$43.52;12/18/20, 9:30 AM;$0.03;$3.59;0.0;
149;MacdPerfect;Buy to Open;1.0;$42.04;12/23/20, 1:50 PM;;$3.60;1.0;
150;MacdPerfect;Sell to Close;-1.0;$41.97;12/23/20, 2:15 PM;($0.06);$3.52;0.0;
151;MacdPerfect;Buy to Open;1.0;$41.97;12/23/20, 2:45 PM;;$3.53;1.0;
