No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
1,VTRS,15.21B,-,3.41,-,0.89,0.73,18.02,7.53,-7.80%,0.38%,-21.60%,-0.35%,4.80%,12.69,-0.94%,"8,010,070"
2,HBAN,22.48B,16.63,10.83,-,5.78,1.31,1.85,29.97,-45.20%,31.85%,-3.00%,-2.15%,11.50%,15.38,1.12%,"15,602,004"
3,HST,11.43B,-,62.00,-,5.29,1.84,9.72,-,-182.40%,195.30%,-27.70%,28.40%,-21.30%,15.81,-1.62%,"7,596,522"
4,AAL,11.08B,-,-,-,0.45,-,0.76,-,-583.80%,99.20%,-29.60%,16.09%,-15.80%,16.99,0.47%,"39,214,526"
5,PBCT,7.46B,25.13,13.71,1.83,4.55,0.97,0.89,9.67,-61.80%,-11.58%,-10.80%,13.73%,11.20%,17.39,1.05%,"3,598,377"
6,NWSA,12.58B,25.63,20.69,1.32,1.29,1.53,5.99,16.44,125.80%,19.98%,14.90%,19.40%,2.40%,21.25,1.14%,"3,584,635"
7,NWS,12.62B,-,-,-,1.35,1.55,-,-,-,-,-,-,-,21.46,1.66%,"1,203,600"
8,DISCK,-,19.47,6.73,0.97,-,1.32,-,-,-16.90%,21.40%,-,20.00%,-,21.75,0.32%,"3,656,444"
9,NWL,9.78B,15.96,12.00,3.78,0.93,2.36,19.79,22.95,-513.60%,8.87%,-31.30%,4.22%,9.70%,22.53,0.58%,"3,516,445"
10,DISCA,11.35B,12.04,7.06,3.40,0.95,0.98,3.64,5.45,-37.10%,15.33%,11.60%,3.54%,10.80%,22.57,0.27%,"5,780,647"
11,BKR,24.29B,378.25,19.66,-,1.18,1.20,5.61,37.42,2333.30%,75.65%,-27.10%,-,5.60%,23.83,-1.04%,"8,723,355"
12,NLOK,14.19B,16.40,12.59,1.29,5.28,-,9.21,22.93,29.00%,13.21%,24.10%,12.70%,-6.70%,24.82,2.27%,"4,503,839"
13,APA,8.90B,15.83,5.04,-,1.29,-,23.61,3.10,-36.40%,21.91%,14.80%,-,-7.40%,25.10,0.60%,"7,643,696"
14,VIAC,19.18B,6.24,7.70,-,0.72,0.93,3.98,44.49,-26.30%,4.95%,3.30%,-6.27%,14.80%,29.56,-0.14%,"13,155,270"
15,DISH,17.04B,7.73,11.32,-,0.95,1.14,3.25,5.61,15.90%,-23.11%,11.90%,-,0.30%,32.20,-0.06%,"2,232,212"
16,FOX,19.80B,10.05,14.35,1.09,1.53,1.77,-,-,-,14.60%,-,9.20%,-,33.73,0.78%,"2,143,644"
17,KHC,41.84B,19.48,13.21,-,1.59,0.85,18.41,33.83,-85.80%,-5.00%,24.70%,-2.44%,7.40%,34.88,0.29%,"5,907,595"
18,FOXA,19.98B,12.18,10.19,1.90,1.51,1.82,3.69,13.18,122.80%,25.23%,15.90%,6.40%,7.70%,36.25,0.75%,"4,673,959"
19,CSX,80.60B,22.98,20.41,1.29,6.76,6.20,-,32.42,-13.70%,14.92%,12.50%,17.77%,-2.20%,36.47,1.53%,"10,560,362"
20,UAL,13.56B,-,21.03,-,0.68,2.51,0.70,-,-318.50%,133.30%,-33.70%,-,-16.50%,41.50,0.29%,"14,658,365"
21,FITB,29.68B,12.00,13.07,-,5.67,1.48,0.78,-,-45.10%,-11.13%,-1.80%,-2.98%,6.70%,43.42,0.70%,"4,259,854"
22,PENN,8.21B,20.77,19.86,-,1.53,2.38,3.01,11.41,162.80%,-14.37%,36.33%,-,4.70%,46.50,-0.32%,"5,427,597"
23,CMCSA,217.22B,15.51,12.98,0.86,1.91,2.31,18.40,16.61,-19.60%,16.65%,7.00%,18.10%,6.80%,48.18,-1.19%,"22,678,372"
24,WBA,42.70B,21.59,9.68,7.37,0.32,1.83,35.79,16.69,11.00%,4.14%,-9.70%,2.93%,2.50%,49.66,0.69%,"5,373,437"
25,INTC,205.12B,9.84,13.69,3.11,2.61,2.28,5.92,5.46,4.90%,-29.91%,16.20%,3.16%,7.10%,50.67,1.95%,"32,485,933"
26,XRAY,11.76B,28.46,16.92,1.14,2.77,2.31,41.84,24.47,-132.30%,10.33%,-17.20%,24.97%,4.60%,54.01,1.64%,"2,435,299"
27,EXC,52.74B,32.02,16.36,2.00,1.51,1.58,17.84,-,-33.30%,19.36%,-4.60%,16.00%,2.30%,54.69,1.56%,"4,607,987"
28,WDC,17.40B,11.85,5.82,0.25,0.96,1.54,5.29,17.36,416.70%,12.24%,21.60%,47.80%,5.40%,56.35,1.29%,"3,278,806"
29,LKQ,16.37B,16.52,14.26,0.49,1.27,2.83,40.65,11.09,20.40%,3.16%,8.80%,33.50%,10.10%,56.85,0.89%,"1,183,366"
30,CSCO,245.51B,22.28,16.29,3.40,4.83,5.92,10.51,30.93,-5.20%,7.48%,3.40%,6.55%,0.20%,59.93,3.74%,"27,271,541"
31,ATVI,47.31B,17.84,15.84,1.35,5.23,2.77,4.73,16.83,44.90%,0.08%,18.80%,13.27%,11.60%,60.26,1.24%,"7,216,393"
32,LNT,14.95B,23.87,22.08,3.91,4.20,2.53,747.57,-,5.90%,4.03%,7.90%,6.10%,1.00%,60.49,1.60%,"1,179,650"
33,ZION,9.79B,8.85,13.68,-,4.31,1.37,0.75,57.58,-27.30%,-32.19%,20.30%,-,5.20%,62.76,0.79%,"1,358,109"
34,FAST,35.87B,41.25,36.77,6.52,6.15,12.34,143.20,-,8.40%,9.90%,11.00%,6.33%,7.90%,63.65,0.98%,"2,902,403"
35,MDLZ,88.54B,20.67,20.86,2.35,3.12,3.27,26.03,51.81,-8.60%,7.66%,-11.10%,8.80%,-2.20%,64.79,2.21%,"11,082,409"
36,EBAY,40.89B,23.37,14.55,1.87,3.83,3.88,2.81,19.07,99.90%,13.66%,17.30%,12.49%,3.60%,65.61,-0.36%,"9,425,335"
37,XEL,37.23B,23.56,21.69,3.41,2.86,2.44,59.01,-,5.70%,6.58%,7.60%,6.90%,0.90%,68.82,2.12%,"2,949,642"
38,GILD,89.39B,12.19,10.52,9.20,3.25,4.17,15.58,15.09,-97.70%,-16.28%,-61.80%,1.32%,-5.40%,71.21,0.98%,"7,946,982"
39,REG,12.27B,36.91,36.31,4.06,10.88,2.01,34.14,39.67,-81.40%,-2.03%,-27.90%,9.10%,12.30%,71.82,-0.06%,"1,004,224"
40,INCY,16.16B,29.81,16.45,1.43,5.55,5.05,7.08,29.74,-166.00%,24.92%,33.32%,20.89%,28.80%,71.99,4.96%,"2,755,846"
41,PFG,19.06B,11.64,10.38,0.71,1.37,1.21,6.06,9.72,1.70%,6.77%,4.50%,16.47%,4.20%,72.37,0.51%,"1,880,466"
42,HSIC,10.20B,16.73,15.84,1.00,0.83,2.96,85.68,14.11,-40.20%,6.35%,-0.30%,16.68%,-1.00%,73.51,-1.40%,"822,621"
43,HOLX,19.53B,10.72,19.90,2.61,3.47,4.67,16.69,8.60,71.00%,4.13%,44.20%,4.10%,14.70%,77.23,3.21%,"1,952,964"
44,CERN,23.46B,46.07,21.46,3.41,4.11,6.09,30.00,-,53.10%,11.49%,10.40%,13.52%,4.50%,78.92,2.15%,"5,494,217"
45,WYNN,9.56B,-,-,-,2.81,-,3.86,-,73.00%,114.70%,-64.60%,-,-12.50%,82.71,-0.73%,"3,108,347"
46,CTSH,42.95B,23.38,18.34,1.67,2.40,3.77,17.80,24.34,-21.80%,11.47%,-0.60%,13.98%,6.00%,82.90,1.25%,"2,895,300"
