No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
1,AAT,2.15B,91.97,44.10,30.66,6.06,1.71,12.53,-,-45.30%,111.84%,-11.70%,3.00%,4.60%,35.50,1.40%,"271,482"
2,AB,4.63B,13.56,12.45,-,12.05,3.07,-,-,15.90%,7.22%,9.30%,-3.88%,8.00%,47.86,-1.03%,"629,096"
3,ABCB,3.35B,8.66,11.43,1.08,4.77,1.16,0.89,35.76,37.00%,-22.02%,24.30%,8.00%,30.70%,48.30,-2.03%,"805,296"
4,ABM,2.74B,19.16,11.79,1.20,0.45,1.75,5.42,7.31,-99.80%,-1.92%,-68.40%,16.00%,4.10%,40.88,-11.01%,"1,429,676"
5,ABR,2.51B,8.21,9.25,1.03,3.32,1.52,6.59,-,-4.00%,-5.32%,6.50%,8.00%,33.50%,17.61,0.69%,"1,649,108"
6,ACI,13.99B,24.14,12.04,-,0.20,7.16,4.91,9.78,-11.70%,-3.55%,23.00%,-8.69%,3.50%,30.13,-0.40%,"2,675,021"
7,ACIW,3.91B,46.68,25.85,3.89,3.03,3.29,27.67,14.21,8.80%,15.11%,-3.10%,12.00%,4.40%,33.47,2.83%,"896,726"
8,ADT,6.64B,-,10.47,-,1.27,2.41,108.47,5.35,-43.50%,44.91%,-53.20%,-7.00%,57.40%,8.04,0.00%,"1,975,580"
9,ADV,2.55B,-,9.30,-,0.45,0.96,15.17,-,-390.90%,21.21%,-,14.46%,-,7.44,-2.75%,"558,410"
10,AEL,3.40B,10.35,7.49,-,0.94,0.54,0.27,2.16,157.50%,53.94%,20.50%,-,9.80%,37.17,1.64%,"299,164"
11,AEO,4.16B,13.21,9.59,1.72,0.87,2.87,5.62,68.89,-212.30%,7.05%,-25.80%,7.70%,1.30%,23.87,0.21%,"7,165,067"
12,AES,16.17B,31.50,14.58,3.66,1.48,7.01,10.23,-,-85.80%,8.24%,-32.60%,8.60%,-3.00%,24.13,2.20%,"3,611,848"
13,AGNC,8.09B,5.67,6.05,1.86,4.60,0.87,8.24,11.06,-156.60%,-14.79%,-26.40%,3.04%,-6.00%,15.17,-0.13%,"7,965,689"
14,AGR,19.14B,22.19,20.45,2.74,2.85,0.98,13.58,-,-12.90%,10.49%,11.80%,8.10%,7.70%,48.45,0.54%,"475,481"
15,AHCO,2.80B,-,15.14,-,1.32,1.39,8.30,157.07,-225.50%,23.78%,-,46.50%,-,21.05,-0.99%,"599,248"
16,AIMC,3.25B,22.00,12.89,1.47,1.73,1.55,12.67,14.80,-120.00%,21.81%,-18.00%,15.00%,18.20%,49.46,-1.00%,"700,529"
17,AJRD,3.50B,25.40,20.83,2.07,1.62,8.69,5.52,-,-2.00%,3.98%,51.30%,12.30%,3.90%,43.54,-0.48%,"349,988"
18,AL,4.82B,12.94,8.89,0.77,2.43,0.73,2.57,4.66,-13.60%,49.73%,13.40%,16.76%,10.50%,42.25,0.31%,"606,550"
19,ALGM,6.57B,103.27,36.18,7.95,9.11,10.03,26.43,62.34,-51.50%,25.52%,-30.70%,12.99%,15.90%,34.70,4.99%,"1,367,098"
20,ALIT,5.66B,-,12.12,-,2.06,7.06,12.30,-,-568.20%,6.16%,-,-3.73%,-,10.45,0.87%,"2,302,010"
21,ALLY,16.46B,5.76,6.60,0.79,1.93,1.15,1.25,-,-33.80%,-15.22%,23.10%,7.33%,0.90%,47.84,-0.50%,"2,912,898"
22,ALSN,3.55B,9.79,6.89,0.40,1.55,5.13,13.62,8.86,-46.60%,28.14%,20.60%,24.76%,0.90%,34.22,-3.25%,"1,613,560"
23,AM,4.54B,13.67,11.45,-,5.13,1.94,-,23.43,68.00%,12.48%,-,-,-,9.39,1.40%,"4,186,838"
24,AMH,14.12B,119.01,97.93,4.18,11.16,2.30,220.56,30.34,-3.10%,17.86%,21.90%,28.50%,13.40%,42.01,2.26%,"1,467,810"
25,AMKR,5.68B,10.22,9.42,0.40,0.98,2.06,7.19,35.58,177.30%,2.17%,45.30%,25.40%,11.90%,23.06,3.59%,"1,001,007"
26,ANF,2.06B,7.78,8.61,0.43,0.56,2.22,2.38,6.74,-404.60%,-15.90%,-40.90%,18.00%,-2.30%,34.37,0.85%,"1,710,484"
27,APA,8.90B,15.83,5.04,-,1.29,-,23.61,3.10,-36.40%,21.91%,14.80%,-,-7.40%,25.10,0.60%,"7,643,696"
28,APAM,3.66B,9.16,8.81,0.40,3.12,10.99,12.63,15.23,28.50%,3.30%,12.90%,23.00%,2.20%,45.73,0.79%,"622,538"
29,APG,5.26B,-,20.43,-,1.42,2.10,4.66,29.56,-462.70%,11.84%,-35.30%,6.00%,7.90%,23.53,2.80%,"1,228,251"
